round,global_acc,client_lr
0,0.2309,0.01
1,0.2251,0.002771980594843626
2,0.2777,0.0014717887388542295
3,0.3141,0.0010147510329261422
4,0.3331,0.0008171964436769485
5,0.3524,0.0007375407149083912
6,0.369,0.000717008369974792
7,0.3811,0.0007174113416112959
8,0.3932,0.0007224052678793669
9,0.4015,0.0007200901163741946
10,0.4092,0.0007083913660608232
11,0.423,0.000686837884131819
12,0.4261,0.0006582187488675117
13,0.4369,0.0006255824700929224
14,0.443,0.0005923326243646443
15,0.4464,0.000558666477445513
16,0.4485,0.0005259846802800894
17,0.4588,0.0004959761281497777
18,0.4589,0.0004685533349402249
19,0.4647,0.0004439101612661034
20,0.4666,0.00042216808651573956
21,0.4698,0.00040294445352628827
22,0.4747,0.0003853839007206261
23,0.4795,0.000370193476555869
24,0.4796,0.00035650093923322856
25,0.4879,0.00034362959559075534
26,0.4848,0.0003319521201774478
27,0.494,0.00032187640317715704
28,0.492,0.0003121814806945622
29,0.497,0.00030380493262782693
30,0.501,0.0002950474445242435
31,0.5017,0.0002872009063139558
32,0.5045,0.00027924092137254775
33,0.5037,0.00027208999381400645
34,0.5068,0.0002651041722856462
35,0.5105,0.0002585678012110293
36,0.5125,0.0002523890580050647
37,0.516,0.00024685016251169145
38,0.5153,0.0002413516485830769
39,0.5164,0.0002358178171562031
40,0.52,0.00023062052787281573
41,0.5199,0.00022535101743414998
42,0.5229,0.00021986637148074806
43,0.5216,0.00021515530534088612
44,0.5268,0.00021061812003608793
45,0.5239,0.00020616532128769904
46,0.5239,0.00020236817363183945
47,0.5269,0.00019845769566018134
48,0.5277,0.000194473541341722
49,0.5272,0.00019075653108302504
50,0.5306,0.00018739193910732865
51,0.5333,0.00018382561393082142
52,0.5301,0.0001805780630093068
53,0.5332,0.00017748978279996663
54,0.5362,0.00017422322707716376
55,0.5363,0.00017123653378803283
56,0.5363,0.00016844204219523817
57,0.5374,0.0001657103275647387
58,0.537,0.00016316775872837752
59,0.5392,0.00016050165868364275
60,0.541,0.00015790635370649397
61,0.5404,0.00015538884326815605
62,0.5404,0.00015287502901628613
63,0.5431,0.00015036560944281518
64,0.5442,0.00014816736802458763
65,0.5433,0.00014642483438365161
66,0.5421,0.00014413990720640868
67,0.5458,0.00014210435620043427
68,0.5459,0.00014026318967808038
69,0.5458,0.00013856522855348885
70,0.549,0.00013651132758241147
71,0.5497,0.0001347509096376598
72,0.5485,0.00013291597133502364
73,0.5476,0.00013110948202665895
74,0.5499,0.00012934146798215806
75,0.5466,0.00012747365690302104
76,0.5511,0.00012582229101099074
77,0.553,0.00012428562331479043
78,0.552,0.00012270043953321874
79,0.5495,0.0001213317591464147
80,0.5527,0.00011966269084950909
81,0.5529,0.00011821267253253609
82,0.5526,0.00011694755812641233
83,0.5541,0.00011593330418691039
84,0.5547,0.00011469928722362965
85,0.554,0.00011325741070322692
86,0.5545,0.00011201584129594266
87,0.5584,0.0001107132775359787
88,0.5553,0.00010937576007563621
89,0.5564,0.0001080902511603199
90,0.5576,0.00010694667435018346
91,0.5568,0.00010591937461867929
92,0.559,0.00010488780390005559
93,0.5561,0.00010394502896815538
94,0.5586,0.00010281480354024097
95,0.5571,0.0001019320625346154
96,0.5602,0.00010078928607981652
97,0.5583,9.960401803255081e-05
98,0.5578,9.862973092822358e-05
99,0.5605,9.760742977960035e-05
100,0.5457,0.00017053219198714942
101,0.5451,0.0001829054526751861
102,0.541,0.00016820334712974727
103,0.5385,0.00014853420725557953
104,0.5336,0.00013036420568823814
105,0.5335,0.00011532445932971314
106,0.5291,0.00010366898641223088
107,0.5274,9.489156218478456e-05
108,0.5222,8.862341201165691e-05
109,0.5203,8.42228255351074e-05
110,0.5206,8.1242760643363e-05
111,0.5173,7.940000796224922e-05
112,0.5167,7.831166294636205e-05
113,0.5158,7.763778558000922e-05
114,0.5127,7.734097016509622e-05
115,0.5126,7.731723599135876e-05
116,0.5086,7.740850560367107e-05
117,0.5099,7.739392458461225e-05
118,0.5111,7.730365905445069e-05
119,0.5094,7.728038326604292e-05
120,0.5067,7.71064223954454e-05
121,0.5087,7.692185317864642e-05
122,0.505,7.666423334740102e-05
123,0.5054,7.641387492185459e-05
124,0.506,7.61160918045789e-05
125,0.5,7.581883983220905e-05
126,0.5015,7.549170550191775e-05
127,0.5019,7.499395724153146e-05
128,0.5014,7.456100138369948e-05
129,0.4995,7.408709643641487e-05
130,0.4981,7.37264272174798e-05
131,0.4984,7.344118785113096e-05
132,0.4977,7.286266190931201e-05
133,0.4977,7.226075831567869e-05
134,0.4967,7.168818410718814e-05
135,0.4941,7.12415057932958e-05
136,0.4944,7.078962516970932e-05
137,0.4929,7.038022886263207e-05
138,0.4935,6.991156988078728e-05
139,0.4915,6.93487236276269e-05
140,0.4934,6.899241998326033e-05
141,0.493,6.86087369103916e-05
142,0.4913,6.811470666434616e-05
143,0.491,6.765951548004523e-05
144,0.4909,6.73383183311671e-05
145,0.4918,6.688482244499028e-05
146,0.4894,6.647205009358004e-05
147,0.4895,6.59216457279399e-05
148,0.4891,6.564155773958191e-05
149,0.4885,6.520561873912811e-05
150,0.4859,6.484133336925879e-05
151,0.486,6.448015483329073e-05
152,0.4868,6.412882066797465e-05
153,0.4869,6.364486034726724e-05
154,0.4854,6.317921361187473e-05
155,0.4875,6.278344517340884e-05
156,0.4858,6.244557880563661e-05
157,0.4857,6.231256702449173e-05
158,0.4855,6.189167470438406e-05
159,0.4854,6.14707387285307e-05
160,0.4855,6.12006479059346e-05
161,0.482,6.080966704757884e-05
162,0.4824,6.036371996742673e-05
163,0.4843,5.991138459648937e-05
164,0.4855,5.9470010455697775e-05
165,0.4848,5.906395745114423e-05
166,0.4847,5.865206912858412e-05
