round,global_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2001,0.01,0.22874493927125505,0.01235712079085573,0.0030041306796845663,0.02912621359223301,0.0319893368877041,0.018055555555555554,0.21863799283154123,0.3038116591928251,0.6497074535741542,0.1487603305785124,0.3668639053254438,0.39275766016713093,0.21865596790371114,0.19393939393939394,0.13379073756432247,0.2765643447461629,0.0197869101978691,0.33088089083316763,0.12048192771084337,0.03724478348665021
1,0.2451,0.0027841527480632067,0.2257085020242915,0.04448563484708063,0.003379647014645137,0.03559870550161812,0.034988337220926355,0.025,0.37455197132616486,0.2836322869955157,0.6776901551767998,0.17355371900826447,0.32662721893491126,0.6350974930362117,0.5957873620862588,0.2,0.1340357755452095,0.39669421487603307,0.0182648401826484,0.37422946907933985,0.1566265060240964,0.0453219654476105
2,0.3128,0.0014939061366021633,0.2598684210526316,0.156317578004325,0.05369883589936162,0.04854368932038835,0.03698767077640786,0.041666666666666664,0.45669056152927123,0.257847533632287,0.6542864411091326,0.18181818181818182,0.22248520710059172,0.6713091922005571,0.7612838515546639,0.20606060606060606,0.12888997794658172,0.6046340023612751,0.2146118721461187,0.4802147544243388,0.3373493975903614,0.11285618128786179
3,0.3644,0.0010481436038389802,0.3147773279352227,0.19524250849552055,0.09463011641006384,0.061488673139158574,0.04298567144285238,0.07222222222222222,0.4477299880525687,0.27858744394618834,0.6565759348766217,0.2231404958677686,0.26272189349112424,0.6462395543175488,0.7211634904714143,0.20303030303030303,0.12472433227150208,0.7126623376623377,0.3774733637747336,0.5496122489560549,0.4939759036144578,0.21202602647520755
4,0.3817,0.0008610198274254799,0.31705465587044535,0.20821748532591905,0.11434472399549381,0.06796116504854369,0.05798067310896368,0.09444444444444444,0.46236559139784944,0.2757847533632287,0.655558382091071,0.2231404958677686,0.2556213017751479,0.6545961002785515,0.7331995987963892,0.2,0.1274197500612595,0.7601829988193625,0.4299847792998478,0.5613442036190097,0.5301204819277109,0.2593672874130581
5,0.401,0.0007846274529583752,0.33653846153846156,0.23293172690763053,0.12786331205407436,0.08090614886731391,0.08497167610796401,0.11666666666666667,0.472520908004779,0.2741031390134529,0.6568303230730094,0.23140495867768596,0.27455621301775146,0.6629526462395543,0.724172517552658,0.21818181818181817,0.12962509188924284,0.7773022432113341,0.4687975646879756,0.60151123483794,0.5542168674698795,0.3374467130356742
6,0.4139,0.0007564210100099444,0.347419028340081,0.24127278344145814,0.14870446864438602,0.0970873786407767,0.11596134621792736,0.1388888888888889,0.4755077658303465,0.2853139013452915,0.6624268633935385,0.21487603305785125,0.29940828402366865,0.6685236768802229,0.7311935807422267,0.23939393939393938,0.13036020583190394,0.78099173553719,0.4878234398782344,0.6068800954464109,0.5783132530120482,0.3737940318599955
7,0.4257,0.0007453247671946883,0.3395748987854251,0.23571207908557307,0.15884340968832145,0.0970873786407767,0.12595801399533488,0.1361111111111111,0.4829749103942652,0.28475336322869954,0.6611549224116001,0.24793388429752067,0.2958579881656805,0.6796657381615598,0.7442326980942828,0.24848484848484848,0.13183043371722616,0.7975206611570248,0.5076103500761036,0.6090674090276397,0.5783132530120482,0.42607134844065514
8,0.438,0.0007371884421445429,0.35121457489878544,0.24652455977757182,0.1890724746526474,0.11974110032362459,0.161946017994002,0.1625,0.4946236559139785,0.2937219730941704,0.6733655558382091,0.2396694214876033,0.3183431952662722,0.6796657381615598,0.7271815446339017,0.2727272727272727,0.13820142122028914,0.7907319952774499,0.5076103500761036,0.6215947504474051,0.5783132530120482,0.43033430558671754
9,0.4397,0.0007241631392389536,0.34868421052631576,0.24961383997528575,0.20071348103642508,0.11974110032362459,0.1639453515494835,0.16666666666666666,0.5050776583034647,0.2954035874439462,0.6761638259984737,0.2644628099173554,0.30177514792899407,0.6824512534818942,0.7452357071213641,0.26666666666666666,0.1423670668953688,0.8112455726092089,0.5220700152207002,0.6110558759196659,0.6024096385542169,0.4247251514471618
10,0.4483,0.0007036585593596101,0.3605769230769231,0.2508495520543713,0.20127675553886595,0.11974110032362459,0.19126957680773077,0.1736111111111111,0.5110513739545998,0.29932735426008966,0.6809972017298397,0.256198347107438,0.3337278106508876,0.7158774373259053,0.7502507522567703,0.2636363636363636,0.1399166870864984,0.7880755608028335,0.5098934550989346,0.6323324716643468,0.5903614457831325,0.4725151447161768
11,0.4579,0.0006781560368835926,0.3648785425101215,0.26042632066728455,0.22174239579421706,0.13592233009708737,0.2125958013995335,0.18472222222222223,0.5247909199522103,0.3077354260089686,0.6871025184431442,0.24793388429752067,0.3349112426035503,0.7047353760445683,0.7352056168505516,0.2878787878787879,0.15118843420730213,0.8022432113341205,0.5289193302891934,0.6400874925432491,0.6144578313253012,0.46780345523894995
12,0.4615,0.0006491019739769399,0.3674089068825911,0.25393883225208524,0.24615095756665414,0.1423948220064725,0.2162612462512496,0.1875,0.5194145758661888,0.3155829596412556,0.6947341643347749,0.2809917355371901,0.35502958579881655,0.7158774373259053,0.7301905717151455,0.28484848484848485,0.15633423180592992,0.8057851239669421,0.54337899543379,0.6426724995028833,0.6265060240963856,0.4747588063719991
13,0.47,0.0006179568590596318,0.3717105263157895,0.2622798887859129,0.26417574164476154,0.13268608414239483,0.24225258247250916,0.20416666666666666,0.5412186379928315,0.30885650224215244,0.7026201984227932,0.3140495867768595,0.3621301775147929,0.7158774373259053,0.7372116349047142,0.296969696969697,0.15976476353834845,0.8057851239669421,0.5365296803652968,0.6386955657188308,0.6265060240963856,0.47789993269015035
14,0.4729,0.0005847972934134305,0.3701923076923077,0.2632066728452271,0.2707472775065715,0.1488673139158576,0.24558480506497835,0.20277777777777778,0.5439068100358423,0.30829596412556054,0.701093869244467,0.3140495867768595,0.35976331360946745,0.7186629526462396,0.7452357071213641,0.31212121212121213,0.16049987748100955,0.814344746162928,0.5540334855403348,0.6436667329488964,0.6506024096385542,0.49741978909580437
15,0.4797,0.0005526781897060573,0.3800607287449393,0.26876737720111216,0.2739391663537364,0.15857605177993528,0.2619126957680773,0.20833333333333334,0.553763440860215,0.3189461883408072,0.7087255151360977,0.3140495867768595,0.3656804733727811,0.7103064066852368,0.7472417251755266,0.32727272727272727,0.17030139671649105,0.8068181818181818,0.5418569254185692,0.6468482799761384,0.6506024096385542,0.49540049360556426
16,0.4881,0.0005227668443694711,0.3873987854251012,0.27803521779425394,0.2959068719489298,0.1650485436893204,0.27990669776741084,0.2222222222222222,0.5591397849462365,0.32062780269058294,0.700330704655304,0.32231404958677684,0.3857988165680473,0.7325905292479109,0.7402206619859579,0.3303030303030303,0.16687086498407253,0.8048996458087367,0.563165905631659,0.6551998409226486,0.6746987951807228,0.5238949966345076
17,0.4929,0.0004945743130519986,0.3881578947368421,0.28668520234785294,0.29722117912129176,0.17475728155339806,0.30223258913695433,0.22777777777777777,0.5740740740740741,0.32623318385650224,0.7077079623505469,0.3140495867768595,0.3739644970414201,0.7103064066852368,0.7512537612838516,0.3515151515151515,0.18132810585640774,0.8161157024793388,0.5730593607305936,0.6510240604493935,0.6867469879518072,0.5200807718196097
18,0.4949,0.0004686964093707502,0.3939777327935223,0.28112449799196787,0.3032294404806609,0.1650485436893204,0.29890036654448515,0.225,0.5645161290322581,0.3368834080717489,0.7140676672602391,0.3305785123966942,0.39644970414201186,0.7381615598885793,0.7432296890672017,0.33636363636363636,0.17912276402842442,0.8062278630460449,0.5669710806697108,0.6599721614635117,0.6746987951807228,0.5319721785954677
19,0.5013,0.00044485615217126906,0.3985323886639676,0.2891566265060241,0.31918888471648516,0.17475728155339806,0.3148950349883372,0.2375,0.5725806451612904,0.3368834080717489,0.7087255151360977,0.35537190082644626,0.39644970414201186,0.7270194986072424,0.7522567703109327,0.3484848484848485,0.18255329576084292,0.8071133412042503,0.5814307458143074,0.662954861801551,0.6987951807228916,0.5416199237155037
20,0.5064,0.00042370782466605306,0.4043522267206478,0.3005869632375657,0.33101764926774313,0.17475728155339806,0.33588803732089306,0.24722222222222223,0.5884109916367981,0.3447309417040359,0.7127957262783007,0.33884297520661155,0.4,0.7325905292479109,0.7512537612838516,0.3606060606060606,0.18965939720656702,0.8066706021251476,0.5806697108066972,0.6657387154503878,0.6987951807228916,0.5378056989006058
21,0.51,0.00040402865852229297,0.4089068825910931,0.3073833796725363,0.33533608711978974,0.17475728155339806,0.3395534821726091,0.25277777777777777,0.5890083632019116,0.34360986547085204,0.7181378784024421,0.34710743801652894,0.40710059171597635,0.7298050139275766,0.7422266800401204,0.37272727272727274,0.18843420730213184,0.810655253837072,0.58675799086758,0.6651421753827799,0.7108433734939759,0.5364595019071124
22,0.5139,0.0003867364430334419,0.41371457489878544,0.303985171455051,0.3366503942921517,0.1779935275080906,0.35554815061646117,0.2611111111111111,0.5913978494623656,0.3548206278026906,0.7244975833121343,0.35537190082644626,0.4307692307692308,0.7270194986072424,0.728184553660983,0.37575757575757573,0.19578534672874295,0.8020956316410862,0.5791476407914764,0.6776695168025453,0.6867469879518072,0.5470047116894772
23,0.5155,0.00037154144956730306,0.4116902834008097,0.30089589125733707,0.346038302666166,0.18122977346278318,0.364211929356881,0.25833333333333336,0.5982676224611708,0.3447309417040359,0.7173747138132791,0.371900826446281,0.42958579881656805,0.7298050139275766,0.7432296890672017,0.38484848484848483,0.19063954913011516,0.810064935064935,0.5898021308980214,0.6703121893020482,0.6987951807228916,0.548799641014135
24,0.5164,0.0003575628506951034,0.4187753036437247,0.31479765214704974,0.3482914006759294,0.1779935275080906,0.3558813728757081,0.25833333333333336,0.5958781362007168,0.35033632286995514,0.7252607479012974,0.371900826446281,0.421301775147929,0.7298050139275766,0.7432296890672017,0.36666666666666664,0.19235481499632442,0.8088842975206612,0.5776255707762558,0.670908729369656,0.6987951807228916,0.5548575274848553
25,0.5248,0.0003449668874964118,0.42535425101214575,0.3132530120481928,0.3558017273751408,0.19093851132686085,0.372542485838054,0.2777777777777778,0.6018518518518519,0.35818385650224216,0.7222080895446451,0.3884297520661157,0.4378698224852071,0.7409470752089137,0.7321965897693079,0.38484848484848483,0.19921587846116148,0.7989964580873672,0.5859969558599696,0.6840326108570293,0.7108433734939759,0.5730311868970159
26,0.525,0.00033347660792060196,0.43041497975708504,0.32839048501699103,0.35805482538490424,0.20388349514563106,0.36821059646784404,0.2708333333333333,0.5973715651135006,0.3604260089686099,0.7194098193843805,0.371900826446281,0.43431952662721895,0.7353760445682451,0.7382146439317954,0.3787878787878788,0.20485175202156333,0.8079988193624558,0.593607305936073,0.6822429906542056,0.7228915662650602,0.5723580884002692
27,0.5298,0.00032281861058436334,0.4324392712550607,0.33704046957059003,0.36293653773939166,0.20388349514563106,0.3902032655781406,0.2833333333333333,0.6105137395459976,0.36378923766816146,0.7283134062579496,0.38016528925619836,0.4414201183431953,0.7298050139275766,0.7382146439317954,0.403030303030303,0.20803724577309482,0.8043093270365997,0.589041095890411,0.6818452972758003,0.7108433734939759,0.5719093560691048
28,0.5284,0.00031272656633518636,0.42813765182186236,0.3222119246215632,0.3640630867442734,0.19093851132686085,0.3898700433188937,0.2791666666666667,0.6149940262843488,0.35650224215246634,0.7275502416687866,0.39669421487603307,0.44023668639053254,0.7353760445682451,0.7462387161484454,0.396969696969697,0.20289144817446705,0.8066706021251476,0.589041095890411,0.6772718234241399,0.7228915662650602,0.5732555530625981
29,0.5331,0.0003038326103705913,0.43724696356275305,0.33549582947173306,0.36838152459631995,0.18770226537216828,0.3935354881706098,0.28888888888888886,0.6158900836320191,0.3548206278026906,0.7252607479012974,0.3884297520661157,0.4414201183431953,0.7353760445682451,0.7442326980942828,0.40606060606060607,0.20044106836559666,0.8035714285714286,0.593607305936073,0.684629150924637,0.7228915662650602,0.5849225936728741
30,0.5348,0.0002948181063402444,0.43800607287449395,0.33611368551127585,0.36819376642883966,0.1941747572815534,0.39986671109630123,0.29444444444444445,0.6149940262843488,0.36378923766816146,0.7295853472398881,0.3884297520661157,0.4461538461538462,0.7409470752089137,0.7392176529588766,0.4121212121212121,0.20999754962019113,0.8063754427390791,0.5996955859969558,0.686816464505866,0.7349397590361446,0.5784159748709895
31,0.5383,0.00028652205946855247,0.45318825910931176,0.3580475749150448,0.37701840030041306,0.20711974110032363,0.4028657114295235,0.30694444444444446,0.6185782556750299,0.3598654708520179,0.732892393792928,0.38016528925619836,0.450887573964497,0.7353760445682451,0.7432296890672017,0.42727272727272725,0.20877235971575595,0.8001770956316411,0.5898021308980214,0.6933784052495526,0.7349397590361446,0.5840251290105453
32,0.5387,0.0002786310506053269,0.4438259109311741,0.34352795798578933,0.37607960946301167,0.21035598705501618,0.40953015661446185,0.3055555555555556,0.6194743130227002,0.3660313901345291,0.7298397354362758,0.39669421487603307,0.450887573964497,0.7353760445682451,0.7382146439317954,0.4212121212121212,0.21783876500857632,0.805047225501771,0.6073059360730594,0.6911910916683237,0.7590361445783133,0.5963652681175678
33,0.5403,0.0002709429827518761,0.4493927125506073,0.3543404386777881,0.3899737138565528,0.20711974110032363,0.41186271242919026,0.30694444444444446,0.6197729988052568,0.3649103139013453,0.7306029000254388,0.3884297520661157,0.4544378698224852,0.7353760445682451,0.7512537612838516,0.42424242424242425,0.21342808135260966,0.8004722550177096,0.5951293759512938,0.694770332073971,0.7108433734939759,0.5927754094682521
34,0.5423,0.00026406595134176314,0.4521761133603239,0.35619400679641644,0.3907247465264739,0.2168284789644013,0.40786404531822723,0.3125,0.6155913978494624,0.3649103139013453,0.7359450521495803,0.4049586776859504,0.4591715976331361,0.7381615598885793,0.7392176529588766,0.4212121212121212,0.21857387895123745,0.8065230224321134,0.606544901065449,0.6872141578842712,0.7228915662650602,0.6026475207538703
35,0.5438,0.0002569389471318573,0.45318825910931176,0.35928328699413037,0.39053698835899364,0.2168284789644013,0.41186271242919026,0.31527777777777777,0.6203703703703703,0.3649103139013453,0.7346731111676418,0.4132231404958678,0.4544378698224852,0.7353760445682451,0.7412236710130391,0.41818181818181815,0.21783876500857632,0.804456906729634,0.6050228310502284,0.6955657188307814,0.7469879518072289,0.6089297733901727
36,0.5433,0.00025053994613699615,0.45875506072874495,0.3614457831325301,0.3948554262110402,0.1941747572815534,0.42019326891036324,0.325,0.6233572281959379,0.36771300448430494,0.7420503688628848,0.39669421487603307,0.46272189349112425,0.7381615598885793,0.7392176529588766,0.43333333333333335,0.215633423180593,0.8000295159386068,0.593607305936073,0.6941737920063631,0.7228915662650602,0.6021987884227059
37,0.5468,0.0002447215374559164,0.4569838056680162,0.36515291936978683,0.3999248967330079,0.21035598705501618,0.41519493502165944,0.3194444444444444,0.6239545997610514,0.367152466367713,0.7349274993640295,0.4132231404958678,0.45798816568047335,0.7381615598885793,0.7452357071213641,0.4303030303030303,0.2190639549130115,0.8054899645808736,0.60882800608828,0.6951680254523762,0.7590361445783133,0.6071348440655149
38,0.5493,0.00023924392007756978,0.45521255060728744,0.366079703429101,0.39654524971836275,0.22330097087378642,0.43418860379873375,0.3263888888888889,0.6329151732377539,0.3710762331838565,0.7387433223098449,0.4132231404958678,0.4662721893491124,0.7353760445682451,0.7412236710130391,0.4393939393939394,0.22445479049252634,0.8034238488783944,0.6133942161339422,0.6911910916683237,0.7349397590361446,0.6109490688804128
39,0.5481,0.00023373274598270655,0.4577429149797571,0.3657707754093296,0.3916635373638753,0.2168284789644013,0.43418860379873375,0.32222222222222224,0.6344086021505376,0.36771300448430494,0.7407784278809463,0.4214876033057851,0.4686390532544379,0.7409470752089137,0.7432296890672017,0.45151515151515154,0.22249448664543003,0.7989964580873672,0.5951293759512938,0.6953668721415789,0.7108433734939759,0.6138658290329818
40,0.5509,0.00022844172781333327,0.46710526315789475,0.37720111214087115,0.4001126549004882,0.23624595469255663,0.42919026991003,0.3347222222222222,0.6284348864994026,0.3783632286995516,0.7367082167387433,0.4049586776859504,0.4710059171597633,0.7353760445682451,0.7412236710130391,0.43636363636363634,0.22543494241607448,0.7982585596221959,0.6103500761035008,0.7063034400477232,0.7108433734939759,0.6248597711465111
41,0.5543,0.00022334090317599475,0.4633097165991903,0.37256719184430026,0.3971085242208036,0.22330097087378642,0.43585471509496837,0.3347222222222222,0.6311230585424134,0.3727578475336323,0.7389977105062325,0.4297520661157025,0.47455621301775147,0.7409470752089137,0.7412236710130391,0.44545454545454544,0.22690517030139673,0.8062278630460449,0.6232876712328768,0.7019288128852654,0.7590361445783133,0.6223917433251066
42,0.5543,0.00021820013353135437,0.4617914979757085,0.37380290392338583,0.4113781449493053,0.22330097087378642,0.4385204931689437,0.33194444444444443,0.6353046594982079,0.37387892376681614,0.7379801577206817,0.4297520661157025,0.4710059171597633,0.7381615598885793,0.7482447342026078,0.44545454545454544,0.22690517030139673,0.8012101534828807,0.6118721461187214,0.6975541857228077,0.7469879518072289,0.6223917433251066
43,0.5573,0.00021378128440119326,0.47393724696356276,0.386468952734013,0.417761922643635,0.23300970873786409,0.45051649450183273,0.3486111111111111,0.6373954599761051,0.38004484304932734,0.7410328160773341,0.4380165289256198,0.4911242603550296,0.7381615598885793,0.7331995987963892,0.45151515151515154,0.2320509679000245,0.7958972845336482,0.6164383561643836,0.7067011334261285,0.7349397590361446,0.6205968140004487
44,0.5561,0.00020932260667905211,0.4731781376518219,0.38430645659561324,0.425647765677807,0.22653721682847897,0.4395201599466844,0.34305555555555556,0.6344086021505376,0.37668161434977576,0.7420503688628848,0.4380165289256198,0.4804733727810651,0.7381615598885793,0.7372116349047142,0.45151515151515154,0.228865474148493,0.7994391971664699,0.6133942161339422,0.7072976734937363,0.7228915662650602,0.6196993493381198
45,0.556,0.0002052111376542598,0.4643218623481781,0.36947791164658633,0.412504693954187,0.2297734627831715,0.4428523825391536,0.3347222222222222,0.6379928315412187,0.38172645739910316,0.7417959806664971,0.4297520661157025,0.48284023668639053,0.7437325905292479,0.7432296890672017,0.45151515151515154,0.23352119578534672,0.806965761511216,0.624048706240487,0.6997414993040366,0.7349397590361446,0.6246354049809288
46,0.557,0.00020111602498218417,0.46558704453441296,0.3750386160024714,0.4113781449493053,0.22330097087378642,0.4428523825391536,0.3375,0.6370967741935484,0.3806053811659193,0.7461205800050877,0.4297520661157025,0.48520710059171596,0.754874651810585,0.7462387161484454,0.4636363636363636,0.23107081597647636,0.8035714285714286,0.6149162861491628,0.6971564923444025,0.7228915662650602,0.6277765312990801
47,0.5575,0.0001970852754311636,0.47039473684210525,0.3809082483781279,0.4194517461509576,0.22006472491909385,0.4445184938353882,0.34305555555555556,0.6379928315412187,0.37948430493273544,0.7445942508267617,0.4380165289256198,0.48994082840236686,0.7520891364902507,0.7472417251755266,0.4575757575757576,0.228865474148493,0.7997343565525383,0.6103500761035008,0.7045138198448996,0.7349397590361446,0.6275521651334979
