round,global_acc
0,0.2155
1,0.2302
2,0.3105
3,0.3567
4,0.4135
5,0.4405
6,0.4707
7,0.506
8,0.5013
9,0.5362
10,0.5443
11,0.5651
12,0.5794
13,0.5794
14,0.6009
15,0.5927
16,0.6178
17,0.6165
18,0.6242
19,0.6289
20,0.6385
21,0.6423
22,0.6419
23,0.6525
24,0.6552
25,0.6512
26,0.6577
27,0.6665
28,0.6619
29,0.6657
30,0.673
31,0.6746
32,0.6765
33,0.6836
34,0.6759
35,0.6792
36,0.6844
37,0.6816
38,0.6923
39,0.6928
40,0.6933
41,0.6893
42,0.6973
43,0.6961
44,0.695
45,0.6983
46,0.705
47,0.7006
48,0.7034
49,0.7036
50,0.6997
51,0.7009
52,0.703
53,0.7055
54,0.7052
55,0.7052
56,0.7043
57,0.7034
58,0.7059
59,0.7057
60,0.7052
61,0.706
62,0.7066
63,0.7089
64,0.7047
65,0.7074
66,0.7066
67,0.7105
68,0.708
69,0.7091
70,0.7084
71,0.7095
72,0.7086
73,0.7109
74,0.7115
75,0.71
76,0.712
77,0.7103
78,0.7142
79,0.7137
80,0.7119
81,0.7135
82,0.7145
83,0.7133
84,0.7126
85,0.7104
86,0.7094
87,0.7106
88,0.7182
89,0.7141
90,0.7152
91,0.7101
92,0.7173
93,0.7146
94,0.7166
95,0.7159
96,0.7164
97,0.7162
98,0.7099
99,0.7151
100,0.6343
101,0.6357
102,0.6221
103,0.6189
104,0.6077
105,0.612
106,0.6037
107,0.6075
108,0.6033
109,0.6037
110,0.6096
111,0.618
112,0.6039
113,0.6096
114,0.6037
115,0.6107
116,0.6054
117,0.6081
118,0.6051
119,0.6107
120,0.5948
121,0.6144
122,0.6035
123,0.6036
124,0.6069
125,0.6046
126,0.6035
127,0.6051
128,0.6074
129,0.6055
130,0.6094
131,0.6033
132,0.6157
133,0.613
134,0.6027
135,0.6147
136,0.6056
137,0.6116
138,0.5993
139,0.6007
140,0.6146
141,0.5901
142,0.6029
143,0.6009
144,0.6168
145,0.6067
146,0.6144
147,0.6014
148,0.6129
149,0.599
150,0.6166
151,0.5938
152,0.6049
153,0.6048
154,0.6036
155,0.6145
156,0.6065
157,0.6116
158,0.5968
159,0.6075
160,0.6078
161,0.6085
162,0.6093
163,0.5946
164,0.6103
165,0.605
166,0.6007
167,0.6072
168,0.6036
169,0.6096
170,0.6052
171,0.6093
172,0.6007
173,0.6067
174,0.6025
175,0.6049
176,0.599
177,0.6051
178,0.6082
179,0.6055
180,0.6131
181,0.5975
182,0.6141
183,0.593
184,0.6299
185,0.6056
186,0.6233
187,0.6054
188,0.6166
189,0.6084
190,0.6018
191,0.6096
192,0.6029
193,0.612
194,0.5996
195,0.6169
196,0.6021
197,0.6214
198,0.5972
199,0.6188
