round,global_acc
0,0.1522
1,0.2185
2,0.2285
3,0.2678
4,0.3508
5,0.4067
6,0.4364
7,0.4566
8,0.4644
9,0.4675
10,0.4721
11,0.4871
12,0.5122
13,0.5315
14,0.5459
15,0.5601
16,0.5734
17,0.5805
18,0.5865
19,0.5921
20,0.5947
21,0.6008
22,0.6042
23,0.6059
24,0.6111
25,0.6189
26,0.6258
27,0.6271
28,0.6297
29,0.628
30,0.6321
31,0.6333
32,0.6367
33,0.6414
34,0.6455
35,0.6486
36,0.6493
37,0.65
38,0.6524
39,0.6537
40,0.6564
41,0.6573
42,0.6578
43,0.6602
44,0.6621
45,0.6635
46,0.664
47,0.664
48,0.6694
49,0.6666
50,0.6662
51,0.664
52,0.6626
53,0.6616
54,0.6663
55,0.6711
56,0.6719
57,0.6721
58,0.6695
59,0.6718
60,0.6741
61,0.6684
62,0.668
63,0.6655
64,0.6666
65,0.6684
66,0.6746
67,0.6795
68,0.6821
69,0.6808
70,0.6801
71,0.6796
72,0.6772
73,0.6759
74,0.6758
75,0.6755
76,0.678
77,0.6816
78,0.6829
79,0.6822
80,0.6795
81,0.6802
82,0.6784
83,0.6792
84,0.6799
85,0.681
86,0.6818
87,0.681
88,0.6819
89,0.6832
90,0.6825
91,0.6812
92,0.6811
93,0.6802
94,0.68
95,0.678
96,0.6795
97,0.6806
98,0.6836
99,0.6812
100,0.6793
101,0.6559
102,0.6142
103,0.5588
104,0.5233
105,0.5041
106,0.5007
107,0.506
108,0.5209
109,0.536
110,0.5448
111,0.5515
112,0.5558
113,0.5624
114,0.5702
115,0.5789
116,0.59
117,0.5998
118,0.6103
119,0.6151
120,0.6175
121,0.6145
122,0.6035
123,0.5908
124,0.5779
125,0.5684
126,0.5634
127,0.5599
128,0.5605
129,0.5597
130,0.5662
131,0.5736
132,0.574
133,0.5789
134,0.5817
135,0.5875
136,0.5878
137,0.5873
138,0.5861
139,0.5835
140,0.5797
141,0.5732
142,0.569
143,0.5655
144,0.5647
145,0.5658
146,0.5671
147,0.5683
148,0.5742
149,0.581
150,0.5877
151,0.5895
152,0.5891
153,0.5904
154,0.5856
155,0.5798
156,0.5769
157,0.5718
158,0.5676
159,0.5667
160,0.567
161,0.5687
162,0.5681
163,0.5748
164,0.579
165,0.5811
166,0.5858
167,0.5878
168,0.5914
169,0.594
170,0.5948
171,0.592
172,0.5926
173,0.5899
174,0.5885
175,0.5867
176,0.5834
177,0.5793
178,0.5787
179,0.5775
180,0.5817
181,0.5847
182,0.5866
183,0.5886
184,0.5866
185,0.5854
186,0.5844
187,0.5817
188,0.5802
189,0.5839
190,0.5831
191,0.5835
192,0.5864
193,0.5851
194,0.5819
195,0.5783
196,0.5805
197,0.5806
198,0.5821
199,0.5828
