round,global_acc
0,0.1906
1,0.2249
2,0.3003
3,0.3756
4,0.4128
5,0.4689
6,0.4872
7,0.5115
8,0.5273
9,0.5537
10,0.5674
11,0.5729
12,0.5774
13,0.5893
14,0.6014
15,0.6089
16,0.6172
17,0.629
18,0.6329
19,0.6417
20,0.6425
21,0.6523
22,0.6565
23,0.6512
24,0.6619
25,0.6668
26,0.6681
27,0.6724
28,0.6733
29,0.6761
30,0.6827
31,0.6815
32,0.6854
33,0.6838
34,0.6911
35,0.6904
36,0.6839
37,0.6924
38,0.6893
39,0.6909
40,0.6926
41,0.6987
42,0.6933
43,0.6983
44,0.6942
45,0.6974
46,0.6974
47,0.7028
48,0.7039
49,0.6999
50,0.6984
51,0.7006
52,0.7029
53,0.7061
54,0.7068
55,0.7103
56,0.7066
57,0.7062
58,0.7045
59,0.7085
60,0.7084
61,0.7099
62,0.7115
63,0.7123
64,0.7104
65,0.7092
66,0.714
67,0.7097
68,0.7129
69,0.7153
70,0.7126
71,0.7141
72,0.716
73,0.7129
74,0.711
75,0.7138
76,0.7148
77,0.7164
78,0.7134
79,0.7138
80,0.7132
81,0.7149
82,0.715
83,0.7172
84,0.7158
85,0.713
86,0.7152
87,0.7132
88,0.7093
89,0.712
90,0.7144
91,0.7137
92,0.7117
93,0.7093
94,0.7118
95,0.7125
96,0.7144
97,0.7184
98,0.7181
99,0.7138
100,0.6495
101,0.6597
102,0.6443
103,0.6325
104,0.6023
105,0.6021
106,0.6021
107,0.5935
108,0.6087
109,0.597
110,0.6012
111,0.5885
112,0.6006
113,0.5905
114,0.5965
115,0.6009
116,0.5963
117,0.6035
118,0.599
119,0.6046
120,0.6053
121,0.6054
122,0.594
123,0.6013
124,0.6019
125,0.597
126,0.5998
127,0.6026
128,0.5914
129,0.6083
130,0.5981
131,0.5982
132,0.6123
133,0.6039
134,0.5936
135,0.6037
136,0.6049
137,0.5936
138,0.603
139,0.6032
140,0.6101
141,0.6082
142,0.6001
143,0.6076
144,0.5943
145,0.5999
146,0.6109
147,0.5924
148,0.6055
149,0.5974
150,0.6128
151,0.5967
152,0.6048
153,0.6042
154,0.6097
155,0.5926
156,0.6034
157,0.5985
158,0.6122
159,0.6011
160,0.6031
161,0.591
162,0.5972
163,0.6012
164,0.594
165,0.6103
166,0.6052
167,0.6006
168,0.5954
169,0.6043
170,0.6028
171,0.5973
172,0.5919
173,0.6051
174,0.59
175,0.5994
176,0.5976
177,0.6017
178,0.6049
179,0.585
180,0.5954
181,0.5835
182,0.6041
183,0.5853
184,0.5997
185,0.5883
186,0.6014
187,0.5942
188,0.5906
189,0.5925
190,0.5953
191,0.6077
192,0.5957
193,0.5929
194,0.588
195,0.604
196,0.5937
197,0.5932
198,0.5908
199,0.591
