round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.215
1,0,0,0,,,,0.228
2,0,0,0,,,,0.3131
3,0,0,0,,,,0.358
4,0,0,0,,,,0.409
5,0,0,0,,,,0.4496
6,0,0,0,,,,0.4723
7,0,0,0,,,,0.5071
8,0,0,0,,,,0.5041
9,0,0,0,,,,0.5405
10,0,0,0,,,,0.547
11,0,0,0,,,,0.5679
12,0,0,0,,,,0.5751
13,0,0,0,,,,0.5805
14,0,0,0,,,,0.5991
15,0,0,0,,,,0.5963
16,0,0,0,,,,0.6159
17,0,0,0,,,,0.6164
18,0,0,0,,,,0.6253
19,0,0,0,,,,0.6257
20,0,0,0,,,,0.6372
21,0,0,0,,,,0.6397
22,0,0,0,,,,0.6437
23,0,0,0,,,,0.6509
24,0,0,0,,,,0.6537
25,0,0,0,,,,0.6533
26,0,0,0,,,,0.6589
27,0,0,0,,,,0.6693
28,0,0,0,,,,0.663
29,0,0,0,,,,0.6708
30,0,0,0,,,,0.6706
31,0,0,0,,,,0.6761
32,0,0,0,,,,0.6763
33,0,0,0,,,,0.6806
34,0,0,0,,,,0.6796
35,0,0,0,,,,0.6787
36,0,0,0,,,,0.6835
37,0,0,0,,,,0.6838
38,0,0,0,,,,0.6879
39,0,0,0,,,,0.6862
40,0,0,0,,,,0.6914
41,0,0,0,,,,0.6889
42,0,0,0,,,,0.6928
43,0,0,0,,,,0.6928
44,0,0,0,,,,0.6898
45,0,0,0,,,,0.6991
46,0,0,0,,,,0.7017
47,0,0,0,,,,0.7034
48,0,0,0,,,,0.6987
49,0,0,0,,,,0.701
50,0,0,0,,,,0.7016
51,0,0,0,,,,0.7024
52,0,0,0,,,,0.7047
53,0,0,0,,,,0.7045
54,0,0,0,,,,0.7062
55,0,0,0,,,,0.7057
56,0,0,0,,,,0.7078
57,0,0,0,,,,0.7043
58,0,0,0,,,,0.7056
59,0,0,0,,,,0.7105
60,0,0,0,,,,0.707
61,0,0,0,,,,0.7096
62,0,0,0,,,,0.7093
63,0,0,0,,,,0.7144
64,0,0,0,,,,0.706
65,0,0,0,,,,0.7094
66,0,0,0,,,,0.709
67,0,0,0,,,,0.7121
68,0,0,0,,,,0.7098
69,0,0,0,,,,0.7066
70,0,0,0,,,,0.7112
71,0,0,0,,,,0.7116
72,0,0,0,,,,0.7102
73,0,0,0,,,,0.7125
74,0,0,0,,,,0.7122
75,0,0,0,,,,0.7123
76,0,0,0,,,,0.7088
77,0,0,0,,,,0.7123
78,0,0,0,,,,0.7126
79,0,0,0,,,,0.7124
80,0,0,0,,,,0.7137
