round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.2052
1,0,0,0,,,,0.2676
2,0,0,0,,,,0.3436
3,0,0,0,,,,0.3792
4,0,0,0,,,,0.4209
5,0,0,0,,,,0.4482
6,0,0,0,,,,0.486
7,0,0,0,,,,0.5174
8,0,0,0,,,,0.5426
9,0,0,0,,,,0.5585
10,0,0,0,,,,0.5809
11,0,0,0,,,,0.5731
12,0,0,0,,,,0.6037
13,0,0,0,,,,0.6178
14,0,0,0,,,,0.6176
15,0,0,0,,,,0.6235
16,0,0,0,,,,0.6306
17,0,0,0,,,,0.6332
18,0,0,0,,,,0.6432
19,0,0,0,,,,0.6451
20,0,0,0,,,,0.6459
21,0,0,0,,,,0.6502
22,0,0,0,,,,0.6564
23,0,0,0,,,,0.661
24,0,0,0,,,,0.6657
25,0,0,0,,,,0.6654
26,0,0,0,,,,0.6686
27,0,0,0,,,,0.6726
28,0,0,0,,,,0.6728
29,0,0,0,,,,0.6749
30,0,0,0,,,,0.6805
31,0,0,0,,,,0.6856
32,0,0,0,,,,0.6839
33,0,0,0,,,,0.6865
34,0,0,0,,,,0.6888
35,0,0,0,,,,0.6835
36,0,0,0,,,,0.6928
37,0,0,0,,,,0.6923
38,0,0,0,,,,0.6962
39,0,0,0,,,,0.6963
40,0,0,0,,,,0.6977
41,0,0,0,,,,0.7002
42,0,0,0,,,,0.7041
43,0,0,0,,,,0.7015
44,0,0,0,,,,0.7043
45,0,0,0,,,,0.7056
46,0,0,0,,,,0.7047
47,0,0,0,,,,0.7086
48,0,0,0,,,,0.7051
49,0,0,0,,,,0.703
50,0,0,0,,,,0.7072
51,0,0,0,,,,0.707
52,0,0,0,,,,0.7047
53,0,0,0,,,,0.7068
54,0,0,0,,,,0.7047
55,0,0,0,,,,0.7079
56,0,0,0,,,,0.7042
57,0,0,0,,,,0.7105
58,0,0,0,,,,0.7097
59,0,0,0,,,,0.7112
60,0,0,0,,,,0.7107
61,0,0,0,,,,0.7155
62,0,0,0,,,,0.7143
63,0,0,0,,,,0.7148
64,0,0,0,,,,0.711
65,0,0,0,,,,0.7151
66,0,0,0,,,,0.7097
67,0,0,0,,,,0.7175
68,0,0,0,,,,0.7171
69,0,0,0,,,,0.7094
70,0,0,0,,,,0.7169
71,0,0,0,,,,0.716
72,0,0,0,,,,0.7163
73,0,0,0,,,,0.7139
74,0,0,0,,,,0.713
75,0,0,0,,,,0.7181
76,0,0,0,,,,0.715
77,0,0,0,,,,0.7218
78,0,0,0,,,,0.7177
79,0,0,0,,,,0.7186
80,0,0,0,,,,0.7156
81,0,0,0,,,,0.7209
82,0,0,0,,,,0.717
83,0,0,0,,,,0.7129
84,0,0,0,,,,0.7207
85,0,0,0,,,,0.7154
86,0,0,0,,,,0.7188
87,0,0,0,,,,0.7187
88,0,0,0,,,,0.7207
89,0,0,0,,,,0.7168
90,0,0,0,,,,0.7163
91,0,0,0,,,,0.7152
92,0,0,0,,,,0.7191
93,0,0,0,,,,0.7197
94,0,0,0,,,,0.7205
95,0,0,0,,,,0.7213
96,0,0,0,,,,0.7185
97,0,0,0,,,,0.7171
98,0,0,0,,,,0.7181
99,0,0,0,,,,0.7207
100,8,4,7,0;1;2;3;9;10;14;18,1;3;9;18,0;1;2;3;10;14;18,0.6159
101,8,4,7,0;1;2;3;9;10;14;18,1;3;9;18,0;1;2;3;10;14;18,0.6069
102,8,4,7,0;1;2;3;9;10;14;18,1;3;9;18,0;1;2;3;10;14;18,0.5885
103,8,3,7,0;1;2;3;9;10;14;18,1;9;18,0;1;2;3;10;14;18,0.5782
104,7,2,6,0;2;3;9;10;14;18,9;18,0;2;3;10;14;18,0.578
105,2,2,1,9;18,9;18,18,0.6205
106,2,2,0,9;18,9;18,,0.5968
107,0,0,0,,,,0.6039
108,0,0,0,,,,0.5995
109,0,0,0,,,,0.5898
110,0,0,0,,,,0.5943
111,0,0,0,,,,0.5892
112,0,0,0,,,,0.5897
113,0,0,0,,,,0.5907
114,0,0,0,,,,0.5862
115,0,0,0,,,,0.5903
116,0,0,0,,,,0.5874
117,0,0,0,,,,0.5851
118,0,0,0,,,,0.59
119,0,0,0,,,,0.5908
120,0,0,0,,,,0.5845
121,0,0,0,,,,0.5855
122,0,0,0,,,,0.588
123,0,0,0,,,,0.5878
124,0,0,0,,,,0.5788
125,0,0,0,,,,0.5878
126,0,0,0,,,,0.5819
127,0,0,0,,,,0.586
128,0,0,0,,,,0.5783
129,0,0,0,,,,0.5893
130,0,0,0,,,,0.59
131,0,0,0,,,,0.5824
132,0,0,0,,,,0.595
133,0,0,0,,,,0.5881
134,0,0,0,,,,0.588
135,0,0,0,,,,0.5819
136,0,0,0,,,,0.5807
137,0,0,0,,,,0.5936
138,0,0,0,,,,0.5712
139,0,0,0,,,,0.5814
140,0,0,0,,,,0.5848
141,0,0,0,,,,0.5808
142,0,0,0,,,,0.5799
143,0,0,0,,,,0.5828
144,0,0,0,,,,0.594
145,0,0,0,,,,0.5887
146,0,0,0,,,,0.5778
147,0,0,0,,,,0.5858
148,0,0,0,,,,0.5796
149,0,0,0,,,,0.5816
150,0,0,0,,,,0.5724
151,0,0,0,,,,0.5846
152,0,0,0,,,,0.587
153,0,0,0,,,,0.5823
154,0,0,0,,,,0.5807
155,0,0,0,,,,0.5776
156,0,0,0,,,,0.5861
157,0,0,0,,,,0.5853
158,0,0,0,,,,0.5762
159,0,0,0,,,,0.5893
160,0,0,0,,,,0.5846
161,0,0,0,,,,0.5809
162,0,0,0,,,,0.5822
163,0,0,0,,,,0.5833
164,0,0,0,,,,0.5822
165,0,0,0,,,,0.5733
166,0,0,0,,,,0.5871
167,0,0,0,,,,0.5868
168,0,0,0,,,,0.5753
169,0,0,0,,,,0.574
170,0,0,0,,,,0.5727
171,0,0,0,,,,0.5842
172,0,0,0,,,,0.5728
173,0,0,0,,,,0.586
174,0,0,0,,,,0.5854
175,0,0,0,,,,0.5836
176,0,0,0,,,,0.5779
177,0,0,0,,,,0.5929
178,0,0,0,,,,0.5761
179,0,0,0,,,,0.5844
180,0,0,0,,,,0.5736
181,0,0,0,,,,0.572
182,0,0,0,,,,0.5784
183,0,0,0,,,,0.58
184,0,0,0,,,,0.5734
185,0,0,0,,,,0.5778
186,0,0,0,,,,0.5655
187,0,0,0,,,,0.5851
188,0,0,0,,,,0.5831
189,0,0,0,,,,0.5848
190,0,0,0,,,,0.5761
191,0,0,0,,,,0.5855
192,0,0,0,,,,0.5883
193,0,0,0,,,,0.5829
194,0,0,0,,,,0.5705
195,0,0,0,,,,0.5821
196,0,0,0,,,,0.5679
197,0,0,0,,,,0.5829
198,0,0,0,,,,0.5708
199,0,0,0,,,,0.584
