round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.214,0.14726720647773278,0.04357231149567367,0.08075117370892018,0.042071197411003236,0.07191780821917808,0.03177570093457944,0.5578512396694215,0.15751121076233185,0.24084435401831128,0.11570247933884298,0.15832482124616956,0.6713091922005571,0.39581256231306083,0.08695652173913043,0.02817936780200931,0.5418450184501845,0.10933991917377638,0.3008018775669861,0.17543859649122806,0.032764811490125674
1,0.2666,0.3021255060728745,0.07601977750309023,0.01896713615023474,0.05177993527508091,0.2191780821917808,0.04672897196261682,0.6823347107438017,0.3116591928251121,0.5582400813835199,0.15702479338842976,0.34627170582226763,0.7910863509749304,0.38534396809571286,0.20108695652173914,0.09997549620191129,0.41682656826568265,0.026044005388414906,0.5278701349501271,0.10526315789473684,0.07024236983842011
2,0.3591,0.34944331983805665,0.16378244746600742,0.1752112676056338,0.07119741100323625,0.3595890410958904,0.08411214953271028,0.7696280991735537,0.31446188340807174,0.6790437436419126,0.256198347107438,0.3146067415730337,0.7715877437325905,0.37587238285144564,0.34782608695652173,0.12668463611859837,0.5781549815498155,0.06937584193982936,0.6229219636221397,0.1695906432748538,0.236983842010772
3,0.3943,0.3800607287449393,0.1792336217552534,0.23624413145539905,0.07119741100323625,0.3561643835616438,0.10841121495327102,0.7804752066115702,0.327914798206278,0.7184638860630722,0.2809917355371901,0.34014300306435136,0.8022284122562674,0.38584247258225324,0.34782608695652173,0.12521440823327615,0.597490774907749,0.0837449483610238,0.6819870917269705,0.21052631578947367,0.3992369838420108
4,0.4512,0.3937246963562753,0.2042645241038319,0.38215962441314555,0.0970873786407767,0.3732876712328767,0.16074766355140188,0.7933884297520661,0.3267937219730942,0.7426246185147508,0.33884297520661155,0.3585291113381001,0.7994428969359332,0.4217347956131605,0.3532608695652174,0.14285714285714285,0.6026568265682657,0.12483161203412663,0.7191472716604733,0.24561403508771928,0.5895421903052065
5,0.4727,0.3982793522267207,0.215389369592089,0.459906103286385,0.12297734627831715,0.4006849315068493,0.17196261682242991,0.8114669421487604,0.3419282511210762,0.7540691759918616,0.35537190082644626,0.3564862104187947,0.8105849582172702,0.4336989032901296,0.3695652173913043,0.1600098015192355,0.6628782287822879,0.14616075437808712,0.7173870526109916,0.27485380116959063,0.5798922800718133
6,0.5023,0.4144736842105263,0.23547589616810877,0.4751173708920188,0.21035598705501618,0.3801369863013699,0.1925233644859813,0.8073347107438017,0.39461883408071746,0.7581383519837233,0.371900826446281,0.39734422880490294,0.8161559888579387,0.47008973080757727,0.3695652173913043,0.21416319529527078,0.6410332103321034,0.20431073192635832,0.751026794445531,0.32748538011695905,0.6680879712746858
7,0.5248,0.4223178137651822,0.26359703337453644,0.5466666666666666,0.22653721682847897,0.4246575342465753,0.21682242990654205,0.8150826446280992,0.39125560538116594,0.7721261444557477,0.4049586776859504,0.38202247191011235,0.8022284122562674,0.4860418743768694,0.41847826086956524,0.2281303602058319,0.6943173431734317,0.23686573866187696,0.7424212790925093,0.3391812865497076,0.7015260323159784
8,0.5366,0.4466093117408907,0.28090234857849194,0.5318309859154929,0.2621359223300971,0.4246575342465753,0.2485981308411215,0.818698347107438,0.42096412556053814,0.7861139369277721,0.4214876033057851,0.4014300306435138,0.8133704735376045,0.48703888334995016,0.42391304347826086,0.2646410193580005,0.6730627306273063,0.23192635832959138,0.7598278896929396,0.3333333333333333,0.725314183123878
9,0.547,0.45723684210526316,0.29357231149567364,0.5147417840375587,0.21359223300970873,0.4315068493150685,0.24485981308411214,0.8026859504132231,0.40414798206278024,0.7777212614445574,0.4049586776859504,0.4463738508682329,0.8105849582172702,0.5289132602193419,0.391304347826087,0.21759372702768928,0.6746863468634686,0.31814099685675795,0.7868179151183259,0.38596491228070173,0.7841113105924596
10,0.5779,0.4645748987854251,0.3176761433868974,0.6020657276995305,0.3106796116504854,0.4520547945205479,0.2953271028037383,0.8316115702479339,0.4484304932735426,0.8031536113936928,0.47107438016528924,0.43820224719101125,0.8050139275766016,0.5458624127617149,0.45108695652173914,0.31315853957363393,0.7245756457564576,0.3477772788504715,0.7580676706434578,0.42105263157894735,0.7517953321364452
11,0.5906,0.4817813765182186,0.34548825710754016,0.6420657276995305,0.3268608414239482,0.4554794520547945,0.31962616822429907,0.8104338842975206,0.4467488789237668,0.7978128179043744,0.49586776859504134,0.466802860061287,0.7966573816155988,0.5702891326021934,0.47282608695652173,0.31977456505758395,0.7042066420664207,0.3881903906600808,0.7666731859964796,0.45614035087719296,0.7805206463195691
12,0.6017,0.48380566801619435,0.357849196538937,0.6281690140845071,0.31715210355987056,0.4726027397260274,0.34205607476635513,0.8305785123966942,0.4551569506726457,0.7950152594099695,0.5041322314049587,0.48314606741573035,0.8105849582172702,0.613160518444666,0.4891304347826087,0.3371722617005636,0.734760147601476,0.45240233497979343,0.7557207119108156,0.52046783625731,0.7989228007181328
13,0.606,0.5088562753036437,0.3856613102595797,0.5894835680751174,0.3268608414239482,0.5034246575342466,0.33271028037383177,0.818698347107438,0.4680493273542601,0.8049338758901322,0.48760330578512395,0.501532175689479,0.8105849582172702,0.6031904287138584,0.5,0.32663562852242095,0.717490774907749,0.4405029187247418,0.7911206727948367,0.5029239766081871,0.7998204667863554
