round,global_acc,client_lr
0,0.2245,0.01
1,0.223,0.0027725498657673597
2,0.2668,0.0014735483564436436
3,0.3037,0.0010176622308790684
4,0.3255,0.0008214764529839158
5,0.3487,0.0007429859251715243
6,0.3627,0.0007233465439639986
7,0.3791,0.0007265410386025906
8,0.3942,0.0007311678491532803
9,0.4052,0.0007290513603948057
10,0.4208,0.0007160961977206171
11,0.4214,0.0006929177907295525
12,0.4289,0.0006624188972637057
13,0.4447,0.0006281972164288163
14,0.4466,0.0005927934544160962
15,0.4507,0.0005576271214522421
16,0.4559,0.00052450509974733
17,0.4635,0.00049369758926332
18,0.4647,0.0004668641777243465
19,0.4711,0.0004418144526425749
20,0.478,0.0004201924311928451
21,0.4792,0.0004010415868833661
22,0.4843,0.0003838666598312557
23,0.4862,0.00036802745307795703
24,0.4903,0.0003548894892446697
25,0.4906,0.00034246162977069616
26,0.4934,0.00033118959981948137
27,0.496,0.00032100852695293725
28,0.4958,0.00031130254501476884
29,0.4999,0.00030212424462661147
30,0.502,0.0002936236560344696
31,0.5031,0.0002858925436157733
32,0.5048,0.00027844752185046673
33,0.5058,0.00027153390692546964
34,0.5076,0.0002649032976478338
35,0.5107,0.000258462387137115
36,0.5112,0.00025196620845235884
37,0.5103,0.00024595664581283927
38,0.5099,0.00024047881015576422
39,0.5133,0.00023462744138669223
40,0.5161,0.00022937130415812135
41,0.5144,0.00022420322056859732
42,0.5189,0.00021983044280204922
43,0.5185,0.00021520425798371434
44,0.5185,0.00021068270143587142
45,0.5165,0.00020618482085410506
46,0.5203,0.00020204595057293773
47,0.5216,0.000197838235180825
48,0.5207,0.00019400175369810313
49,0.5242,0.0001904781092889607
50,0.5264,0.0001868545514298603
51,0.5246,0.00018331654428038746
52,0.5257,0.0001799145684344694
53,0.5275,0.00017687404761090875
54,0.5271,0.00017372085130773485
55,0.5279,0.00017088939785026014
56,0.5284,0.00016821212193462998
57,0.5306,0.00016564766701776534
58,0.5292,0.00016279309056699276
59,0.5304,0.00016039020556490868
60,0.533,0.0001579185191076249
61,0.5322,0.00015556106518488377
62,0.5333,0.00015323830302804708
63,0.5326,0.00015076578711159527
64,0.5333,0.00014846310659777373
65,0.5343,0.00014614337123930454
66,0.5363,0.0001439532352378592
67,0.5346,0.00014184894098434597
68,0.5361,0.00014002436364535242
69,0.5396,0.0001380784233333543
70,0.5392,0.0001360478054266423
71,0.5376,0.0001342234027106315
72,0.5386,0.00013243396824691445
73,0.5443,0.0001307342026848346
74,0.543,0.000129250023746863
75,0.544,0.00012768138549290597
76,0.5438,0.00012618991604540497
77,0.5439,0.00012460803554859012
78,0.5461,0.0001230528869200498
79,0.5459,0.00012166363740107045
80,0.5453,0.00011992448708042502
81,0.5447,0.00011837921192636713
82,0.551,0.00011718752648448572
83,0.546,0.00011565309978323057
84,0.5492,0.00011416951747378334
85,0.5507,0.00011311154230497777
86,0.5512,0.00011161294969497249
87,0.5488,0.00011041988182114437
88,0.5545,0.00010929386189673096
89,0.552,0.00010808889783220366
90,0.5548,0.00010707663022913039
91,0.552,0.00010597146319923922
92,0.5544,0.00010499482596060261
93,0.5544,0.00010374059638706967
94,0.5575,0.00010293350351275876
95,0.5574,0.0001021481875795871
96,0.5553,0.00010107273556059226
97,0.5597,0.00010012024722527713
98,0.5567,9.900690201902762e-05
99,0.5592,9.788310126168653e-05
100,0.5422,0.00016814129776321352
101,0.5401,0.00018092020764015615
102,0.5398,0.00016746498295105994
103,0.5364,0.00014823506353423
104,0.5298,0.00013043037324678153
105,0.5307,0.00011559663835214451
106,0.5288,0.00010394695709692314
107,0.5275,9.525599307380617e-05
108,0.5258,8.88889844645746e-05
109,0.5233,8.453362534055486e-05
110,0.5252,8.146865729941055e-05
111,0.5231,7.950402505230159e-05
112,0.5208,7.850297697586939e-05
113,0.5178,7.784207264194265e-05
114,0.5186,7.743516471236944e-05
115,0.5179,7.72457497077994e-05
116,0.5184,7.734317478025332e-05
117,0.5178,7.736095722066239e-05
118,0.516,7.72529310779646e-05
119,0.5144,7.727348565822467e-05
120,0.5136,7.726758485659957e-05
121,0.5133,7.707141776336357e-05
122,0.5132,7.688594632782042e-05
123,0.5115,7.662616553716362e-05
124,0.5094,7.633401401108131e-05
125,0.5104,7.597864896524698e-05
126,0.5088,7.557212666142732e-05
127,0.5064,7.514846947742626e-05
128,0.505,7.470139826182276e-05
129,0.504,7.42450647521764e-05
130,0.5054,7.371679384959862e-05
131,0.5059,7.32255430193618e-05
132,0.5045,7.273117080330849e-05
133,0.5035,7.222813292173669e-05
134,0.5023,7.173232734203339e-05
135,0.5025,7.114619074855e-05
136,0.502,7.062529039103538e-05
137,0.4995,7.02375327819027e-05
138,0.5007,6.984002538956702e-05
139,0.4972,6.940567254787311e-05
140,0.4986,6.881084118504077e-05
141,0.498,6.840778951300308e-05
142,0.4938,6.797593960072845e-05
143,0.4944,6.769416359020397e-05
144,0.4954,6.730948371114209e-05
145,0.4936,6.688595749437809e-05
146,0.4948,6.64679246256128e-05
147,0.4942,6.60161385894753e-05
148,0.4942,6.564032810274512e-05
149,0.493,6.52437811368145e-05
150,0.4925,6.465418846346438e-05
151,0.4908,6.432401278289035e-05
152,0.4939,6.405527528841048e-05
153,0.492,6.370217306539416e-05
154,0.4924,6.323261914076284e-05
155,0.4909,6.286748248385265e-05
156,0.4927,6.244125688681379e-05
157,0.4917,6.197778566274792e-05
158,0.4928,6.167315586935729e-05
159,0.492,6.138221942819655e-05
160,0.4897,6.10331044299528e-05
161,0.4912,6.068610673537478e-05
162,0.4907,6.0273814597167075e-05
163,0.4905,6.007410411257297e-05
164,0.4904,5.970881102257408e-05
165,0.4909,5.9122961829416454e-05
166,0.4897,5.8882851590169594e-05
167,0.489,5.8556226576911286e-05
168,0.4894,5.8207628171658143e-05
169,0.4905,5.7949491747422144e-05
170,0.491,5.76352613279596e-05
171,0.4896,5.735678496421315e-05
172,0.4902,5.6882508943090215e-05
173,0.4906,5.655201675835997e-05
174,0.4899,5.6190172472270206e-05
175,0.4908,5.585850158240646e-05
176,0.4896,5.553431765292771e-05
177,0.4885,5.523907020688057e-05
178,0.4901,5.501924533746205e-05
179,0.4893,5.46676164958626e-05
180,0.4894,5.440052700578235e-05
181,0.4889,5.4096039093565196e-05
182,0.4905,5.383482130127959e-05
183,0.4894,5.3576139180222526e-05
184,0.4877,5.332730870577507e-05
185,0.4897,5.301085548126139e-05
186,0.4866,5.280217374092899e-05
187,0.4903,5.241796679911204e-05
188,0.4905,5.2180686907377094e-05
189,0.4876,5.195390258450061e-05
190,0.489,5.1578488637460396e-05
191,0.4887,5.126681935507804e-05
192,0.4888,5.1018199883401394e-05
193,0.4889,5.080122355138883e-05
194,0.4886,5.055719520896673e-05
195,0.4906,5.0356658903183416e-05
196,0.4898,5.010053428122774e-05
197,0.4892,4.987090505892411e-05
198,0.4891,4.9635338655207306e-05
199,0.4889,4.943824023939669e-05
