round,global_acc
0,0.2147
1,0.2317
2,0.3157
3,0.3498
4,0.4116
5,0.441
6,0.4732
7,0.5
8,0.5185
9,0.5398
10,0.5514
11,0.5616
12,0.5789
13,0.5669
14,0.5961
15,0.588
16,0.6088
17,0.6174
18,0.6225
19,0.6249
20,0.6358
21,0.638
22,0.642
23,0.645
24,0.6512
25,0.6514
26,0.6597
27,0.6626
28,0.664
29,0.6663
30,0.6694
31,0.6726
32,0.6745
33,0.6766
34,0.6787
35,0.6791
36,0.6813
37,0.6804
38,0.6819
39,0.6848
40,0.6863
41,0.6853
42,0.691
43,0.686
44,0.6853
45,0.6925
46,0.6922
47,0.6937
48,0.693
49,0.6938
50,0.6935
51,0.6959
52,0.6939
53,0.6954
54,0.7013
55,0.6948
56,0.6939
57,0.6994
58,0.6975
59,0.7025
60,0.7021
61,0.7017
62,0.7011
63,0.7015
64,0.7069
65,0.7024
66,0.7065
67,0.7027
68,0.7036
69,0.7035
70,0.7064
71,0.7002
72,0.7039
73,0.7068
74,0.7079
75,0.7089
76,0.7062
77,0.706
78,0.7024
79,0.7023
80,0.7056
81,0.7051
82,0.7079
83,0.7068
84,0.7079
85,0.7081
86,0.7078
87,0.7064
88,0.7089
89,0.7079
90,0.7096
91,0.7037
92,0.7102
93,0.7075
94,0.7086
95,0.7063
96,0.7086
97,0.7048
98,0.7107
99,0.7109
100,0.6274
101,0.6319
102,0.6141
103,0.6052
104,0.597
105,0.5924
106,0.5973
107,0.5909
108,0.602
109,0.5862
110,0.5897
111,0.5929
112,0.5909
113,0.5954
114,0.5909
115,0.5963
116,0.5923
117,0.5941
118,0.5872
119,0.5987
120,0.5933
121,0.5888
122,0.5981
123,0.5847
124,0.5955
125,0.5937
126,0.5803
127,0.5897
128,0.5915
129,0.5959
130,0.5925
131,0.5906
132,0.5949
133,0.5879
134,0.5949
135,0.5766
136,0.5927
137,0.5942
138,0.58
139,0.5873
140,0.5871
141,0.5956
142,0.5897
143,0.5822
144,0.5959
145,0.5814
146,0.5907
147,0.5751
148,0.6008
149,0.5791
150,0.5947
151,0.5859
152,0.5913
153,0.5856
154,0.5812
155,0.5932
156,0.5927
157,0.5795
158,0.5959
159,0.5854
160,0.5829
161,0.5925
162,0.5834
163,0.5903
164,0.5933
165,0.588
166,0.5895
167,0.5807
168,0.5852
169,0.5923
170,0.5768
171,0.5961
172,0.6002
173,0.5738
174,0.5934
175,0.5774
176,0.5816
177,0.5854
178,0.5799
179,0.5867
180,0.5879
181,0.5799
182,0.5804
183,0.5897
184,0.5953
185,0.5788
186,0.5887
187,0.589
188,0.5962
189,0.5897
190,0.5889
191,0.5865
192,0.5831
193,0.5864
194,0.5965
195,0.5858
196,0.583
197,0.5913
198,0.5863
199,0.5991
