round,global_acc
0,0.1896
1,0.2179
2,0.2328
3,0.273
4,0.3561
5,0.3967
6,0.4245
7,0.4545
8,0.4714
9,0.4865
10,0.4896
11,0.4956
12,0.5146
13,0.5407
14,0.5544
15,0.5621
16,0.5721
17,0.5781
18,0.578
19,0.5825
20,0.5865
21,0.5939
22,0.6036
23,0.6132
24,0.6186
25,0.6231
26,0.6228
27,0.6227
28,0.625
29,0.6293
30,0.635
31,0.6393
32,0.6436
33,0.6479
34,0.647
35,0.648
36,0.6504
37,0.6529
38,0.6531
39,0.6538
40,0.6548
41,0.6577
42,0.6623
43,0.6644
44,0.6666
45,0.6672
46,0.6655
47,0.6643
48,0.664
49,0.6648
50,0.665
51,0.6677
52,0.67
53,0.6749
54,0.6782
55,0.6794
56,0.6783
57,0.6752
58,0.6736
59,0.6706
60,0.6698
61,0.6678
62,0.6704
63,0.6742
64,0.6752
65,0.6734
66,0.6732
67,0.6722
68,0.6694
69,0.6714
70,0.6737
71,0.6723
72,0.6758
73,0.6774
74,0.6793
75,0.6763
76,0.6787
77,0.6813
78,0.6818
79,0.6811
80,0.6798
81,0.6794
82,0.6774
83,0.6784
84,0.6789
85,0.6819
86,0.6826
87,0.682
88,0.6849
89,0.6864
90,0.6871
91,0.6862
92,0.6854
93,0.684
94,0.6821
95,0.6824
96,0.684
97,0.6832
98,0.6838
99,0.6867
100,0.6784
101,0.6521
102,0.6109
103,0.5666
104,0.5307
105,0.5107
106,0.5042
107,0.5089
108,0.5245
109,0.5367
110,0.5472
111,0.5556
112,0.5592
113,0.5642
114,0.5726
115,0.5826
116,0.5911
117,0.5973
118,0.6029
119,0.6084
120,0.6099
121,0.6069
122,0.6053
123,0.5965
124,0.5851
125,0.5771
126,0.5734
127,0.5705
128,0.5676
129,0.5694
130,0.5719
131,0.5765
132,0.5799
133,0.5817
134,0.5801
135,0.5832
136,0.5839
137,0.581
138,0.5772
139,0.5751
140,0.5718
141,0.5727
142,0.5724
143,0.5759
144,0.5749
145,0.5764
146,0.5823
147,0.5862
148,0.5876
149,0.5864
150,0.5835
151,0.5787
152,0.5736
153,0.5753
154,0.5775
155,0.5791
156,0.583
157,0.5859
158,0.5841
159,0.5828
160,0.5783
161,0.5742
162,0.5744
163,0.5747
164,0.5776
165,0.5782
166,0.5799
167,0.5848
168,0.5867
169,0.585
170,0.5813
171,0.578
172,0.5732
173,0.5696
174,0.5626
175,0.5662
176,0.5653
177,0.5712
178,0.5742
179,0.5774
180,0.5754
181,0.5753
182,0.5775
183,0.5794
184,0.5823
185,0.5824
186,0.5817
187,0.5817
188,0.578
189,0.5746
190,0.5753
191,0.5745
192,0.5759
193,0.5742
194,0.5719
195,0.5724
196,0.571
197,0.5706
198,0.5659
199,0.5648
