round,global_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1812,0.01,0.22823886639676114,0.010506798516687269,0.0092018779342723,0.038834951456310676,0.0410958904109589,0.029906542056074768,0.5051652892561983,0.2438340807174888,0.2998474059003052,0.11570247933884298,0.3268641470888662,0.7771587743732591,0.37836490528414757,0.05434782608695652,0.031854937515314874,0.2563837638376384,0.015267175572519083,0.41169567768433407,0.07602339181286549,0.040843806104129264
1,0.2412,0.002782155992463231,0.29200404858299595,0.07169344870210136,0.028544600938967137,0.02912621359223301,0.136986301369863,0.03925233644859813,0.5909090909090909,0.29316143497757846,0.41785350966429297,0.1322314049586777,0.3319713993871297,0.7994428969359332,0.37038883349950147,0.16304347826086957,0.06248468512619456,0.3845018450184502,0.04176021553659632,0.5114414238216312,0.12280701754385964,0.060816876122082586
2,0.3168,0.0014938389649614692,0.3132591093117409,0.12206427688504326,0.09483568075117371,0.061488673139158574,0.3356164383561644,0.056074766355140186,0.7004132231404959,0.30829596412556054,0.6416581892166836,0.2066115702479339,0.30439223697650664,0.7465181058495822,0.3629112662013958,0.31521739130434784,0.12496937025238912,0.5535055350553506,0.06892680736416704,0.5399960884021122,0.16374269005847952,0.14183123877917414
3,0.3611,0.0010511389700695872,0.3319838056680162,0.16254635352286773,0.22610328638497654,0.07119741100323625,0.3561643835616438,0.10093457943925234,0.7174586776859504,0.30437219730941706,0.6686164801627671,0.256198347107438,0.29111338100102147,0.7353760445682451,0.3624127617148554,0.3532608695652174,0.12447929429061505,0.6123985239852399,0.09384822631342614,0.5906512810483082,0.19883040935672514,0.3076750448833034
4,0.391,0.000867808994371444,0.3443825910931174,0.16934487021013597,0.3029107981220657,0.0744336569579288,0.363013698630137,0.11588785046728972,0.7097107438016529,0.31109865470852016,0.693031536113937,0.2727272727272727,0.30337078651685395,0.7353760445682451,0.3634097706879362,0.358695652173913,0.12790982602303358,0.6007380073800738,0.10507409070498429,0.6170545667905339,0.21052631578947367,0.4156193895870736
5,0.4034,0.0007939077913761139,0.35931174089068824,0.1838689740420272,0.29539906103286384,0.07766990291262135,0.363013698630137,0.11588785046728972,0.7174586776859504,0.3172645739910314,0.6973550356052899,0.2644628099173554,0.3176710929519918,0.7381615598885793,0.376370887337986,0.375,0.1325655476598873,0.6180073800738007,0.12640323304894477,0.6444357520046939,0.2222222222222222,0.4358168761220826
6,0.4222,0.0007676386157982051,0.36538461538461536,0.18819530284301608,0.3412206572769953,0.08414239482200647,0.363013698630137,0.1308411214953271,0.7226239669421488,0.3273542600896861,0.7098168870803663,0.2892561983471074,0.3472931562819203,0.7409470752089137,0.39531405782652046,0.3695652173913043,0.13379073756432247,0.6092988929889299,0.14571171980242478,0.6585175044005476,0.26900584795321636,0.4905745062836625
7,0.4348,0.0007550845621153712,0.368168016194332,0.1965389369592089,0.363943661971831,0.09061488673139159,0.3732876712328767,0.13271028037383178,0.7267561983471075,0.33183856502242154,0.7159206510681587,0.2809917355371901,0.34831460674157305,0.7381615598885793,0.4102691924227318,0.391304347826087,0.14089683901004657,0.6256826568265683,0.17085765603951505,0.6720125171132407,0.30994152046783624,0.5031418312387792
8,0.447,0.0007428403478115797,0.3729757085020243,0.19777503090234858,0.39098591549295775,0.0970873786407767,0.3767123287671233,0.14205607476635515,0.7267561983471075,0.327914798206278,0.7187182095625636,0.2809917355371901,0.3575076608784474,0.7325905292479109,0.423728813559322,0.3695652173913043,0.14163195295270767,0.6299630996309963,0.18724741805118994,0.681204772149423,0.32748538011695905,0.5518402154398564
9,0.455,0.0007250801427289844,0.3798076923076923,0.20086526576019778,0.3939906103286385,0.10032362459546926,0.3732876712328767,0.14766355140186915,0.7355371900826446,0.3391255605381166,0.7187182095625636,0.2809917355371901,0.3718079673135853,0.7325905292479109,0.4386839481555334,0.3804347826086957,0.1431021808380299,0.6234686346863468,0.21351594072743602,0.6913749266575396,0.3567251461988304,0.5812387791741472
