round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1645,0.0597165991902834,0.005253399258343634,0.09258215962441314,0.032362459546925564,0.03424657534246575,0.013084112149532711,0.4256198347107438,0.0930493273542601,0.13453713123092573,0.08264462809917356,0.08375893769152196,0.48746518105849584,0.317048853439681,0.06521739130434782,0.009066405292820387,0.5319557195571956,0.12168837000449034,0.15763739487580677,0.18128654970760233,0.011669658886894075
1,0.2449,0.22241902834008098,0.09147095179233622,0.059154929577464786,0.042071197411003236,0.20205479452054795,0.03925233644859813,0.6239669421487604,0.20739910313901344,0.38606307222787384,0.14049586776859505,0.21859039836567926,0.7075208913649025,0.36689930209371885,0.18478260869565216,0.05954422935555011,0.5089298892988929,0.08172429277054333,0.41619401525523175,0.18128654970760233,0.05116696588868941
2,0.2732,0.3223684210526316,0.1603831891223733,0.01971830985915493,0.05825242718446602,0.24315068493150685,0.052336448598130844,0.7117768595041323,0.2640134529147982,0.5124618514750763,0.19008264462809918,0.26557711950970375,0.7520891364902507,0.37886340977068794,0.21195652173913043,0.0882136731193335,0.41579335793357936,0.033902110462505616,0.5793076471738705,0.1111111111111111,0.09851885098743267
3,0.299,0.3360323886639676,0.18757725587144622,0.014272300469483568,0.05825242718446602,0.2876712328767123,0.06355140186915888,0.7660123966942148,0.2741031390134529,0.5913021363173957,0.2066115702479339,0.25842696629213485,0.7493036211699164,0.3968095712861416,0.2717391304347826,0.10169076206812055,0.4237638376383764,0.022900763358778626,0.6211617445726579,0.1111111111111111,0.20803411131059246
4,0.3427,0.3641194331983806,0.19221260815822003,0.027230046948356807,0.05825242718446602,0.3184931506849315,0.07289719626168224,0.7479338842975206,0.30269058295964124,0.6523397761953205,0.2396694214876033,0.3003064351378958,0.7353760445682451,0.3778664007976072,0.2826086956521739,0.10463121783876501,0.4640590405904059,0.04535249214189493,0.6741638959514962,0.14619883040935672,0.40776481149012567
5,0.3883,0.36133603238866396,0.18325092707045734,0.1231924882629108,0.0744336569579288,0.2945205479452055,0.09906542056074766,0.7236570247933884,0.3054932735426009,0.6737029501525941,0.256198347107438,0.3289070480081716,0.724233983286908,0.40229312063808575,0.27717391304347827,0.10953197745650575,0.5325461254612546,0.12775033677593176,0.6704478779581459,0.2222222222222222,0.545556552962298
6,0.4244,0.3555161943319838,0.18912237330037082,0.19868544600938967,0.11326860841423948,0.3219178082191781,0.1383177570093458,0.6978305785123967,0.32230941704035876,0.6709053916581892,0.30578512396694213,0.36465781409601633,0.6991643454038997,0.46809571286141577,0.30978260869565216,0.13893653516295026,0.5713653136531366,0.26919622810956445,0.6452180715822413,0.3333333333333333,0.6270197486535009
7,0.4598,0.4180161943319838,0.31551297898640296,0.2647887323943662,0.15210355987055016,0.4383561643835616,0.28785046728971964,0.7004132231404959,0.312219730941704,0.6709053916581892,0.32231404958677684,0.4024514811031665,0.6657381615598886,0.5049850448654037,0.41304347826086957,0.16319529527076698,0.6134317343173432,0.3421643466546924,0.6107960101701545,0.4152046783625731,0.650359066427289
8,0.4992,0.4701417004048583,0.40018541409147096,0.34460093896713617,0.16828478964401294,0.5034246575342466,0.3775700934579439,0.7231404958677686,0.3195067264573991,0.6759918616480163,0.3305785123966942,0.42594484167517876,0.6657381615598886,0.5523429710867398,0.4945652173913043,0.19456015682430777,0.6379335793357933,0.38055680287382126,0.6264424017211031,0.45614035087719296,0.6739228007181328
9,0.5289,0.4817813765182186,0.40142150803461063,0.42215962441314553,0.21359223300970873,0.5136986301369864,0.34579439252336447,0.7412190082644629,0.35257847533632286,0.6935401831129197,0.4049586776859504,0.449438202247191,0.6685236768802229,0.577766699900299,0.47282608695652173,0.22371967654986524,0.6354243542435425,0.409070498428379,0.6786622335223939,0.49707602339181284,0.6878366247755835
10,0.5393,0.4731781376518219,0.36248454882571074,0.45539906103286387,0.22006472491909385,0.5034246575342466,0.297196261682243,0.7587809917355371,0.382847533632287,0.720498474059003,0.4049586776859504,0.47191011235955055,0.7019498607242339,0.5937188434695913,0.41847826086956524,0.23940210732663564,0.6128413284132841,0.4191737763807813,0.7340113436338744,0.5146198830409356,0.7073608617594255
11,0.5429,0.4648279352226721,0.3352904820766378,0.48488262910798124,0.20064724919093851,0.4417808219178082,0.27476635514018694,0.7665289256198347,0.3929372197309417,0.7321973550356052,0.4462809917355372,0.4933605720122574,0.7047353760445683,0.6026919242273181,0.41847826086956524,0.24038225925018378,0.6064944649446494,0.4418500224517288,0.7514179542343047,0.52046783625731,0.7185816876122083
12,0.5501,0.4625506072874494,0.3254017305315204,0.5143661971830986,0.21359223300970873,0.4486301369863014,0.27850467289719627,0.7696280991735537,0.39798206278026904,0.7520345879959308,0.4462809917355372,0.5280898876404494,0.7214484679665738,0.6136590229312063,0.45108695652173914,0.2443028669443764,0.6084132841328413,0.4622810956443646,0.7531781732837864,0.47953216374269003,0.7271095152603232
13,0.5578,0.4648279352226721,0.3189122373300371,0.5258215962441315,0.23948220064724918,0.4452054794520548,0.2766355140186916,0.7598140495867769,0.41816143497757846,0.768056968463886,0.47107438016528924,0.5495403472931563,0.7158774373259053,0.627617148554337,0.47282608695652173,0.27150208282283755,0.6135793357933579,0.49259092950157163,0.745550557402699,0.5087719298245614,0.7259874326750448
14,0.5643,0.4686234817813765,0.31674907292954263,0.5305164319248826,0.2588996763754045,0.4554794520547945,0.2822429906542056,0.7587809917355371,0.44730941704035876,0.7914547304170906,0.47107438016528924,0.557711950970378,0.713091922005571,0.646061814556331,0.5108695652173914,0.2982112227395246,0.6404428044280442,0.526268522676246,0.7338157637394875,0.543859649122807,0.716786355475763
15,0.5739,0.4714068825910931,0.3189122373300371,0.5421596244131456,0.2912621359223301,0.4657534246575342,0.30467289719626167,0.7598140495867769,0.47085201793721976,0.801119023397762,0.47107438016528924,0.5648621041879469,0.713091922005571,0.656530408773679,0.5217391304347826,0.3259005145797599,0.6529889298892989,0.5397395599461159,0.7306864854292978,0.5263157894736842,0.7203770197486535
16,0.5844,0.47469635627530365,0.32818294190358466,0.5780281690140845,0.32038834951456313,0.4931506849315068,0.32897196261682243,0.7639462809917356,0.4820627802690583,0.7978128179043744,0.5041322314049587,0.557711950970378,0.7158774373259053,0.6689930209371885,0.5217391304347826,0.33962264150943394,0.6701107011070111,0.5428828019757521,0.7265793076471738,0.543859649122807,0.7407989228007181
17,0.5985,0.4873481781376518,0.3525957972805933,0.6219718309859155,0.3268608414239482,0.5068493150684932,0.34579439252336447,0.7747933884297521,0.4786995515695067,0.788911495422177,0.5041322314049587,0.5454545454545454,0.7270194986072424,0.6879361914257228,0.532608695652174,0.34354324920362656,0.6928413284132842,0.5556802873821284,0.7299041658517504,0.5555555555555556,0.7650359066427289
18,0.6034,0.4992408906882591,0.37237330037082816,0.6343661971830986,0.313915857605178,0.4965753424657534,0.35700934579439253,0.793904958677686,0.46580717488789236,0.7830620549338759,0.49586776859504134,0.5342185903983657,0.7409470752089137,0.693419740777667,0.5380434782608695,0.3312913501592747,0.7142435424354243,0.5597215985630893,0.7457461372970858,0.5847953216374269,0.7645870736086176
19,0.6069,0.5035425101214575,0.3825710754017305,0.6443192488262911,0.313915857605178,0.4691780821917808,0.34205607476635513,0.800103305785124,0.4663677130044843,0.7756866734486266,0.5041322314049587,0.5362614913176711,0.7493036211699164,0.6989032901296112,0.5489130434782609,0.32345013477088946,0.7208856088560885,0.5594970812752582,0.7608057891648738,0.5847953216374269,0.768850987432675
20,0.6115,0.5141700404858299,0.38658838071693447,0.6300469483568075,0.313915857605178,0.5171232876712328,0.34392523364485983,0.8099173553719008,0.45908071748878926,0.7843336724313327,0.5371900826446281,0.5393258426966292,0.7520891364902507,0.6989032901296112,0.5434782608695652,0.3249203626562117,0.7281180811808118,0.5547822182308038,0.774300801877567,0.5555555555555556,0.7643626570915619
21,0.6146,0.5242914979757085,0.396168108776267,0.6289201877934272,0.343042071197411,0.5273972602739726,0.3383177570093458,0.8125,0.47197309417040356,0.7937436419125127,0.5619834710743802,0.5536261491317671,0.7576601671309192,0.689431704885344,0.5706521739130435,0.3357020338152414,0.7310701107011071,0.550965424337674,0.7809505182867201,0.5672514619883041,0.7529174147217235
22,0.6168,0.5316295546558705,0.40234857849196537,0.6251643192488263,0.36893203883495146,0.5342465753424658,0.35700934579439253,0.8104338842975206,0.4971973094170404,0.8056968463886063,0.5702479338842975,0.5760980592441267,0.766016713091922,0.6829511465603191,0.5815217391304348,0.3678020093114433,0.7180811808118082,0.5462505612932196,0.789360453745355,0.5730994152046783,0.7547127468581688
23,0.622,0.5366902834008097,0.4110012360939431,0.6184037558685446,0.41423948220064727,0.5513698630136986,0.36822429906542054,0.8114669421487604,0.515695067264574,0.8143438453713123,0.5867768595041323,0.585291113381001,0.7576601671309192,0.6904287138584247,0.592391304347826,0.3932859593236952,0.7080442804428044,0.5433318365514145,0.7917074124779973,0.5614035087719298,0.7713195691202872
24,0.6282,0.5457995951417004,0.4177997527812114,0.623849765258216,0.43042071197411,0.5684931506849316,0.39065420560747666,0.8150826446280992,0.5325112107623319,0.8181586978636826,0.5619834710743802,0.5914198161389173,0.7604456824512534,0.6964107676969092,0.5760869565217391,0.4187699093359471,0.7058302583025831,0.5500673551863493,0.7858400156463915,0.5730994152046783,0.781867145421903
25,0.6355,0.5538967611336032,0.43170580964153277,0.6505164319248826,0.47249190938511326,0.5753424657534246,0.394392523364486,0.8207644628099173,0.5414798206278026,0.8168870803662258,0.5619834710743802,0.59244126659857,0.7688022284122563,0.6999002991026919,0.5706521739130435,0.438127909826023,0.7093726937269372,0.5599461158509205,0.7782123997653041,0.5672514619883041,0.7915170556552962
