round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.214
1,0,0,0,,,,0.2666
2,0,0,0,,,,0.3591
3,0,0,0,,,,0.3943
4,0,0,0,,,,0.4512
5,0,0,0,,,,0.4727
6,0,0,0,,,,0.5023
7,0,0,0,,,,0.5248
8,0,0,0,,,,0.5366
9,0,0,0,,,,0.547
10,0,0,0,,,,0.5779
11,0,0,0,,,,0.5906
12,0,0,0,,,,0.6017
13,0,0,0,,,,0.606
14,0,0,0,,,,0.6172
15,0,0,0,,,,0.6296
16,0,0,0,,,,0.6359
17,0,0,0,,,,0.6412
18,0,0,0,,,,0.6528
19,0,0,0,,,,0.6573
20,0,0,0,,,,0.6543
21,0,0,0,,,,0.6569
22,0,0,0,,,,0.664
23,0,0,0,,,,0.6686
24,0,0,0,,,,0.6793
25,0,0,0,,,,0.6783
26,0,0,0,,,,0.6716
27,0,0,0,,,,0.6832
28,0,0,0,,,,0.6834
29,0,0,0,,,,0.6928
30,0,0,0,,,,0.6863
31,0,0,0,,,,0.6874
32,0,0,0,,,,0.6939
33,0,0,0,,,,0.6984
34,0,0,0,,,,0.7
35,0,0,0,,,,0.7005
36,0,0,0,,,,0.704
37,0,0,0,,,,0.7026
38,0,0,0,,,,0.7078
39,0,0,0,,,,0.7082
40,0,0,0,,,,0.7023
41,0,0,0,,,,0.7088
42,0,0,0,,,,0.7088
43,0,0,0,,,,0.712
44,0,0,0,,,,0.7153
45,0,0,0,,,,0.7163
46,0,0,0,,,,0.7099
47,0,0,0,,,,0.7165
48,0,0,0,,,,0.7126
49,0,0,0,,,,0.7188
50,0,0,0,,,,0.7171
51,0,0,0,,,,0.7197
52,0,0,0,,,,0.7164
53,0,0,0,,,,0.7243
54,0,0,0,,,,0.7153
55,0,0,0,,,,0.7231
56,0,0,0,,,,0.7188
57,0,0,0,,,,0.719
58,0,0,0,,,,0.718
59,0,0,0,,,,0.7236
60,0,0,0,,,,0.7243
61,0,0,0,,,,0.723
62,0,0,0,,,,0.7235
63,0,0,0,,,,0.724
64,0,0,0,,,,0.7218
65,0,0,0,,,,0.7219
66,0,0,0,,,,0.7272
