round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2052,0.23228744939271256,0.037998146431881374,0.00244085617724371,0.038834951456310676,0.03465511496167944,0.018055555555555554,0.22640382317801672,0.28419282511210764,0.6380055965403205,0.15702479338842976,0.3431952662721893,0.35097493036211697,0.18756268806419257,0.19090909090909092,0.13575104141141878,0.2752361275088548,0.0197869101978691,0.34241399880691986,0.12048192771084337,0.04352703612295266
1,0.2676,0.3481781376518219,0.15415508186592525,0.008824633871573414,0.05177993527508091,0.036654448517160945,0.027777777777777776,0.31989247311827956,0.29260089686098656,0.6614093106079878,0.17355371900826447,0.3526627218934911,0.5097493036211699,0.3711133400200602,0.20303030303030303,0.13599607939230582,0.35138724911452185,0.05555555555555555,0.5364883674686817,0.1566265060240964,0.087727170742652
2,0.3436,0.340334008097166,0.19647822057460612,0.07378895981975216,0.05825242718446602,0.03865378207264245,0.043055555555555555,0.43339307048984466,0.2948430493273543,0.6769269905876367,0.2066115702479339,0.285207100591716,0.6629526462395543,0.6469408224674023,0.20909090909090908,0.13305562362166135,0.6362160566706021,0.2914764079147641,0.6001193080135215,0.43373493975903615,0.12272829257347992
3,0.3792,0.3638663967611336,0.22335495829471733,0.09068719489297784,0.06796116504854369,0.043652115961346216,0.059722222222222225,0.4647550776583035,0.29932735426008966,0.687356906639532,0.21487603305785125,0.3029585798816568,0.6852367688022284,0.6960882647943831,0.20909090909090908,0.13183043371722616,0.7194510035419126,0.3767123287671233,0.6410817259892623,0.4819277108433735,0.2014808166928427
4,0.4209,0.4018218623481781,0.28544949026876737,0.18850920015020653,0.07766990291262135,0.06364545151616129,0.12222222222222222,0.48148148148148145,0.29652466367713004,0.6960061053167133,0.2727272727272727,0.29704142011834317,0.6880222841225627,0.7071213640922769,0.24545454545454545,0.1333006616025484,0.7749409681227863,0.4657534246575342,0.682044143965003,0.5903614457831325,0.2793358761498766
5,0.4482,0.3924595141700405,0.26845844918134076,0.2097258730754788,0.10355987055016182,0.09763412195934688,0.12638888888888888,0.497610513739546,0.3183856502242152,0.7311116764182142,0.30578512396694213,0.3301775147928994,0.7437325905292479,0.7592778335005015,0.2636363636363636,0.13820142122028914,0.8245277449822904,0.5220700152207002,0.6772718234241399,0.6144578313253012,0.38209557998653804
6,0.486,0.458502024291498,0.3500154464009886,0.24615095756665414,0.13268608414239483,0.13795401532822393,0.18333333333333332,0.5149342891278376,0.3217488789237668,0.7527346731111676,0.3305785123966942,0.34437869822485206,0.7325905292479109,0.7502507522567703,0.29393939393939394,0.15976476353834845,0.8342680047225501,0.5388127853881278,0.6923841718035395,0.6506024096385542,0.4583800762844963
7,0.5174,0.4668522267206478,0.34754402224281744,0.27769432970334207,0.13915857605177995,0.2652449183605465,0.23333333333333334,0.5758661887694145,0.3413677130044843,0.767997964894429,0.35537190082644626,0.4331360946745562,0.754874651810585,0.7763289869608826,0.33636363636363636,0.1673609409458466,0.8494687131050768,0.5882800608828006,0.7100815271425731,0.7108433734939759,0.5200807718196097
8,0.5426,0.5273279352226721,0.4127278344145814,0.2934660157716861,0.18446601941747573,0.27924025324891705,0.3013888888888889,0.5701911589008363,0.36827354260089684,0.7903841261765454,0.3884297520661157,0.463905325443787,0.7604456824512534,0.7462387161484454,0.39090909090909093,0.21244792942906152,0.8435655253837072,0.6012176560121766,0.7373235235633326,0.7349397590361446,0.568319497419789
9,0.5585,0.5121457489878543,0.4025332097621254,0.33064213293278255,0.19741100323624594,0.34721759413528824,0.3347222222222222,0.6200716845878136,0.3811659192825112,0.7906385143729331,0.4214876033057851,0.4804733727810651,0.754874651810585,0.7953861584754263,0.4,0.2195540308747856,0.8667355371900827,0.619482496194825,0.7202227082919069,0.7349397590361446,0.6387704734126094
10,0.5809,0.5789473684210527,0.48347235094223046,0.3758918512955314,0.19741100323624594,0.3828723758747084,0.3972222222222222,0.6332138590203107,0.38789237668161436,0.7875858560162808,0.4462809917355372,0.5076923076923077,0.7688022284122563,0.7753259779338014,0.4636363636363636,0.22715020828228374,0.8596517119244392,0.6331811263318112,0.7536289520779479,0.7590361445783133,0.617904420013462
11,0.5731,0.5316295546558705,0.4392956441149212,0.33834021779947426,0.23300970873786409,0.38920359880039984,0.37777777777777777,0.6547192353643967,0.40302690582959644,0.8048842533706436,0.45454545454545453,0.506508875739645,0.7771587743732591,0.8184553660982948,0.4393939393939394,0.2646410193580005,0.875,0.636986301369863,0.7178365480214755,0.7590361445783133,0.6313663899483958
12,0.6037,0.5721153846153846,0.4735866543095459,0.3924145700337965,0.2459546925566343,0.4301899366877707,0.4125,0.6550179211469535,0.41535874439461884,0.8120071228694988,0.47107438016528924,0.5301775147928994,0.7799442896935933,0.7833500501504513,0.49393939393939396,0.26170056358735605,0.8637839433293979,0.662861491628615,0.7703320739709684,0.7831325301204819,0.6885797621718645
13,0.6178,0.5915991902834008,0.5038616002471424,0.4008636875704093,0.26537216828478966,0.5004998333888704,0.475,0.6899641577060932,0.42993273542600896,0.8066649707453574,0.48760330578512395,0.5751479289940828,0.7688022284122563,0.7823470411233701,0.5363636363636364,0.2915951972555746,0.8689492325855962,0.678082191780822,0.7556174189699741,0.7831325301204819,0.6533542741754543
14,0.6176,0.6050101214574899,0.5081865925239419,0.3950431843785205,0.24271844660194175,0.4911696101299567,0.4638888888888889,0.6890681003584229,0.4254484304932735,0.8127702874586619,0.49586776859504134,0.565680473372781,0.7743732590529248,0.7833500501504513,0.5242424242424243,0.27199215878461164,0.8615702479338843,0.6643835616438356,0.7868363491747863,0.7951807228915663,0.6975544087951537
15,0.6235,0.5883097165991903,0.5063330244053136,0.4140067592940293,0.24919093851132687,0.5374875041652782,0.4930555555555556,0.7278972520908005,0.42432735426008966,0.802085983210379,0.49586776859504134,0.5763313609467455,0.7771587743732591,0.8174523570712137,0.5484848484848485,0.281058564077432,0.887987012987013,0.693302891933029,0.760986279578445,0.7831325301204819,0.6897015929997756
16,0.6306,0.6487854251012146,0.575841828853877,0.37683064213293277,0.2459546925566343,0.5398200599800067,0.5125,0.720131421744325,0.42769058295964124,0.8191299923683542,0.5206611570247934,0.6118343195266273,0.7827298050139275,0.7903711133400201,0.5666666666666667,0.27860818426856165,0.8720484061393152,0.6689497716894978,0.7842513422151521,0.7831325301204819,0.6798294817141575
17,0.6332,0.625253036437247,0.5353722582638245,0.4449868569282764,0.24271844660194175,0.5471509496834388,0.5083333333333333,0.7219235364396654,0.43946188340807174,0.8226914271177818,0.49586776859504134,0.6236686390532544,0.7938718662952646,0.7933801404212638,0.5545454545454546,0.2793432982112227,0.8761806375442739,0.6971080669710806,0.7941936766752834,0.7831325301204819,0.6953107471393314
18,0.6432,0.6535931174089069,0.5888168056842755,0.44386030792339465,0.29449838187702265,0.5631456181272909,0.5472222222222223,0.7258064516129032,0.4495515695067265,0.8132790638514373,0.5206611570247934,0.6189349112426036,0.7938718662952646,0.7783350050150452,0.5696969696969697,0.3254104386179858,0.8655548996458088,0.6894977168949772,0.7868363491747863,0.7831325301204819,0.7020417321067983
