round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.2159
1,0,0,0,,,,0.2664
2,0,0,0,,,,0.3456
3,0,0,0,,,,0.4035
4,0,0,0,,,,0.433
5,0,0,0,,,,0.4577
6,0,0,0,,,,0.4904
7,0,0,0,,,,0.5154
8,0,0,0,,,,0.5434
9,0,0,0,,,,0.5417
10,0,0,0,,,,0.5734
11,0,0,0,,,,0.5799
12,0,0,0,,,,0.5975
13,0,0,0,,,,0.5925
14,0,0,0,,,,0.6161
15,0,0,0,,,,0.6208
16,0,0,0,,,,0.6256
17,0,0,0,,,,0.6361
18,0,0,0,,,,0.6382
19,0,0,0,,,,0.6495
20,0,0,0,,,,0.6491
21,0,0,0,,,,0.652
22,0,0,0,,,,0.6623
23,0,0,0,,,,0.6602
24,0,0,0,,,,0.6661
25,0,0,0,,,,0.6693
26,0,0,0,,,,0.6655
27,0,0,0,,,,0.6673
28,0,0,0,,,,0.6714
29,0,0,0,,,,0.6709
30,0,0,0,,,,0.6789
31,0,0,0,,,,0.6745
32,0,0,0,,,,0.6767
33,0,0,0,,,,0.6806
34,0,0,0,,,,0.6775
35,0,0,0,,,,0.6873
36,0,0,0,,,,0.6907
37,0,0,0,,,,0.693
38,0,0,0,,,,0.6942
39,0,0,0,,,,0.6893
40,0,0,0,,,,0.6919
41,0,0,0,,,,0.6887
42,0,0,0,,,,0.696
43,0,0,0,,,,0.6888
44,0,0,0,,,,0.6961
45,0,0,0,,,,0.6978
46,0,0,0,,,,0.6949
47,0,0,0,,,,0.6958
48,0,0,0,,,,0.7
49,0,0,0,,,,0.6977
50,0,0,0,,,,0.6997
51,0,0,0,,,,0.7013
52,0,0,0,,,,0.6971
53,0,0,0,,,,0.7023
54,0,0,0,,,,0.7009
55,0,0,0,,,,0.7023
56,0,0,0,,,,0.7025
57,0,0,0,,,,0.7044
58,0,0,0,,,,0.701
59,0,0,0,,,,0.7047
60,0,0,0,,,,0.7034
61,0,0,0,,,,0.708
62,0,0,0,,,,0.7034
63,0,0,0,,,,0.7088
64,0,0,0,,,,0.7077
65,0,0,0,,,,0.7102
66,0,0,0,,,,0.7093
67,0,0,0,,,,0.7081
68,0,0,0,,,,0.7077
69,0,0,0,,,,0.7062
70,0,0,0,,,,0.7068
71,0,0,0,,,,0.7057
72,0,0,0,,,,0.7086
73,0,0,0,,,,0.7087
74,0,0,0,,,,0.7159
75,0,0,0,,,,0.7075
76,0,0,0,,,,0.7111
77,0,0,0,,,,0.7139
78,0,0,0,,,,0.7067
79,0,0,0,,,,0.7091
80,0,0,0,,,,0.7122
81,0,0,0,,,,0.7162
82,0,0,0,,,,0.717
83,0,0,0,,,,0.7109
84,0,0,0,,,,0.7061
85,0,0,0,,,,0.715
86,0,0,0,,,,0.7084
87,0,0,0,,,,0.7124
88,0,0,0,,,,0.709
89,0,0,0,,,,0.7094
90,0,0,0,,,,0.7149
