round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
0,0.1909,0.4354385067757607,0.23387843258253627,0.031737089201877934,0.02912621359223301,0.012578616352201259,0.03592814371257485,0.17304964539007092,0.26711906230721777,0.37077582103760115,0.049107142857142856,0.10253317249698432,0.2849162011173184,0.0035514967021816335,0.08661417322834646,0.03196220122290161,0.15224577095080694,0.04242424242424243,0.6772931742616859,0.06629834254143646,0.09385537654552267,0.4354385067757607,0.23387843258253627,0.031737089201877934,0.02912621359223301,0.012578616352201259,0.03592814371257485,0.17304964539007092,0.26711906230721777,0.37077582103760115,0.049107142857142856,0.10253317249698432,0.2849162011173184,0.0035514967021816335,0.08661417322834646,0.03196220122290161,0.15224577095080694,0.04242424242424243,0.6772931742616859,0.06629834254143646,0.09385537654552267
1,0.2134,0.4814625415494758,0.27923480407281703,0.03305164319248826,0.032362459546925564,0.011320754716981131,0.05089820359281437,0.26099290780141843,0.27390499691548426,0.41980009519276534,0.049107142857142856,0.10464414957780459,0.3547486033519553,0.04667681380010147,0.08661417322834646,0.03196220122290161,0.06435932335212911,0.024915824915824916,0.7686289849403481,0.0718232044198895,0.15099288122892468,0.4814625415494758,0.27923480407281703,0.03305164319248826,0.032362459546925564,0.011320754716981131,0.05089820359281437,0.26099290780141843,0.27390499691548426,0.41980009519276534,0.049107142857142856,0.10464414957780459,0.3547486033519553,0.04667681380010147,0.08661417322834646,0.03196220122290161,0.06435932335212911,0.024915824915824916,0.7686289849403481,0.0718232044198895,0.15099288122892468
2,0.2951,0.4663768857069803,0.2730638691761802,0.19962441314553991,0.045307443365695796,0.042767295597484274,0.09880239520958084,0.4553191489361702,0.28439235040098704,0.5283198476915755,0.12053571428571429,0.14173703256936068,0.5111731843575419,0.24403855910705224,0.10236220472440945,0.032795997776542525,0.2529651954112386,0.16902356902356902,0.7741052219831801,0.18232044198895028,0.2849381790932934,0.4663768857069803,0.2730638691761802,0.19962441314553991,0.045307443365695796,0.042767295597484274,0.09880239520958084,0.4553191489361702,0.28439235040098704,0.5283198476915755,0.12053571428571429,0.14173703256936068,0.5111731843575419,0.24403855910705224,0.10236220472440945,0.032795997776542525,0.2529651954112386,0.16902356902356902,0.7741052219831801,0.18232044198895028,0.2849381790932934
3,0.3759,0.5622602914855536,0.42394322739895096,0.30140845070422534,0.13268608414239483,0.1559748427672956,0.25,0.5347517730496454,0.3121529919802591,0.5364112327463113,0.21875,0.24909529553679133,0.5446927374301676,0.3830542871638762,0.25984251968503935,0.07670928293496387,0.3217966167606455,0.3196408529741863,0.7604146293761002,0.35359116022099446,0.3089171974522293,0.5622602914855536,0.42394322739895096,0.30140845070422534,0.13268608414239483,0.1559748427672956,0.25,0.5347517730496454,0.3121529919802591,0.5364112327463113,0.21875,0.24909529553679133,0.5446927374301676,0.3830542871638762,0.25984251968503935,0.07670928293496387,0.3217966167606455,0.3196408529741863,0.7604146293761002,0.35359116022099446,0.3089171974522293
4,0.4235,0.5502429046279724,0.4131440913298365,0.435868544600939,0.18770226537216828,0.23962264150943396,0.27994011976047906,0.6390070921985815,0.3621221468229488,0.5683008091385054,0.30357142857142855,0.32147165259348615,0.6759776536312849,0.46626078132927445,0.25984251968503935,0.1461923290717065,0.45887614232937973,0.3658810325476992,0.753764912966947,0.4143646408839779,0.2974896965155489,0.5502429046279724,0.4131440913298365,0.435868544600939,0.18770226537216828,0.23962264150943396,0.27994011976047906,0.6390070921985815,0.3621221468229488,0.5683008091385054,0.30357142857142855,0.32147165259348615,0.6759776536312849,0.46626078132927445,0.25984251968503935,0.1461923290717065,0.45887614232937973,0.3658810325476992,0.753764912966947,0.4143646408839779,0.2974896965155489
5,0.446,0.5885962669394017,0.4649799444615859,0.41539906103286384,0.16181229773462782,0.26666666666666666,0.3203592814371258,0.5617021276595745,0.3553362122146823,0.5649690623512613,0.3169642857142857,0.3618817852834741,0.6033519553072626,0.5114155251141552,0.3228346456692913,0.13424124513618677,0.4131829671398017,0.48574635241301906,0.7698024643066693,0.4530386740331492,0.373735481453728,0.5885962669394017,0.4649799444615859,0.41539906103286384,0.16181229773462782,0.26666666666666666,0.3203592814371258,0.5617021276595745,0.3553362122146823,0.5649690623512613,0.3169642857142857,0.3618817852834741,0.6033519553072626,0.5114155251141552,0.3228346456692913,0.13424124513618677,0.4131829671398017,0.48574635241301906,0.7698024643066693,0.4530386740331492,0.373735481453728
6,0.4815,0.5829711071337254,0.46066029003394016,0.5641314553990611,0.2524271844660194,0.3641509433962264,0.3712574850299401,0.6808510638297872,0.4083898827884022,0.5730604474059972,0.4017857142857143,0.43455971049457176,0.7122905027932961,0.5677321156773212,0.31496062992125984,0.20705947748749307,0.49251409683064357,0.479685746352413,0.753764912966947,0.5303867403314917,0.3115399025852379,0.5829711071337254,0.46066029003394016,0.5641314553990611,0.2524271844660194,0.3641509433962264,0.3712574850299401,0.6808510638297872,0.4083898827884022,0.5730604474059972,0.4017857142857143,0.43455971049457176,0.7122905027932961,0.5677321156773212,0.31496062992125984,0.20705947748749307,0.49251409683064357,0.479685746352413,0.753764912966947,0.5303867403314917,0.3115399025852379
7,0.5087,0.6116082843262592,0.5087935822277075,0.5466666666666666,0.2912621359223301,0.3905660377358491,0.4101796407185629,0.6361702127659574,0.4342998149290561,0.5792479771537363,0.4107142857142857,0.4737635705669481,0.6871508379888268,0.595636732623034,0.3858267716535433,0.24207893274041134,0.44798755590122497,0.5528619528619528,0.7735184823000195,0.5414364640883977,0.36568002997377297,0.6116082843262592,0.5087935822277075,0.5466666666666666,0.2912621359223301,0.3905660377358491,0.4101796407185629,0.6361702127659574,0.4342998149290561,0.5792479771537363,0.4107142857142857,0.4737635705669481,0.6871508379888268,0.595636732623034,0.3858267716535433,0.24207893274041134,0.44798755590122497,0.5528619528619528,0.7735184823000195,0.5414364640883977,0.36568002997377297
8,0.5162,0.6144208642290974,0.5112619561863623,0.5558685446009389,0.2783171521035599,0.39119496855345914,0.41916167664670656,0.6872340425531915,0.4380012338062924,0.5887672536887196,0.4330357142857143,0.4761761158021713,0.7178770949720671,0.6073059360730594,0.3937007874015748,0.22957198443579765,0.5275131246354268,0.5501683501683502,0.7840797965969099,0.5524861878453039,0.3516298239040839,0.6144208642290974,0.5112619561863623,0.5558685446009389,0.2783171521035599,0.39119496855345914,0.41916167664670656,0.6872340425531915,0.4380012338062924,0.5887672536887196,0.4330357142857143,0.4761761158021713,0.7178770949720671,0.6073059360730594,0.3937007874015748,0.22957198443579765,0.5275131246354268,0.5501683501683502,0.7840797965969099,0.5524861878453039,0.3516298239040839
9,0.547,0.6116082843262592,0.505708114779389,0.6272300469483568,0.3656957928802589,0.45157232704402517,0.45808383233532934,0.6971631205673758,0.4713140037014189,0.6087577344121847,0.4642857142857143,0.5319662243667069,0.7122905027932961,0.624048706240487,0.36220472440944884,0.31739855475264034,0.5156523429904725,0.5793490460157127,0.7789947193428516,0.580110497237569,0.43424503559385536,0.6116082843262592,0.505708114779389,0.6272300469483568,0.3656957928802589,0.45157232704402517,0.45808383233532934,0.6971631205673758,0.4713140037014189,0.6087577344121847,0.4642857142857143,0.5319662243667069,0.7122905027932961,0.624048706240487,0.36220472440944884,0.31739855475264034,0.5156523429904725,0.5793490460157127,0.7789947193428516,0.580110497237569,0.43424503559385536
