round,global_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1915,0.01,0.21406882591093118,0.015142150803461063,0.019342723004694834,0.045307443365695796,0.04794520547945205,0.028037383177570093,0.5346074380165289,0.22869955156950672,0.29348931841302134,0.12396694214876033,0.2972420837589377,0.7771587743732591,0.39531405782652046,0.05434782608695652,0.031119823572653763,0.3081918819188192,0.033902110462505616,0.39839624486602776,0.0935672514619883,0.038375224416517056
1,0.259,0.0027836437802761793,0.30111336032388664,0.12051915945611867,0.051455399061032865,0.042071197411003236,0.15753424657534246,0.04672897196261682,0.640495867768595,0.25728699551569506,0.39140386571719227,0.12396694214876033,0.27477017364657813,0.8022284122562674,0.4017946161515454,0.125,0.05709384954667974,0.4392619926199262,0.05972159856308936,0.5390181889301779,0.14035087719298245,0.07607719928186714
2,0.3461,0.0014933748170733452,0.3059210526315789,0.130716934487021,0.2099530516431925,0.0744336569579288,0.3321917808219178,0.08411214953271028,0.7040289256198347,0.2937219730941704,0.6291963377416073,0.2396694214876033,0.2696629213483146,0.7493036211699164,0.3793619142572283,0.28804347826086957,0.11614800294045577,0.5917343173431734,0.09048046699595869,0.5487971836495208,0.19883040935672514,0.2755834829443447
3,0.3828,0.001049251644872129,0.3168016194331984,0.15914709517923362,0.3117370892018779,0.08090614886731391,0.3595890410958904,0.1102803738317757,0.7210743801652892,0.2937219730941704,0.6559003051881994,0.2727272727272727,0.27477017364657813,0.7409470752089137,0.3818544366899302,0.34782608695652173,0.12031364861553541,0.6581549815498154,0.11652447238437359,0.5808722863289654,0.23391812865497075,0.3464991023339318
4,0.4075,0.0008660578168928623,0.3459008097165992,0.1776885043263288,0.36657276995305166,0.08737864077669903,0.3767123287671233,0.12149532710280374,0.7252066115702479,0.30885650224215244,0.6940488301119023,0.3140495867768595,0.30337078651685395,0.754874651810585,0.38783649052841473,0.3695652173913043,0.12815486400392062,0.6435424354243543,0.1311180960933992,0.6217484842558185,0.25146198830409355,0.45444344703770195
5,0.4224,0.0007929065614007413,0.3557692307692308,0.18355995055624227,0.3596244131455399,0.09061488673139159,0.3801369863013699,0.12897196261682242,0.7334710743801653,0.3172645739910314,0.7044760935910478,0.30578512396694213,0.34014300306435136,0.766016713091922,0.41625124626121635,0.3695652173913043,0.13036020583190394,0.6377859778597786,0.1511001347103727,0.6458048112654019,0.2807017543859649,0.5143626570915619
6,0.4384,0.0007671677740290761,0.3701923076923077,0.19622991347342397,0.39267605633802816,0.0970873786407767,0.3767123287671233,0.13457943925233645,0.7267561983471075,0.3267937219730942,0.7126144455747712,0.3140495867768595,0.3575076608784474,0.7353760445682451,0.42073778664007977,0.391304347826087,0.13575104141141878,0.6386715867158672,0.1814099685675797,0.6659495403872482,0.2982456140350877,0.5219928186714542
7,0.4504,0.0007555293850600719,0.3701923076923077,0.20241038318912238,0.41014084507042253,0.09061488673139159,0.3767123287671233,0.14579439252336449,0.7396694214876033,0.3267937219730942,0.7171922685656155,0.2892561983471074,0.34831460674157305,0.7325905292479109,0.43120638085742774,0.3858695652173913,0.1404067630482725,0.6519557195571956,0.20004490345756623,0.6724036769020145,0.3391812865497076,0.5556552962298025
8,0.4589,0.0007438102620653808,0.3734817813765182,0.20364647713226205,0.40751173708920185,0.09385113268608414,0.3732876712328767,0.14579439252336449,0.7432851239669421,0.327914798206278,0.7151576805696847,0.30578512396694213,0.3707865168539326,0.7353760445682451,0.4491525423728814,0.3804347826086957,0.13967164910561136,0.6642066420664207,0.22361921867983836,0.681204772149423,0.36257309941520466,0.5675493716337523
9,0.4648,0.0007239197148010135,0.3861336032388664,0.207663782447466,0.4212206572769953,0.10679611650485436,0.3835616438356164,0.14579439252336449,0.7339876033057852,0.3430493273542601,0.7334689725330621,0.32231404958677684,0.39325842696629215,0.7214484679665738,0.4541375872382851,0.3695652173913043,0.15192354814996326,0.6286346863468635,0.23866187696452626,0.7015450811656562,0.36257309941520466,0.5850538599640933
10,0.4738,0.000700222619343549,0.3876518218623482,0.20982694684796044,0.4336150234741784,0.12297734627831715,0.386986301369863,0.14953271028037382,0.7324380165289256,0.3413677130044843,0.7334689725330621,0.2975206611570248,0.39632277834525026,0.7270194986072424,0.4661016949152542,0.375,0.15388385199705953,0.6439852398523985,0.2629097440502919,0.7056522589477802,0.40350877192982454,0.6276929982046678
11,0.4812,0.0006712691974826157,0.3901821862348178,0.21044499381953027,0.4488262910798122,0.11974110032362459,0.3835616438356164,0.16261682242990655,0.7401859504132231,0.3452914798206278,0.7367751780264497,0.2975206611570248,0.4034729315628192,0.7409470752089137,0.47507477567298106,0.3804347826086957,0.15510904190149474,0.6529889298892989,0.26986977997305794,0.7058478388421671,0.4093567251461988,0.643850987432675
