round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2095,0.23709514170040485,0.0738566131025958,0.03492957746478873,0.02912621359223301,0.07534246575342465,0.03177570093457944,0.568698347107438,0.2068385650224215,0.27416073245167855,0.12396694214876033,0.2574055158324821,0.7465181058495822,0.39980059820538383,0.07065217391304347,0.031119823572653763,0.36014760147601477,0.047597665020206556,0.45354977508312144,0.1286549707602339,0.05565529622980251
1,0.2682,0.3352732793522267,0.12330037082818295,0.013333333333333334,0.03559870550161812,0.1780821917808219,0.052336448598130844,0.6740702479338843,0.28699551569506726,0.4883011190233978,0.12396694214876033,0.3289070480081716,0.83008356545961,0.4037886340977069,0.16847826086956522,0.07424650820877236,0.36546125461254614,0.021104625056129322,0.6012125953451986,0.10526315789473684,0.131508078994614
2,0.3423,0.3534919028340081,0.15049443757725586,0.06046948356807512,0.04854368932038835,0.2842465753424658,0.07476635514018691,0.7520661157024794,0.3150224215246637,0.6467446592065107,0.23140495867768596,0.32277834525025534,0.8272980501392758,0.4102691924227318,0.2608695652173913,0.1078167115902965,0.4997785977859779,0.04804669959586888,0.6420887932720516,0.1695906432748538,0.33101436265709155
3,0.4112,0.3732287449392713,0.18695920889987638,0.2831924882629108,0.06796116504854369,0.3184931506849315,0.12149532710280374,0.7577479338842975,0.31670403587443946,0.6859104781281791,0.3305785123966942,0.3237997957099081,0.8245125348189415,0.4032901296111665,0.27717391304347827,0.10806174957118353,0.5543911439114391,0.0873372249663224,0.694895364756503,0.22807017543859648,0.5572262118491921
4,0.429,0.38866396761133604,0.20704573547589616,0.3143661971830986,0.09061488673139159,0.3493150684931507,0.12710280373831775,0.7923553719008265,0.3452914798206278,0.7072736520854527,0.33884297520661155,0.3411644535240041,0.8189415041782729,0.41625124626121635,0.33152173913043476,0.13550600343053174,0.6125461254612546,0.11068702290076336,0.7134754547232545,0.24561403508771928,0.5148114901256733
5,0.4644,0.42332995951417,0.2407292954264524,0.35624413145539907,0.12944983818770225,0.3561643835616438,0.15327102803738318,0.7784090909090909,0.3368834080717489,0.7276195320447609,0.4132231404958678,0.3861082737487232,0.8161559888579387,0.44516450648055833,0.3423913043478261,0.1379563832394021,0.5757933579335793,0.14099685675797036,0.7615881087424213,0.2631578947368421,0.6925493716337523
6,0.49,0.42965587044534415,0.2546353522867738,0.4176525821596244,0.15210355987055016,0.4246575342465753,0.20186915887850468,0.7990702479338843,0.35818385650224216,0.7695829094608342,0.4297520661157025,0.40858018386108275,0.7966573816155988,0.4905284147557328,0.4076086956521739,0.16883116883116883,0.6293726937269373,0.22361921867983836,0.7516135341286916,0.3216374269005848,0.6588868940754039
7,0.5192,0.4402834008097166,0.2737948084054388,0.48262910798122066,0.1941747572815534,0.4143835616438356,0.23925233644859814,0.7954545454545454,0.37051569506726456,0.7675483214649034,0.45454545454545453,0.4198161389172625,0.807799442896936,0.5069790628115654,0.40217391304347827,0.18794413134035776,0.6342435424354244,0.27121688370004493,0.7525914336006259,0.38011695906432746,0.7414721723518851
8,0.5456,0.4466093117408907,0.29758961681087764,0.5462910798122066,0.24271844660194175,0.4520547945205479,0.25794392523364484,0.809400826446281,0.4204035874439462,0.7810274669379451,0.4793388429752066,0.4371807967313585,0.7799442896935933,0.5324027916251246,0.44565217391304346,0.25655476598872823,0.6515129151291513,0.31724292770543333,0.7549383923332681,0.4327485380116959,0.743491921005386
9,0.5455,0.4602732793522267,0.31242274412855375,0.49126760563380284,0.23300970873786409,0.4486301369863014,0.26542056074766357,0.8181818181818182,0.4254484304932735,0.7825534079348931,0.4462809917355372,0.4514811031664964,0.8105849582172702,0.5403788634097707,0.45652173913043476,0.25238912031364863,0.6673062730627306,0.30983385720700496,0.7733229024056327,0.4327485380116959,0.7677289048473968
