round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1653,0.07312753036437247,0.007416563658838072,0.08713615023474178,0.03559870550161812,0.03424657534246575,0.013084112149532711,0.42923553719008267,0.1070627802690583,0.14674465920651067,0.08264462809917356,0.1041879468845761,0.5125348189415042,0.3190428713858425,0.06521739130434782,0.011271747120803725,0.5145387453874539,0.11427929950606197,0.17778212399765303,0.17543859649122806,0.013913824057450628
1,0.2475,0.2345647773279352,0.08899876390605686,0.05577464788732395,0.04854368932038835,0.2054794520547945,0.041121495327102804,0.6239669421487604,0.218609865470852,0.40106815869786366,0.14049586776859505,0.23289070480081717,0.7047353760445683,0.3634097706879362,0.19021739130434784,0.06444498897329086,0.4962361623616236,0.07790749887741356,0.42577743008018776,0.18128654970760233,0.052737881508078996
2,0.2781,0.3340080971659919,0.1588380716934487,0.016901408450704224,0.05501618122977346,0.273972602739726,0.05420560747663551,0.7148760330578512,0.2769058295964126,0.5373855544252288,0.18181818181818182,0.28907048008171604,0.7493036211699164,0.3748753738783649,0.25,0.0928693947561872,0.40900369003690035,0.02828917826672654,0.5955407784079797,0.09941520467836257,0.1063734290843806
3,0.2956,0.3117408906882591,0.17954264524103833,0.010328638497652582,0.05177993527508091,0.3150684931506849,0.059813084112149535,0.7737603305785123,0.2640134529147982,0.6014750762970499,0.21487603305785125,0.23391215526046988,0.7186629526462396,0.39730807577268196,0.30434782608695654,0.10463121783876501,0.4247970479704797,0.015267175572519083,0.5908468609426951,0.09941520467836257,0.21656193895870737
4,0.2999,0.2565789473684211,0.146168108776267,0.012769953051643192,0.045307443365695796,0.3116438356164384,0.07850467289719626,0.7463842975206612,0.22533632286995517,0.6126653102746694,0.21487603305785125,0.18181818181818182,0.6629526462395543,0.39082751744765704,0.30434782608695654,0.09703504043126684,0.42140221402214023,0.020431073192635832,0.5141795423430471,0.10526315789473684,0.4452423698384201
5,0.3931,0.3709514170040486,0.1915945611866502,0.13107981220657278,0.08090614886731391,0.3013698630136986,0.09906542056074766,0.7303719008264463,0.30885650224215244,0.6576805696846388,0.2644628099173554,0.3472931562819203,0.7520891364902507,0.42273180458624127,0.29891304347826086,0.10708159764763539,0.5416974169741697,0.1511001347103727,0.6831605710932916,0.25146198830409355,0.5482495511669659
6,0.4321,0.3615890688259109,0.20519159456118666,0.2300469483568075,0.11003236245954692,0.3356164383561644,0.16074766355140188,0.6792355371900827,0.30493273542600896,0.6391149542217701,0.2975206611570248,0.39325842696629215,0.6963788300835655,0.49252243270189433,0.32065217391304346,0.1254594462141632,0.598819188191882,0.31567130669061516,0.6383727752787014,0.3567251461988304,0.6297127468581688
7,0.467,0.44205465587044535,0.34672435105067984,0.28732394366197184,0.13915857605177995,0.4554794520547945,0.3121495327102804,0.6776859504132231,0.29932735426008966,0.6393692777212614,0.2975206611570248,0.42390194075587334,0.6295264623955432,0.5194416749750748,0.3967391304347826,0.1529037000735114,0.60619926199262,0.3767400089806915,0.6061020927048699,0.4152046783625731,0.6828994614003591
8,0.5017,0.48304655870445345,0.40142150803461063,0.38028169014084506,0.17475728155339806,0.4863013698630137,0.3663551401869159,0.6957644628099173,0.32230941704035876,0.6691251271617498,0.3305785123966942,0.45556690500510727,0.6323119777158774,0.5523429710867398,0.45108695652173914,0.19137466307277629,0.604280442804428,0.39896722047597666,0.6438490123215334,0.47953216374269003,0.718132854578097
9,0.5262,0.4777327935222672,0.372991347342398,0.4593427230046948,0.20711974110032363,0.4589041095890411,0.3364485981308411,0.7169421487603306,0.3626681614349776,0.7042217700915565,0.4132231404958678,0.46884576098059244,0.6462395543175488,0.5752741774675972,0.41847826086956524,0.22960058809115413,0.590110701107011,0.4176021553659632,0.7001760219049482,0.5029239766081871,0.7333931777378815
