round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.2218
1,0,0,0,,,,0.2654
2,0,0,0,,,,0.3396
3,0,0,0,,,,0.4126
4,0,0,0,,,,0.4247
5,0,0,0,,,,0.4789
6,0,0,0,,,,0.5061
7,0,0,0,,,,0.5192
8,0,0,0,,,,0.538
9,0,0,0,,,,0.5555
10,0,0,0,,,,0.5712
11,0,0,0,,,,0.5756
12,0,0,0,,,,0.5946
13,0,0,0,,,,0.6046
14,0,0,0,,,,0.6135
15,0,0,0,,,,0.629
16,0,0,0,,,,0.6342
17,0,0,0,,,,0.6427
18,0,0,0,,,,0.6416
19,0,0,0,,,,0.6518
20,0,0,0,,,,0.6615
21,0,0,0,,,,0.6632
22,0,0,0,,,,0.664
23,0,0,0,,,,0.6709
24,0,0,0,,,,0.6765
25,0,0,0,,,,0.6727
26,0,0,0,,,,0.6833
27,0,0,0,,,,0.6821
28,0,0,0,,,,0.6871
29,0,0,0,,,,0.6857
30,0,0,0,,,,0.6905
31,0,0,0,,,,0.6974
32,0,0,0,,,,0.6955
33,0,0,0,,,,0.6952
34,0,0,0,,,,0.6999
35,0,0,0,,,,0.7044
36,0,0,0,,,,0.7048
37,0,0,0,,,,0.7048
38,0,0,0,,,,0.7081
39,0,0,0,,,,0.7104
40,0,0,0,,,,0.7072
41,0,0,0,,,,0.7164
42,0,0,0,,,,0.7164
43,0,0,0,,,,0.7165
44,0,0,0,,,,0.7149
45,0,0,0,,,,0.7152
46,0,0,0,,,,0.7186
47,0,0,0,,,,0.7188
48,0,0,0,,,,0.7183
49,0,0,0,,,,0.7209
50,0,0,0,,,,0.7173
51,0,0,0,,,,0.7222
52,0,0,0,,,,0.7189
53,0,0,0,,,,0.7188
54,0,0,0,,,,0.7256
55,0,0,0,,,,0.7254
56,0,0,0,,,,0.7263
57,0,0,0,,,,0.7276
58,0,0,0,,,,0.7232
59,0,0,0,,,,0.7245
60,0,0,0,,,,0.7261
61,0,0,0,,,,0.7268
62,0,0,0,,,,0.7249
63,0,0,0,,,,0.7291
64,0,0,0,,,,0.7282
65,0,0,0,,,,0.7255
66,0,0,0,,,,0.7272
67,0,0,0,,,,0.7232
68,0,0,0,,,,0.7258
69,0,0,0,,,,0.7277
70,0,0,0,,,,0.7318
71,0,0,0,,,,0.7259
72,0,0,0,,,,0.7308
73,0,0,0,,,,0.7282
74,0,0,0,,,,0.7269
75,0,0,0,,,,0.7335
76,0,0,0,,,,0.7238
77,0,0,0,,,,0.733
78,0,0,0,,,,0.7295
79,0,0,0,,,,0.7267
80,0,0,0,,,,0.7277
81,0,0,0,,,,0.7329
