round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
0,0.2074,0.3919713628228075,0.17525455106448626,0.002629107981220657,0.038834951456310676,0.009433962264150943,0.03143712574850299,0.5411347517730496,0.2806909315237508,0.5054735840076154,0.05803571428571429,0.10223160434258143,0.5837988826815642,0.26686960933536275,0.08661417322834646,0.033351862145636464,0.19055026249270854,0.007407407407407408,0.6485429297868179,0.049723756906077346,0.07699512926189585,0.3919713628228075,0.17525455106448626,0.002629107981220657,0.038834951456310676,0.009433962264150943,0.03143712574850299,0.5411347517730496,0.2806909315237508,0.5054735840076154,0.05803571428571429,0.10223160434258143,0.5837988826815642,0.26686960933536275,0.08661417322834646,0.033351862145636464,0.19055026249270854,0.007407407407407408,0.6485429297868179,0.049723756906077346,0.07699512926189585
1,0.2356,0.4604960368192278,0.2542425177414378,0.05596244131455399,0.042071197411003236,0.016352201257861635,0.05089820359281437,0.5312056737588653,0.2874768661320173,0.4892908138981437,0.08035714285714286,0.10735826296743065,0.5223463687150838,0.21359715880263824,0.10236220472440945,0.033629794330183434,0.16157884503208245,0.01122334455667789,0.7637394875806767,0.06629834254143646,0.10865492693892843,0.4604960368192278,0.2542425177414378,0.05596244131455399,0.042071197411003236,0.016352201257861635,0.05089820359281437,0.5312056737588653,0.2874768661320173,0.4892908138981437,0.08035714285714286,0.10735826296743065,0.5223463687150838,0.21359715880263824,0.10236220472440945,0.033629794330183434,0.16157884503208245,0.01122334455667789,0.7637394875806767,0.06629834254143646,0.10865492693892843
2,0.3003,0.4714906673485042,0.2878741129281086,0.28657276995305164,0.05825242718446602,0.06666666666666667,0.12425149700598802,0.5624113475177305,0.2677359654534238,0.5035697287006188,0.13392857142857142,0.15319662243667068,0.547486033519553,0.30035514967021815,0.14960629921259844,0.033629794330183434,0.2533540734979584,0.11245791245791245,0.7529825933893995,0.1712707182320442,0.19464218808542524,0.4714906673485042,0.2878741129281086,0.28657276995305164,0.05825242718446602,0.06666666666666667,0.12425149700598802,0.5624113475177305,0.2677359654534238,0.5035697287006188,0.13392857142857142,0.15319662243667068,0.547486033519553,0.30035514967021815,0.14960629921259844,0.033629794330183434,0.2533540734979584,0.11245791245791245,0.7529825933893995,0.1712707182320442,0.19464218808542524
3,0.3464,0.4783942725645615,0.30299290342486884,0.28244131455399063,0.06472491909385113,0.17169811320754716,0.18712574850299402,0.6177304964539007,0.2769895126465145,0.5540218943360304,0.1875,0.27141133896260555,0.6284916201117319,0.4322678843226788,0.2047244094488189,0.03557531962201223,0.29088080886642037,0.2846240179573513,0.7465284568746333,0.287292817679558,0.23735481453727988,0.4783942725645615,0.30299290342486884,0.28244131455399063,0.06472491909385113,0.17169811320754716,0.18712574850299402,0.6177304964539007,0.2769895126465145,0.5540218943360304,0.1875,0.27141133896260555,0.6284916201117319,0.4322678843226788,0.2047244094488189,0.03557531962201223,0.29088080886642037,0.2846240179573513,0.7465284568746333,0.287292817679558,0.23735481453727988
4,0.3979,0.5251853745845052,0.37118173403270593,0.35661971830985917,0.09061488673139159,0.2792452830188679,0.27844311377245506,0.6212765957446809,0.28315854410857494,0.5702046644455021,0.27232142857142855,0.3606755126658625,0.6424581005586593,0.4819888381532217,0.31496062992125984,0.0405780989438577,0.34221271631343575,0.37037037037037035,0.7463328769802464,0.39226519337016574,0.31228924690895465,0.5251853745845052,0.37118173403270593,0.35661971830985917,0.09061488673139159,0.2792452830188679,0.27844311377245506,0.6212765957446809,0.28315854410857494,0.5702046644455021,0.27232142857142855,0.3606755126658625,0.6424581005586593,0.4819888381532217,0.31496062992125984,0.0405780989438577,0.34221271631343575,0.37037037037037035,0.7463328769802464,0.39226519337016574,0.31228924690895465
5,0.4398,0.5476860138072104,0.402344955260722,0.4676056338028169,0.11650485436893204,0.3283018867924528,0.3083832335329341,0.6652482269503546,0.2936458975940777,0.5787720133269871,0.3392857142857143,0.39384800965018096,0.664804469273743,0.4992389649923896,0.2992125984251969,0.06420233463035019,0.46140384989305855,0.41301907968574636,0.7490709955016625,0.4530386740331492,0.3332708879730236,0.5476860138072104,0.402344955260722,0.4676056338028169,0.11650485436893204,0.3283018867924528,0.3083832335329341,0.6652482269503546,0.2936458975940777,0.5787720133269871,0.3392857142857143,0.39384800965018096,0.664804469273743,0.4992389649923896,0.2992125984251969,0.06420233463035019,0.46140384989305855,0.41301907968574636,0.7490709955016625,0.4530386740331492,0.3332708879730236
6,0.4598,0.5891076451035541,0.44369021906818884,0.48525821596244134,0.20064724919093851,0.3534591194968553,0.3652694610778443,0.6439716312056738,0.3541024059222702,0.584007615421228,0.35267857142857145,0.4206875753920386,0.6536312849162011,0.5494672754946728,0.36220472440944884,0.1489716509171762,0.37410071942446044,0.4547699214365881,0.7778212399765304,0.47513812154696133,0.3372049456725365,0.5891076451035541,0.44369021906818884,0.48525821596244134,0.20064724919093851,0.3534591194968553,0.3652694610778443,0.6439716312056738,0.3541024059222702,0.584007615421228,0.35267857142857145,0.4206875753920386,0.6536312849162011,0.5494672754946728,0.36220472440944884,0.1489716509171762,0.37410071942446044,0.4547699214365881,0.7778212399765304,0.47513812154696133,0.3372049456725365
7,0.5005,0.600869342879059,0.496143165689602,0.5772769953051643,0.2912621359223301,0.3522012578616352,0.38173652694610777,0.7148936170212766,0.4083898827884022,0.5792479771537363,0.4107142857142857,0.4101326899879373,0.6955307262569832,0.5443937087772704,0.3700787401574803,0.22429127292940523,0.49698619482792145,0.43479236812570143,0.7766477606102092,0.4861878453038674,0.34881978269014613,0.600869342879059,0.496143165689602,0.5772769953051643,0.2912621359223301,0.3522012578616352,0.38173652694610777,0.7148936170212766,0.4083898827884022,0.5792479771537363,0.4107142857142857,0.4101326899879373,0.6955307262569832,0.5443937087772704,0.3700787401574803,0.22429127292940523,0.49698619482792145,0.43479236812570143,0.7766477606102092,0.4861878453038674,0.34881978269014613
8,0.5137,0.6200460240347737,0.49521752545510644,0.5907981220657277,0.3268608414239482,0.42955974842767297,0.41916167664670656,0.6737588652482269,0.4392350400987045,0.6059019514516897,0.4642857142857143,0.49155609167671893,0.6703910614525139,0.5763571790969051,0.36220472440944884,0.24402445803224013,0.4444876531207467,0.49988776655443323,0.7780168198709173,0.5082872928176796,0.38422630198576246,0.6200460240347737,0.49521752545510644,0.5907981220657277,0.3268608414239482,0.42955974842767297,0.41916167664670656,0.6737588652482269,0.4392350400987045,0.6059019514516897,0.4642857142857143,0.49155609167671893,0.6703910614525139,0.5763571790969051,0.36220472440944884,0.24402445803224013,0.4444876531207467,0.49988776655443323,0.7780168198709173,0.5082872928176796,0.38422630198576246
9,0.5336,0.6159549987215546,0.5023141005862388,0.5791549295774648,0.36893203883495146,0.4477987421383648,0.4251497005988024,0.7134751773049646,0.4713140037014189,0.632555925749643,0.48214285714285715,0.5012062726176115,0.723463687150838,0.5885337392186707,0.3700787401574803,0.28932740411339636,0.47987555901224965,0.5043771043771044,0.8005085077254058,0.5193370165745856,0.43162233046084675,0.6159549987215546,0.5023141005862388,0.5791549295774648,0.36893203883495146,0.4477987421383648,0.4251497005988024,0.7134751773049646,0.4713140037014189,0.632555925749643,0.48214285714285715,0.5012062726176115,0.723463687150838,0.5885337392186707,0.3700787401574803,0.28932740411339636,0.47987555901224965,0.5043771043771044,0.8005085077254058,0.5193370165745856,0.43162233046084675
