round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.2074
1,0,0,0,,,,0.2356
2,0,0,0,,,,0.3003
3,0,0,0,,,,0.3464
4,0,0,0,,,,0.3979
5,0,0,0,,,,0.4398
6,0,0,0,,,,0.4598
7,0,0,0,,,,0.5005
8,0,0,0,,,,0.5137
9,0,0,0,,,,0.5336
10,0,0,0,,,,0.5483
11,0,0,0,,,,0.5548
12,0,0,0,,,,0.5675
13,0,0,0,,,,0.5782
14,0,0,0,,,,0.5808
15,0,0,0,,,,0.5956
16,0,0,0,,,,0.6047
17,0,0,0,,,,0.5981
18,0,0,0,,,,0.6139
19,0,0,0,,,,0.6258
20,0,0,0,,,,0.6321
21,0,0,0,,,,0.6377
22,0,0,0,,,,0.6412
23,0,0,0,,,,0.6438
24,0,0,0,,,,0.6426
25,0,0,0,,,,0.6503
26,0,0,0,,,,0.654
27,0,0,0,,,,0.6596
28,0,0,0,,,,0.6535
29,0,0,0,,,,0.6617
30,0,0,0,,,,0.6662
31,0,0,0,,,,0.6614
32,0,0,0,,,,0.6615
33,0,0,0,,,,0.667
34,0,0,0,,,,0.6691
35,0,0,0,,,,0.6698
36,0,0,0,,,,0.6767
37,0,0,0,,,,0.6731
38,0,0,0,,,,0.6741
39,0,0,0,,,,0.6804
40,0,0,0,,,,0.6753
41,0,0,0,,,,0.6807
42,0,0,0,,,,0.6824
43,0,0,0,,,,0.6819
44,0,0,0,,,,0.6872
45,0,0,0,,,,0.6821
46,0,0,0,,,,0.6872
47,0,0,0,,,,0.6895
48,0,0,0,,,,0.6841
49,0,0,0,,,,0.6921
50,0,0,0,,,,0.6919
51,0,0,0,,,,0.6903
52,0,0,0,,,,0.691
53,0,0,0,,,,0.6965
54,0,0,0,,,,0.6929
55,0,0,0,,,,0.695
56,0,0,0,,,,0.6942
57,0,0,0,,,,0.6942
58,0,0,0,,,,0.6926
59,0,0,0,,,,0.6986
60,0,0,0,,,,0.6948
61,0,0,0,,,,0.6943
62,0,0,0,,,,0.6959
63,0,0,0,,,,0.6991
64,0,0,0,,,,0.6976
65,0,0,0,,,,0.6982
66,0,0,0,,,,0.7006
67,0,0,0,,,,0.7004
68,0,0,0,,,,0.7018
69,0,0,0,,,,0.6988
70,0,0,0,,,,0.7037
71,0,0,0,,,,0.7035
72,0,0,0,,,,0.7023
73,0,0,0,,,,0.7039
74,0,0,0,,,,0.703
75,0,0,0,,,,0.7
76,0,0,0,,,,0.706
77,0,0,0,,,,0.7001
78,0,0,0,,,,0.7021
79,0,0,0,,,,0.7017
80,0,0,0,,,,0.701
81,0,0,0,,,,0.7026
82,0,0,0,,,,0.7022
83,0,0,0,,,,0.6996
84,0,0,0,,,,0.7024
85,0,0,0,,,,0.698
86,0,0,0,,,,0.7054
87,0,0,0,,,,0.7018
88,0,0,0,,,,0.705
89,0,0,0,,,,0.7053
90,0,0,0,,,,0.7039
91,0,0,0,,,,0.7058
92,0,0,0,,,,0.7062
93,0,0,0,,,,0.7052
94,0,0,0,,,,0.7047
95,0,0,0,,,,0.7065
96,0,0,0,,,,0.7013
97,0,0,0,,,,0.7052
98,0,0,0,,,,0.7033
99,0,0,0,,,,0.7041
100,7,5,7,5;7;8;9;12;13;15,7;8;9;12;13,5;7;8;9;12;13;15,0.6454
101,7,5,7,5;7;8;9;12;13;15,7;8;9;12;13,5;7;8;9;12;13;15,0.6449
102,7,5,7,5;7;8;9;12;13;15,7;8;9;12;13,5;7;8;9;12;13;15,0.6233
103,6,4,6,5;8;9;12;13;15,8;9;12;13,5;8;9;12;13;15,0.5973
104,5,1,5,5;8;9;13;15,13,5;8;9;13;15,0.581
105,2,1,2,9;13,13,9;13,0.6026
106,1,1,0,5,5,,0.595
107,1,1,0,5,5,,0.5852
108,1,1,0,5,5,,0.5915
109,1,1,0,5,5,,0.5751
110,1,1,0,5,5,,0.5783
111,1,1,0,5,5,,0.5867
112,0,0,0,,,,0.5941
113,0,0,0,,,,0.5839
114,0,0,0,,,,0.6022
115,0,0,0,,,,0.5906
116,0,0,0,,,,0.5969
117,0,0,0,,,,0.5994
118,0,0,0,,,,0.5905
119,0,0,0,,,,0.5841
120,0,0,0,,,,0.5942
121,0,0,0,,,,0.5912
122,0,0,0,,,,0.5786
123,0,0,0,,,,0.6027
124,0,0,0,,,,0.5849
125,0,0,0,,,,0.5889
126,0,0,0,,,,0.5918
127,0,0,0,,,,0.5894
128,0,0,0,,,,0.594
129,0,0,0,,,,0.582
130,0,0,0,,,,0.5975
131,0,0,0,,,,0.5851
132,0,0,0,,,,0.5923
133,0,0,0,,,,0.5889
134,0,0,0,,,,0.5843
135,0,0,0,,,,0.5919
136,0,0,0,,,,0.5934
137,0,0,0,,,,0.5814
138,0,0,0,,,,0.5886
139,0,0,0,,,,0.5851
140,0,0,0,,,,0.5907
141,0,0,0,,,,0.5876
142,0,0,0,,,,0.594
143,0,0,0,,,,0.5901
144,0,0,0,,,,0.5912
145,0,0,0,,,,0.587
146,0,0,0,,,,0.5759
147,0,0,0,,,,0.5962
148,0,0,0,,,,0.5886
149,0,0,0,,,,0.5804
150,0,0,0,,,,0.5834
151,0,0,0,,,,0.5917
152,0,0,0,,,,0.5811
153,0,0,0,,,,0.5894
154,0,0,0,,,,0.5956
155,0,0,0,,,,0.5863
156,0,0,0,,,,0.5988
157,0,0,0,,,,0.5852
158,0,0,0,,,,0.5892
159,0,0,0,,,,0.5914
160,0,0,0,,,,0.5899
161,0,0,0,,,,0.5752
162,0,0,0,,,,0.6025
163,0,0,0,,,,0.5873
164,0,0,0,,,,0.5869
165,0,0,0,,,,0.5921
166,0,0,0,,,,0.5908
167,0,0,0,,,,0.5847
168,0,0,0,,,,0.5922
169,0,0,0,,,,0.5801
170,0,0,0,,,,0.5937
171,0,0,0,,,,0.5966
172,0,0,0,,,,0.5849
173,0,0,0,,,,0.5927
174,0,0,0,,,,0.5903
175,0,0,0,,,,0.5801
176,0,0,0,,,,0.5875
177,0,0,0,,,,0.5938
178,0,0,0,,,,0.5732
179,0,0,0,,,,0.5946
180,0,0,0,,,,0.5879
181,0,0,0,,,,0.5822
182,0,0,0,,,,0.5975
