round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
0,0.2071,0.3963180772181028,0.1820425794507868,0.002629107981220657,0.03559870550161812,0.010062893081761006,0.03143712574850299,0.524822695035461,0.28007402837754475,0.5002379819133745,0.05803571428571429,0.10193003618817853,0.5558659217877095,0.25469304921359714,0.09448818897637795,0.033351862145636464,0.18141162745479292,0.007407407407407408,0.6579307647173871,0.049723756906077346,0.07999250655676284,0.3963180772181028,0.1820425794507868,0.002629107981220657,0.03559870550161812,0.010062893081761006,0.03143712574850299,0.524822695035461,0.28007402837754475,0.5002379819133745,0.05803571428571429,0.10193003618817853,0.5558659217877095,0.25469304921359714,0.09448818897637795,0.033351862145636464,0.18141162745479292,0.007407407407407408,0.6579307647173871,0.049723756906077346,0.07999250655676284
1,0.2326,0.4566607005880849,0.2496143165689602,0.049389671361502345,0.042071197411003236,0.01509433962264151,0.04790419161676647,0.5340425531914894,0.2874768661320173,0.49928605425987627,0.08035714285714286,0.11037394451145958,0.5391061452513967,0.22577371892440384,0.09448818897637795,0.03446359088382435,0.16760645537623955,0.011447811447811448,0.7584588304322316,0.06077348066298342,0.10790558261521169,0.4566607005880849,0.2496143165689602,0.049389671361502345,0.042071197411003236,0.01509433962264151,0.04790419161676647,0.5340425531914894,0.2874768661320173,0.49928605425987627,0.08035714285714286,0.11037394451145958,0.5391061452513967,0.22577371892440384,0.09448818897637795,0.03446359088382435,0.16760645537623955,0.011447811447811448,0.7584588304322316,0.06077348066298342,0.10790558261521169
2,0.2945,0.47737151623625673,0.29435359456957727,0.27830985915492956,0.05825242718446602,0.05471698113207547,0.13023952095808383,0.5468085106382978,0.26711906230721777,0.49452641599238456,0.125,0.13781664656212303,0.5223463687150838,0.2749873160832065,0.14960629921259844,0.033073929961089495,0.24324324324324326,0.09539842873176206,0.7553295521220419,0.16022099447513813,0.19632821281378793,0.47737151623625673,0.29435359456957727,0.27830985915492956,0.05825242718446602,0.05471698113207547,0.13023952095808383,0.5468085106382978,0.26711906230721777,0.49452641599238456,0.125,0.13781664656212303,0.5223463687150838,0.2749873160832065,0.14960629921259844,0.033073929961089495,0.24324324324324326,0.09539842873176206,0.7553295521220419,0.16022099447513813,0.19632821281378793
3,0.3524,0.4778828944004091,0.3063869176180191,0.31136150234741783,0.06472491909385113,0.19308176100628932,0.19011976047904192,0.6198581560283688,0.27143738433066006,0.5511661113755355,0.20535714285714285,0.29644149577804585,0.611731843575419,0.4454591577879249,0.2047244094488189,0.03501945525291829,0.2969084192105775,0.3084175084175084,0.7439859182476042,0.3259668508287293,0.24035219183214687,0.4778828944004091,0.3063869176180191,0.31136150234741783,0.06472491909385113,0.19308176100628932,0.19011976047904192,0.6198581560283688,0.27143738433066006,0.5511661113755355,0.20535714285714285,0.29644149577804585,0.611731843575419,0.4454591577879249,0.2047244094488189,0.03501945525291829,0.2969084192105775,0.3084175084175084,0.7439859182476042,0.3259668508287293,0.24035219183214687
4,0.3919,0.5251853745845052,0.36593643937056464,0.3457276995305164,0.09061488673139159,0.2911949685534591,0.2754491017964072,0.6163120567375886,0.28192473781616284,0.5821037601142314,0.26785714285714285,0.36821471652593485,0.6396648044692738,0.4835109081684424,0.30708661417322836,0.042801556420233464,0.327046470931363,0.3569023569023569,0.7439859182476042,0.35911602209944754,0.32221805919820157,0.5251853745845052,0.36593643937056464,0.3457276995305164,0.09061488673139159,0.2911949685534591,0.2754491017964072,0.6163120567375886,0.28192473781616284,0.5821037601142314,0.26785714285714285,0.36821471652593485,0.6396648044692738,0.4835109081684424,0.30708661417322836,0.042801556420233464,0.327046470931363,0.3569023569023569,0.7439859182476042,0.35911602209944754,0.32221805919820157
5,0.4431,0.5576578880081821,0.4177722925023141,0.4768075117370892,0.11326860841423948,0.3270440251572327,0.3278443113772455,0.6404255319148936,0.2899444787168415,0.5683008091385054,0.32589285714285715,0.3914354644149578,0.6452513966480447,0.4941653982749873,0.30708661417322836,0.0622568093385214,0.45848726424265995,0.4219977553310887,0.749657735184823,0.4419889502762431,0.3475084301236418,0.5576578880081821,0.4177722925023141,0.4768075117370892,0.11326860841423948,0.3270440251572327,0.3278443113772455,0.6404255319148936,0.2899444787168415,0.5683008091385054,0.32589285714285715,0.3914354644149578,0.6452513966480447,0.4941653982749873,0.30708661417322836,0.0622568093385214,0.45848726424265995,0.4219977553310887,0.749657735184823,0.4419889502762431,0.3475084301236418
6,0.4662,0.5908974686780875,0.4483184202406665,0.5027230046948357,0.18770226537216828,0.3559748427672956,0.3772455089820359,0.648936170212766,0.36273904996915485,0.5830556877677296,0.36160714285714285,0.43033775633293125,0.6675977653631285,0.5525114155251142,0.3464566929133858,0.14480266814897166,0.3935446237604511,0.44332210998877664,0.774300801877567,0.4585635359116022,0.33851629823904084,0.5908974686780875,0.4483184202406665,0.5027230046948357,0.18770226537216828,0.3559748427672956,0.3772455089820359,0.648936170212766,0.36273904996915485,0.5830556877677296,0.36160714285714285,0.43033775633293125,0.6675977653631285,0.5525114155251142,0.3464566929133858,0.14480266814897166,0.3935446237604511,0.44332210998877664,0.774300801877567,0.4585635359116022,0.33851629823904084
7,0.5026,0.5970340066479162,0.4868867633446467,0.5603755868544601,0.27184466019417475,0.3672955974842767,0.3937125748502994,0.6929078014184397,0.3985194324491055,0.5887672536887196,0.41964285714285715,0.428226779252111,0.6703910614525139,0.547945205479452,0.36220472440944884,0.2095608671484158,0.48006999805560957,0.45881032547699213,0.7752787013495013,0.47513812154696133,0.3763581865867366,0.5970340066479162,0.4868867633446467,0.5603755868544601,0.27184466019417475,0.3672955974842767,0.3937125748502994,0.6929078014184397,0.3985194324491055,0.5887672536887196,0.41964285714285715,0.428226779252111,0.6703910614525139,0.547945205479452,0.36220472440944884,0.2095608671484158,0.48006999805560957,0.45881032547699213,0.7752787013495013,0.47513812154696133,0.3763581865867366
8,0.514,0.6121196624904116,0.4976858994137612,0.5774647887323944,0.3042071197411003,0.43647798742138366,0.42065868263473055,0.6872340425531915,0.42751388032078963,0.609709662065683,0.46875,0.49095295536791317,0.6787709497206704,0.56519533231862,0.3700787401574803,0.23346303501945526,0.45012638537818395,0.48597081930415265,0.7819284177586544,0.49171270718232046,0.3964031472461596,0.6121196624904116,0.4976858994137612,0.5774647887323944,0.3042071197411003,0.43647798742138366,0.42065868263473055,0.6872340425531915,0.42751388032078963,0.609709662065683,0.46875,0.49095295536791317,0.6787709497206704,0.56519533231862,0.3700787401574803,0.23346303501945526,0.45012638537818395,0.48597081930415265,0.7819284177586544,0.49171270718232046,0.3964031472461596
9,0.5365,0.6093070825875735,0.5001542733724159,0.5778403755868544,0.3559870550161812,0.47924528301886793,0.4236526946107784,0.7085106382978723,0.47378161628624305,0.629700142789148,0.5044642857142857,0.528648974668275,0.7150837988826816,0.5930999492643328,0.3543307086614173,0.28543635352973873,0.46723702119385574,0.5281705948372615,0.7969880696264424,0.5082872928176796,0.43742974896965153,0.6093070825875735,0.5001542733724159,0.5778403755868544,0.3559870550161812,0.47924528301886793,0.4236526946107784,0.7085106382978723,0.47378161628624305,0.629700142789148,0.5044642857142857,0.528648974668275,0.7150837988826816,0.5930999492643328,0.3543307086614173,0.28543635352973873,0.46723702119385574,0.5281705948372615,0.7969880696264424,0.5082872928176796,0.43742974896965153
