round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.2071
1,0,0,0,,,,0.2326
2,0,0,0,,,,0.2945
3,0,0,0,,,,0.3524
4,0,0,0,,,,0.3919
5,0,0,0,,,,0.4431
6,0,0,0,,,,0.4662
7,0,0,0,,,,0.5026
8,0,0,0,,,,0.514
9,0,0,0,,,,0.5365
10,0,0,0,,,,0.546
11,0,0,0,,,,0.5525
12,0,0,0,,,,0.5688
13,0,0,0,,,,0.5794
14,0,0,0,,,,0.5838
15,0,0,0,,,,0.5966
16,0,0,0,,,,0.6027
17,0,0,0,,,,0.5967
18,0,0,0,,,,0.6172
19,0,0,0,,,,0.6168
20,0,0,0,,,,0.6292
21,0,0,0,,,,0.6338
22,0,0,0,,,,0.6394
23,0,0,0,,,,0.6406
24,0,0,0,,,,0.6424
25,0,0,0,,,,0.6488
26,0,0,0,,,,0.6434
27,0,0,0,,,,0.6526
28,0,0,0,,,,0.6582
29,0,0,0,,,,0.6632
30,0,0,0,,,,0.6651
31,0,0,0,,,,0.6664
32,0,0,0,,,,0.6635
33,0,0,0,,,,0.6677
34,0,0,0,,,,0.668
35,0,0,0,,,,0.6703
36,0,0,0,,,,0.6753
37,0,0,0,,,,0.6743
38,0,0,0,,,,0.6778
39,0,0,0,,,,0.6827
40,0,0,0,,,,0.6788
41,0,0,0,,,,0.6788
42,0,0,0,,,,0.6844
43,0,0,0,,,,0.6844
44,0,0,0,,,,0.6852
45,0,0,0,,,,0.6832
46,0,0,0,,,,0.6878
47,0,0,0,,,,0.6854
48,0,0,0,,,,0.6859
49,0,0,0,,,,0.6902
50,0,0,0,,,,0.6879
51,0,0,0,,,,0.6885
52,0,0,0,,,,0.693
53,0,0,0,,,,0.6937
54,0,0,0,,,,0.6945
55,0,0,0,,,,0.6974
56,0,0,0,,,,0.6975
57,0,0,0,,,,0.6978
58,0,0,0,,,,0.6998
59,0,0,0,,,,0.6978
60,0,0,0,,,,0.7014
61,0,0,0,,,,0.6959
62,0,0,0,,,,0.6996
63,0,0,0,,,,0.7008
64,0,0,0,,,,0.7007
65,0,0,0,,,,0.7017
66,0,0,0,,,,0.6977
67,0,0,0,,,,0.6973
68,0,0,0,,,,0.7005
69,0,0,0,,,,0.6958
70,0,0,0,,,,0.7001
71,0,0,0,,,,0.7006
72,0,0,0,,,,0.6977
73,0,0,0,,,,0.7011
74,0,0,0,,,,0.7016
75,0,0,0,,,,0.701
76,0,0,0,,,,0.6994
77,0,0,0,,,,0.7009
78,0,0,0,,,,0.6962
79,0,0,0,,,,0.6999
80,0,0,0,,,,0.7004
81,0,0,0,,,,0.7008
82,0,0,0,,,,0.7001
83,0,0,0,,,,0.7008
84,0,0,0,,,,0.702
85,0,0,0,,,,0.7018
86,0,0,0,,,,0.7048
87,0,0,0,,,,0.7026
88,0,0,0,,,,0.7024
89,0,0,0,,,,0.7037
90,0,0,0,,,,0.6986
91,0,0,0,,,,0.7033
92,0,0,0,,,,0.6982
93,0,0,0,,,,0.7055
94,0,0,0,,,,0.7015
95,0,0,0,,,,0.7044
96,0,0,0,,,,0.7042
97,0,0,0,,,,0.7028
98,0,0,0,,,,0.7028
99,0,0,0,,,,0.704
100,6,4,6,5;7;8;9;12;13,7;8;12;13,5;7;8;9;12;13,0.6284
101,6,4,6,5;7;8;9;12;13,7;8;12;13,5;7;8;9;12;13,0.6412
102,6,4,6,5;7;8;9;12;13,7;8;12;13,5;7;8;9;12;13,0.6268
103,6,4,6,5;7;8;9;12;13,7;8;12;13,5;7;8;9;12;13,0.6261
104,3,1,3,5;9;13,13,5;9;13,0.5906
105,1,1,1,13,13,13,0.5936
106,1,1,0,9,9,,0.5911
107,1,1,0,9,9,,0.5911
108,1,1,0,9,9,,0.5904
109,1,1,0,9,9,,0.583
110,1,1,0,9,9,,0.5876
111,1,1,0,9,9,,0.5882
112,1,1,0,9,9,,0.595
113,0,0,0,,,,0.5865
114,0,0,0,,,,0.5974
115,0,0,0,,,,0.6009
116,0,0,0,,,,0.589
117,0,0,0,,,,0.5956
118,0,0,0,,,,0.5911
119,0,0,0,,,,0.5919
120,0,0,0,,,,0.5937
121,0,0,0,,,,0.5948
122,0,0,0,,,,0.5888
123,0,0,0,,,,0.6006
124,0,0,0,,,,0.6021
125,0,0,0,,,,0.5921
126,0,0,0,,,,0.6075
127,0,0,0,,,,0.5899
128,0,0,0,,,,0.5905
129,0,0,0,,,,0.591
130,0,0,0,,,,0.5941
131,0,0,0,,,,0.595
132,0,0,0,,,,0.5891
133,0,0,0,,,,0.5994
134,0,0,0,,,,0.5958
135,0,0,0,,,,0.5898
136,0,0,0,,,,0.5924
137,0,0,0,,,,0.5922
138,0,0,0,,,,0.5846
139,0,0,0,,,,0.6024
140,0,0,0,,,,0.6061
141,0,0,0,,,,0.5894
142,0,0,0,,,,0.5992
143,0,0,0,,,,0.5931
144,0,0,0,,,,0.6014
145,0,0,0,,,,0.5864
146,0,0,0,,,,0.5947
147,0,0,0,,,,0.6082
148,0,0,0,,,,0.5915
149,0,0,0,,,,0.5938
150,0,0,0,,,,0.5884
151,0,0,0,,,,0.5937
152,0,0,0,,,,0.5933
153,0,0,0,,,,0.5917
154,0,0,0,,,,0.5863
155,0,0,0,,,,0.5947
156,0,0,0,,,,0.5941
157,0,0,0,,,,0.5865
158,0,0,0,,,,0.588
159,0,0,0,,,,0.6027
160,0,0,0,,,,0.5831
161,0,0,0,,,,0.5931
162,0,0,0,,,,0.593
163,0,0,0,,,,0.5834
164,0,0,0,,,,0.5993
165,0,0,0,,,,0.5812
166,0,0,0,,,,0.6001
167,0,0,0,,,,0.5863
168,0,0,0,,,,0.5891
169,0,0,0,,,,0.5901
170,0,0,0,,,,0.5922
171,0,0,0,,,,0.5947
172,0,0,0,,,,0.5859
173,0,0,0,,,,0.5895
174,0,0,0,,,,0.5893
175,0,0,0,,,,0.5981
176,0,0,0,,,,0.5881
177,0,0,0,,,,0.5921
178,0,0,0,,,,0.5822
179,0,0,0,,,,0.5953
180,0,0,0,,,,0.5831
181,0,0,0,,,,0.5867
182,0,0,0,,,,0.5884
183,0,0,0,,,,0.5861
184,0,0,0,,,,0.5878
185,0,0,0,,,,0.589
186,0,0,0,,,,0.5774
187,0,0,0,,,,0.585
188,0,0,0,,,,0.6
189,0,0,0,,,,0.5772
190,0,0,0,,,,0.5984
191,0,0,0,,,,0.5772
192,0,0,0,,,,0.6005
193,0,0,0,,,,0.5823
194,0,0,0,,,,0.5852
195,0,0,0,,,,0.5828
196,0,0,0,,,,0.585
197,0,0,0,,,,0.5818
198,0,0,0,,,,0.5939
199,0,0,0,,,,0.5971
