round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
0,0.2084,0.4073127077473792,0.1946929959888923,0.002629107981220657,0.03559870550161812,0.010691823899371069,0.0344311377245509,0.5127659574468085,0.27884022208513265,0.4926225606853879,0.05803571428571429,0.10193003618817853,0.547486033519553,0.2389649923896499,0.09448818897637795,0.033351862145636464,0.17032860198327823,0.007407407407407408,0.6737727361627225,0.055248618784530384,0.08317721993255901,0.4073127077473792,0.1946929959888923,0.002629107981220657,0.03559870550161812,0.010691823899371069,0.0344311377245509,0.5127659574468085,0.27884022208513265,0.4926225606853879,0.05803571428571429,0.10193003618817853,0.547486033519553,0.2389649923896499,0.09448818897637795,0.033351862145636464,0.17032860198327823,0.007407407407407408,0.6737727361627225,0.055248618784530384,0.08317721993255901
1,0.2355,0.4507798517003324,0.2437519284171552,0.056338028169014086,0.042071197411003236,0.01761006289308176,0.04790419161676647,0.5574468085106383,0.2874768661320173,0.5059495478343646,0.08035714285714286,0.11067551266586248,0.5502793296089385,0.24403855910705224,0.09448818897637795,0.03418565869927738,0.18238382267159245,0.013019079685746353,0.7557207119108156,0.06077348066298342,0.10696890221056575,0.4507798517003324,0.2437519284171552,0.056338028169014086,0.042071197411003236,0.01761006289308176,0.04790419161676647,0.5574468085106383,0.2874768661320173,0.5059495478343646,0.08035714285714286,0.11067551266586248,0.5502793296089385,0.24403855910705224,0.09448818897637795,0.03418565869927738,0.18238382267159245,0.013019079685746353,0.7557207119108156,0.06077348066298342,0.10696890221056575
2,0.2985,0.4789056507287139,0.29435359456957727,0.2916431924882629,0.05825242718446602,0.05157232704402516,0.13622754491017963,0.5432624113475177,0.26958667489204197,0.49214659685863876,0.12053571428571429,0.13841978287092882,0.5251396648044693,0.289193302891933,0.14960629921259844,0.032795997776542525,0.23877114524596538,0.10998877665544332,0.7570897711715235,0.16574585635359115,0.18977144998126638,0.4789056507287139,0.29435359456957727,0.2916431924882629,0.05825242718446602,0.05157232704402516,0.13622754491017963,0.5432624113475177,0.26958667489204197,0.49214659685863876,0.12053571428571429,0.13841978287092882,0.5251396648044693,0.289193302891933,0.14960629921259844,0.032795997776542525,0.23877114524596538,0.10998877665544332,0.7570897711715235,0.16574585635359115,0.18977144998126638
3,0.3463,0.48197391971362824,0.30885529157667385,0.28507042253521125,0.07119741100323625,0.18867924528301888,0.18712574850299402,0.6049645390070922,0.2745219000616903,0.5573536411232747,0.20982142857142858,0.2855850422195416,0.6145251396648045,0.4211060375443937,0.1968503937007874,0.03557531962201223,0.27532568539762786,0.2729517396184063,0.7525914336006259,0.287292817679558,0.261521168977145,0.48197391971362824,0.30885529157667385,0.28507042253521125,0.07119741100323625,0.18867924528301888,0.18712574850299402,0.6049645390070922,0.2745219000616903,0.5573536411232747,0.20982142857142858,0.2855850422195416,0.6145251396648045,0.4211060375443937,0.1968503937007874,0.03557531962201223,0.27532568539762786,0.2729517396184063,0.7525914336006259,0.287292817679558,0.261521168977145
4,0.39,0.530043467143953,0.36963900030854674,0.3504225352112676,0.08090614886731391,0.25157232704402516,0.26497005988023953,0.6212765957446809,0.28809376927822333,0.581151832460733,0.24107142857142858,0.3365500603136309,0.6340782122905028,0.4733637747336377,0.30708661417322836,0.04168982768204558,0.3387128135329574,0.34971941638608306,0.753764912966947,0.34806629834254144,0.3158486324466092,0.530043467143953,0.36963900030854674,0.3504225352112676,0.08090614886731391,0.25157232704402516,0.26497005988023953,0.6212765957446809,0.28809376927822333,0.581151832460733,0.24107142857142858,0.3365500603136309,0.6340782122905028,0.4733637747336377,0.30708661417322836,0.04168982768204558,0.3387128135329574,0.34971941638608306,0.753764912966947,0.34806629834254144,0.3158486324466092
5,0.4413,0.5556123753515725,0.4162295587781549,0.4666666666666667,0.11326860841423948,0.3320754716981132,0.33083832335329344,0.6347517730496454,0.2924120913016656,0.5692527367920038,0.33035714285714285,0.39505428226779254,0.6284916201117319,0.4911212582445459,0.30708661417322836,0.06281267370761534,0.43612677425627067,0.41414141414141414,0.752395853706239,0.4530386740331492,0.3572499063319595,0.5556123753515725,0.4162295587781549,0.4666666666666667,0.11326860841423948,0.3320754716981132,0.33083832335329344,0.6347517730496454,0.2924120913016656,0.5692527367920038,0.33035714285714285,0.39505428226779254,0.6284916201117319,0.4911212582445459,0.30708661417322836,0.06281267370761534,0.43612677425627067,0.41414141414141414,0.752395853706239,0.4530386740331492,0.3572499063319595
6,0.4642,0.5868064433648683,0.4483184202406665,0.4955868544600939,0.19741100323624594,0.35157232704402513,0.36826347305389223,0.649645390070922,0.3584207279457125,0.5859114707282247,0.35714285714285715,0.4203860072376357,0.6536312849162011,0.5469304921359716,0.36220472440944884,0.1461923290717065,0.3997666731479681,0.44399551066217735,0.7735184823000195,0.5027624309392266,0.3424503559385538,0.5868064433648683,0.4483184202406665,0.4955868544600939,0.19741100323624594,0.35157232704402513,0.36826347305389223,0.649645390070922,0.3584207279457125,0.5859114707282247,0.35714285714285715,0.4203860072376357,0.6536312849162011,0.5469304921359716,0.36220472440944884,0.1461923290717065,0.3997666731479681,0.44399551066217735,0.7735184823000195,0.5027624309392266,0.3424503559385538
7,0.4984,0.5960112503196113,0.4831842024066646,0.5699530516431925,0.2686084142394822,0.35660377358490564,0.38922155688622756,0.7085106382978723,0.40653917334978407,0.5859114707282247,0.42410714285714285,0.41827503015681544,0.6815642458100558,0.5408422120750888,0.3700787401574803,0.22707059477487493,0.49115302352712426,0.43703703703703706,0.771562683356151,0.48066298342541436,0.3574372424128887,0.5960112503196113,0.4831842024066646,0.5699530516431925,0.2686084142394822,0.35660377358490564,0.38922155688622756,0.7085106382978723,0.40653917334978407,0.5859114707282247,0.42410714285714285,0.41827503015681544,0.6815642458100558,0.5408422120750888,0.3700787401574803,0.22707059477487493,0.49115302352712426,0.43703703703703706,0.771562683356151,0.48066298342541436,0.3574372424128887
8,0.515,0.6131424188187165,0.4983029929034249,0.5823474178403756,0.28802588996763756,0.4188679245283019,0.4116766467065868,0.6836879432624113,0.4225786551511413,0.6059019514516897,0.46875,0.48160434258142343,0.6731843575418994,0.5657026889903602,0.3543307086614173,0.22429127292940523,0.45887614232937973,0.4861952861952862,0.7827107373362019,0.5027624309392266,0.3909704008992132,0.6131424188187165,0.4983029929034249,0.5823474178403756,0.28802588996763756,0.4188679245283019,0.4116766467065868,0.6836879432624113,0.4225786551511413,0.6059019514516897,0.46875,0.48160434258142343,0.6731843575418994,0.5657026889903602,0.3543307086614173,0.22429127292940523,0.45887614232937973,0.4861952861952862,0.7827107373362019,0.5027624309392266,0.3909704008992132
9,0.5398,0.623114293019688,0.521443998765813,0.596056338028169,0.35275080906148865,0.4911949685534591,0.4505988023952096,0.700709219858156,0.4663787785317705,0.6130414088529271,0.5044642857142857,0.5358866103739445,0.7206703910614525,0.5946220192795535,0.3937007874015748,0.29210672595886605,0.4736535096247326,0.52996632996633,0.785253275963231,0.5359116022099447,0.4170101161483702,0.623114293019688,0.521443998765813,0.596056338028169,0.35275080906148865,0.4911949685534591,0.4505988023952096,0.700709219858156,0.4663787785317705,0.6130414088529271,0.5044642857142857,0.5358866103739445,0.7206703910614525,0.5946220192795535,0.3937007874015748,0.29210672595886605,0.4736535096247326,0.52996632996633,0.785253275963231,0.5359116022099447,0.4170101161483702
