round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.2084
1,0,0,0,,,,0.2355
2,0,0,0,,,,0.2985
3,0,0,0,,,,0.3463
4,0,0,0,,,,0.39
5,0,0,0,,,,0.4413
6,0,0,0,,,,0.4642
7,0,0,0,,,,0.4984
8,0,0,0,,,,0.515
9,0,0,0,,,,0.5398
10,0,0,0,,,,0.5432
11,0,0,0,,,,0.5526
12,0,0,0,,,,0.5629
13,0,0,0,,,,0.5766
14,0,0,0,,,,0.5809
15,0,0,0,,,,0.5925
16,0,0,0,,,,0.6039
17,0,0,0,,,,0.5984
18,0,0,0,,,,0.6146
19,0,0,0,,,,0.6244
20,0,0,0,,,,0.6291
21,0,0,0,,,,0.6377
22,0,0,0,,,,0.6419
23,0,0,0,,,,0.6444
24,0,0,0,,,,0.6451
25,0,0,0,,,,0.6504
26,0,0,0,,,,0.6509
27,0,0,0,,,,0.6579
28,0,0,0,,,,0.6601
29,0,0,0,,,,0.6637
30,0,0,0,,,,0.6664
31,0,0,0,,,,0.6634
32,0,0,0,,,,0.6648
33,0,0,0,,,,0.6706
34,0,0,0,,,,0.673
35,0,0,0,,,,0.6702
36,0,0,0,,,,0.6763
37,0,0,0,,,,0.6752
38,0,0,0,,,,0.6785
39,0,0,0,,,,0.679
40,0,0,0,,,,0.6754
41,0,0,0,,,,0.679
42,0,0,0,,,,0.6867
43,0,0,0,,,,0.6835
44,0,0,0,,,,0.6895
45,0,0,0,,,,0.6899
46,0,0,0,,,,0.6902
47,0,0,0,,,,0.6897
48,0,0,0,,,,0.6898
49,0,0,0,,,,0.6937
50,0,0,0,,,,0.6955
51,0,0,0,,,,0.6911
52,0,0,0,,,,0.6959
53,0,0,0,,,,0.6966
54,0,0,0,,,,0.6961
55,0,0,0,,,,0.6998
56,0,0,0,,,,0.6974
57,0,0,0,,,,0.6961
58,0,0,0,,,,0.6975
59,0,0,0,,,,0.6998
60,0,0,0,,,,0.6969
61,0,0,0,,,,0.6997
62,0,0,0,,,,0.6995
63,0,0,0,,,,0.7026
64,0,0,0,,,,0.7013
65,0,0,0,,,,0.7048
66,0,0,0,,,,0.7029
67,0,0,0,,,,0.6997
68,0,0,0,,,,0.7047
69,0,0,0,,,,0.7029
70,0,0,0,,,,0.7035
71,0,0,0,,,,0.704
72,0,0,0,,,,0.699
73,0,0,0,,,,0.7068
74,0,0,0,,,,0.706
75,0,0,0,,,,0.703
76,0,0,0,,,,0.7062
77,0,0,0,,,,0.7028
78,0,0,0,,,,0.7037
79,0,0,0,,,,0.7037
80,0,0,0,,,,0.7035
81,0,0,0,,,,0.7065
82,0,0,0,,,,0.705
83,0,0,0,,,,0.706
84,0,0,0,,,,0.7048
85,0,0,0,,,,0.7058
86,0,0,0,,,,0.7017
87,0,0,0,,,,0.7038
88,0,0,0,,,,0.7105
89,0,0,0,,,,0.7053
90,0,0,0,,,,0.7055
91,0,0,0,,,,0.7084
92,0,0,0,,,,0.7076
93,0,0,0,,,,0.7083
94,0,0,0,,,,0.7063
95,0,0,0,,,,0.7048
96,0,0,0,,,,0.7058
97,0,0,0,,,,0.708
98,0,0,0,,,,0.7094
99,0,0,0,,,,0.7086
100,0,0,0,,,,0.6122
101,0,0,0,,,,0.6335
102,0,0,0,,,,0.6093
103,0,0,0,,,,0.5967
104,0,0,0,,,,0.5946
105,0,0,0,,,,0.5854
106,0,0,0,,,,0.5997
107,0,0,0,,,,0.6
108,0,0,0,,,,0.5939
109,0,0,0,,,,0.5806
110,0,0,0,,,,0.5816
111,0,0,0,,,,0.5951
112,0,0,0,,,,0.5919
113,0,0,0,,,,0.5911
114,0,0,0,,,,0.5996
115,0,0,0,,,,0.5924
116,0,0,0,,,,0.5963
117,0,0,0,,,,0.5966
118,0,0,0,,,,0.5961
119,0,0,0,,,,0.5961
120,0,0,0,,,,0.5917
121,0,0,0,,,,0.5973
122,0,0,0,,,,0.5872
123,0,0,0,,,,0.6034
124,0,0,0,,,,0.5955
125,0,0,0,,,,0.5952
126,0,0,0,,,,0.6076
127,0,0,0,,,,0.5946
128,0,0,0,,,,0.5984
129,0,0,0,,,,0.5983
130,0,0,0,,,,0.5966
131,0,0,0,,,,0.6082
132,0,0,0,,,,0.5941
133,0,0,0,,,,0.6007
134,0,0,0,,,,0.6024
135,0,0,0,,,,0.587
136,0,0,0,,,,0.6003
137,0,0,0,,,,0.6023
138,0,0,0,,,,0.5954
139,0,0,0,,,,0.5928
140,0,0,0,,,,0.5978
141,0,0,0,,,,0.6063
142,0,0,0,,,,0.5896
143,0,0,0,,,,0.5962
144,0,0,0,,,,0.6101
145,0,0,0,,,,0.5867
146,0,0,0,,,,0.6015
147,0,0,0,,,,0.6009
148,0,0,0,,,,0.5891
149,0,0,0,,,,0.5879
150,0,0,0,,,,0.5859
151,0,0,0,,,,0.6058
152,0,0,0,,,,0.595
153,0,0,0,,,,0.6055
154,0,0,0,,,,0.5991
155,0,0,0,,,,0.5898
156,0,0,0,,,,0.6001
157,0,0,0,,,,0.5899
158,0,0,0,,,,0.5945
159,0,0,0,,,,0.5923
160,0,0,0,,,,0.5948
161,0,0,0,,,,0.5907
162,0,0,0,,,,0.588
163,0,0,0,,,,0.5821
164,0,0,0,,,,0.5858
165,0,0,0,,,,0.6015
166,0,0,0,,,,0.5919
167,0,0,0,,,,0.5975
168,0,0,0,,,,0.5876
169,0,0,0,,,,0.5846
170,0,0,0,,,,0.5837
171,0,0,0,,,,0.5935
172,0,0,0,,,,0.5844
173,0,0,0,,,,0.5998
174,0,0,0,,,,0.5999
175,0,0,0,,,,0.5778
176,0,0,0,,,,0.586
177,0,0,0,,,,0.5893
178,0,0,0,,,,0.5878
179,0,0,0,,,,0.5982
180,0,0,0,,,,0.5928
181,0,0,0,,,,0.5847
182,0,0,0,,,,0.5831
183,0,0,0,,,,0.5912
184,0,0,0,,,,0.5924
185,0,0,0,,,,0.5982
186,0,0,0,,,,0.5865
187,0,0,0,,,,0.5779
188,0,0,0,,,,0.5939
189,0,0,0,,,,0.5897
190,0,0,0,,,,0.5925
191,0,0,0,,,,0.5841
192,0,0,0,,,,0.5863
193,0,0,0,,,,0.5905
194,0,0,0,,,,0.5841
195,0,0,0,,,,0.5843
196,0,0,0,,,,0.5831
197,0,0,0,,,,0.5943
198,0,0,0,,,,0.5854
199,0,0,0,,,,0.5911
