round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
0,0.2058,0.3909486064945027,0.17679728478864548,0.002629107981220657,0.03559870550161812,0.009433962264150943,0.03143712574850299,0.5397163120567375,0.28007402837754475,0.5049976201808662,0.05803571428571429,0.10132689987937274,0.5921787709497207,0.267376966007103,0.07874015748031496,0.033351862145636464,0.19113357962278826,0.00718294051627385,0.6428711128495991,0.049723756906077346,0.07662045710003747,0.3909486064945027,0.17679728478864548,0.002629107981220657,0.03559870550161812,0.009433962264150943,0.03143712574850299,0.5397163120567375,0.28007402837754475,0.5049976201808662,0.05803571428571429,0.10132689987937274,0.5921787709497207,0.267376966007103,0.07874015748031496,0.033351862145636464,0.19113357962278826,0.00718294051627385,0.6428711128495991,0.049723756906077346,0.07662045710003747
1,0.2348,0.452825364356942,0.24313483492749152,0.048450704225352116,0.042071197411003236,0.016352201257861635,0.04640718562874251,0.5581560283687943,0.28809376927822333,0.5059495478343646,0.07589285714285714,0.1097708082026538,0.553072625698324,0.243531202435312,0.09448818897637795,0.03474152306837132,0.18121718841143303,0.013019079685746353,0.7570897711715235,0.06077348066298342,0.106219557886849,0.452825364356942,0.24313483492749152,0.048450704225352116,0.042071197411003236,0.016352201257861635,0.04640718562874251,0.5581560283687943,0.28809376927822333,0.5059495478343646,0.07589285714285714,0.1097708082026538,0.553072625698324,0.243531202435312,0.09448818897637795,0.03474152306837132,0.18121718841143303,0.013019079685746353,0.7570897711715235,0.06077348066298342,0.106219557886849
2,0.299,0.4786499616466377,0.29836470225239126,0.29427230046948355,0.061488673139158574,0.055345911949685536,0.13323353293413173,0.549645390070922,0.2646514497223936,0.48786292241789625,0.12053571428571429,0.1390229191797346,0.5195530726256983,0.28209030948756975,0.16535433070866143,0.033073929961089495,0.2504374878475598,0.10617283950617284,0.7547428124388813,0.18232044198895028,0.19445485200449605,0.4786499616466377,0.29836470225239126,0.29427230046948355,0.061488673139158574,0.055345911949685536,0.13323353293413173,0.549645390070922,0.2646514497223936,0.48786292241789625,0.12053571428571429,0.1390229191797346,0.5195530726256983,0.28209030948756975,0.16535433070866143,0.033073929961089495,0.2504374878475598,0.10617283950617284,0.7547428124388813,0.18232044198895028,0.19445485200449605
3,0.3479,0.4740475581692662,0.2986732489972231,0.28676056338028166,0.07119741100323625,0.18364779874213835,0.17964071856287425,0.6290780141843971,0.27760641579272055,0.5606853879105188,0.20089285714285715,0.28287092882991555,0.6256983240223464,0.4363267376966007,0.1889763779527559,0.03557531962201223,0.30740812755201247,0.2830527497194164,0.7492665753960492,0.287292817679558,0.25271637317347323,0.4740475581692662,0.2986732489972231,0.28676056338028166,0.07119741100323625,0.18364779874213835,0.17964071856287425,0.6290780141843971,0.27760641579272055,0.5606853879105188,0.20089285714285715,0.28287092882991555,0.6256983240223464,0.4363267376966007,0.1889763779527559,0.03557531962201223,0.30740812755201247,0.2830527497194164,0.7492665753960492,0.287292817679558,0.25271637317347323
4,0.3973,0.5349015597034007,0.3878432582536254,0.3507981220657277,0.08414239482200647,0.2893081761006289,0.2904191616766467,0.6085106382978723,0.2782233189389266,0.5654450261780105,0.2544642857142857,0.364897466827503,0.6312849162011173,0.4759005580923389,0.30708661417322836,0.039744302390216785,0.3342407155356796,0.3685746352413019,0.7453549775083121,0.3701657458563536,0.3081678531285125,0.5349015597034007,0.3878432582536254,0.3507981220657277,0.08414239482200647,0.2893081761006289,0.2904191616766467,0.6085106382978723,0.2782233189389266,0.5654450261780105,0.2544642857142857,0.364897466827503,0.6312849162011173,0.4759005580923389,0.30708661417322836,0.039744302390216785,0.3342407155356796,0.3685746352413019,0.7453549775083121,0.3701657458563536,0.3081678531285125
5,0.4394,0.551009971874201,0.40512187596420857,0.47380281690140846,0.11326860841423948,0.3132075471698113,0.30988023952095806,0.6602836879432624,0.2936458975940777,0.5797239409804855,0.32142857142857145,0.38027744270205066,0.6536312849162011,0.49213597158802636,0.31496062992125984,0.06670372429127293,0.45654287380906083,0.39595959595959596,0.7539604928613338,0.4419889502762431,0.3523791682278007,0.551009971874201,0.40512187596420857,0.47380281690140846,0.11326860841423948,0.3132075471698113,0.30988023952095806,0.6602836879432624,0.2936458975940777,0.5797239409804855,0.32142857142857145,0.38027744270205066,0.6536312849162011,0.49213597158802636,0.31496062992125984,0.06670372429127293,0.45654287380906083,0.39595959595959596,0.7539604928613338,0.4419889502762431,0.3523791682278007
6,0.4663,0.586295065200716,0.4464671397716754,0.5083568075117371,0.19093851132686085,0.34276729559748426,0.36826347305389223,0.6524822695035462,0.3553362122146823,0.5801999048072346,0.3482142857142857,0.4218938480096502,0.6675977653631285,0.5591070522577372,0.3464566929133858,0.13424124513618677,0.4081275520124441,0.4644219977553311,0.7703892039898298,0.4861878453038674,0.33289621581116524,0.586295065200716,0.4464671397716754,0.5083568075117371,0.19093851132686085,0.34276729559748426,0.36826347305389223,0.6524822695035462,0.3553362122146823,0.5801999048072346,0.3482142857142857,0.4218938480096502,0.6675977653631285,0.5591070522577372,0.3464566929133858,0.13424124513618677,0.4081275520124441,0.4644219977553311,0.7703892039898298,0.4861878453038674,0.33289621581116524
7,0.5001,0.6018920992073639,0.4942918852206109,0.5791549295774648,0.2686084142394822,0.35094339622641507,0.3907185628742515,0.7198581560283688,0.40653917334978407,0.5944788196097096,0.40625,0.40952955367913146,0.7011173184357542,0.5418569254185692,0.3779527559055118,0.2215119510839355,0.483375461792728,0.4264870931537598,0.7752787013495013,0.48066298342541436,0.3692394155114275,0.6018920992073639,0.4942918852206109,0.5791549295774648,0.2686084142394822,0.35094339622641507,0.3907185628742515,0.7198581560283688,0.40653917334978407,0.5944788196097096,0.40625,0.40952955367913146,0.7011173184357542,0.5418569254185692,0.3779527559055118,0.2215119510839355,0.483375461792728,0.4264870931537598,0.7752787013495013,0.48066298342541436,0.3692394155114275
8,0.5175,0.6080286371771926,0.497994446158593,0.596056338028169,0.32362459546925565,0.41446540880503147,0.405688622754491,0.6808510638297872,0.43368291178285007,0.603998096144693,0.44642857142857145,0.47889022919179736,0.6759776536312849,0.5743277524099442,0.3543307086614173,0.2367982212340189,0.4689869725840949,0.5169472502805836,0.7813416780754938,0.5027624309392266,0.3887223679280629,0.6080286371771926,0.497994446158593,0.596056338028169,0.32362459546925565,0.41446540880503147,0.405688622754491,0.6808510638297872,0.43368291178285007,0.603998096144693,0.44642857142857145,0.47889022919179736,0.6759776536312849,0.5743277524099442,0.3543307086614173,0.2367982212340189,0.4689869725840949,0.5169472502805836,0.7813416780754938,0.5027624309392266,0.3887223679280629
9,0.5398,0.6220915366913833,0.5239123727244678,0.575962441314554,0.36893203883495146,0.48742138364779874,0.45209580838323354,0.7106382978723405,0.47378161628624305,0.6287482151356497,0.5044642857142857,0.5277442702050663,0.7178770949720671,0.58701166920345,0.3858267716535433,0.29210672595886605,0.4557651176356212,0.5171717171717172,0.7965969098376687,0.5027624309392266,0.43124765829898837,0.6220915366913833,0.5239123727244678,0.575962441314554,0.36893203883495146,0.48742138364779874,0.45209580838323354,0.7106382978723405,0.47378161628624305,0.6287482151356497,0.5044642857142857,0.5277442702050663,0.7178770949720671,0.58701166920345,0.3858267716535433,0.29210672595886605,0.4557651176356212,0.5171717171717172,0.7965969098376687,0.5027624309392266,0.43124765829898837
