round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.2058
1,0,0,0,,,,0.2348
2,0,0,0,,,,0.299
3,0,0,0,,,,0.3479
4,0,0,0,,,,0.3973
5,0,0,0,,,,0.4394
6,0,0,0,,,,0.4663
7,0,0,0,,,,0.5001
8,0,0,0,,,,0.5175
9,0,0,0,,,,0.5398
10,0,0,0,,,,0.5471
11,0,0,0,,,,0.552
12,0,0,0,,,,0.5702
13,0,0,0,,,,0.5798
14,0,0,0,,,,0.5832
15,0,0,0,,,,0.5972
16,0,0,0,,,,0.6035
17,0,0,0,,,,0.6012
18,0,0,0,,,,0.62
19,0,0,0,,,,0.6255
20,0,0,0,,,,0.6311
21,0,0,0,,,,0.6409
22,0,0,0,,,,0.6413
23,0,0,0,,,,0.6418
24,0,0,0,,,,0.6476
25,0,0,0,,,,0.6541
26,0,0,0,,,,0.6528
27,0,0,0,,,,0.6601
28,0,0,0,,,,0.6604
29,0,0,0,,,,0.6698
30,0,0,0,,,,0.6675
31,0,0,0,,,,0.6628
32,0,0,0,,,,0.6639
33,0,0,0,,,,0.6724
34,0,0,0,,,,0.6718
35,0,0,0,,,,0.6723
36,0,0,0,,,,0.6771
37,0,0,0,,,,0.6744
38,0,0,0,,,,0.6792
39,0,0,0,,,,0.6817
40,0,0,0,,,,0.6763
41,0,0,0,,,,0.6805
42,0,0,0,,,,0.6852
43,0,0,0,,,,0.6824
44,0,0,0,,,,0.6855
45,0,0,0,,,,0.6871
46,0,0,0,,,,0.6902
47,0,0,0,,,,0.6859
48,0,0,0,,,,0.69
49,0,0,0,,,,0.6926
50,0,0,0,,,,0.6961
51,0,0,0,,,,0.6912
52,0,0,0,,,,0.6953
53,0,0,0,,,,0.6967
54,0,0,0,,,,0.693
55,0,0,0,,,,0.6956
56,0,0,0,,,,0.6917
57,0,0,0,,,,0.694
58,0,0,0,,,,0.6973
59,0,0,0,,,,0.6977
60,0,0,0,,,,0.6968
61,0,0,0,,,,0.6999
62,0,0,0,,,,0.6992
63,0,0,0,,,,0.703
64,0,0,0,,,,0.7007
65,0,0,0,,,,0.699
66,0,0,0,,,,0.7034
67,0,0,0,,,,0.6928
68,0,0,0,,,,0.7024
69,0,0,0,,,,0.7014
70,0,0,0,,,,0.7049
71,0,0,0,,,,0.7032
72,0,0,0,,,,0.6997
73,0,0,0,,,,0.7062
74,0,0,0,,,,0.7026
75,0,0,0,,,,0.6964
76,0,0,0,,,,0.7048
77,0,0,0,,,,0.6967
78,0,0,0,,,,0.6974
79,0,0,0,,,,0.7012
80,0,0,0,,,,0.7006
81,0,0,0,,,,0.706
82,0,0,0,,,,0.7073
83,0,0,0,,,,0.7041
84,0,0,0,,,,0.7025
85,0,0,0,,,,0.7048
86,0,0,0,,,,0.7061
87,0,0,0,,,,0.7012
88,0,0,0,,,,0.7032
89,0,0,0,,,,0.7038
90,0,0,0,,,,0.7053
91,0,0,0,,,,0.7065
92,0,0,0,,,,0.7051
93,0,0,0,,,,0.7049
94,0,0,0,,,,0.7037
95,0,0,0,,,,0.7083
96,0,0,0,,,,0.7075
97,0,0,0,,,,0.7043
98,0,0,0,,,,0.707
99,0,0,0,,,,0.7061
100,3,2,3,7;12;13,12;13,7;12;13,0.6173
101,2,1,2,12;13,13,12;13,0.6279
102,1,1,1,13,13,13,0.6108
103,1,1,1,13,13,13,0.6017
104,1,0,1,13,,13,0.5922
105,0,0,0,,,,0.5882
106,0,0,0,,,,0.594
107,0,0,0,,,,0.5906
108,0,0,0,,,,0.5834
109,0,0,0,,,,0.5873
110,0,0,0,,,,0.5776
111,0,0,0,,,,0.5892
112,0,0,0,,,,0.587
113,0,0,0,,,,0.5873
114,0,0,0,,,,0.6014
115,0,0,0,,,,0.5959
116,0,0,0,,,,0.5853
117,0,0,0,,,,0.5907
118,0,0,0,,,,0.593
119,0,0,0,,,,0.5866
120,0,0,0,,,,0.5889
121,0,0,0,,,,0.5889
122,0,0,0,,,,0.5887
123,0,0,0,,,,0.5881
124,0,0,0,,,,0.6033
125,0,0,0,,,,0.5904
126,0,0,0,,,,0.5956
127,0,0,0,,,,0.5906
128,0,0,0,,,,0.5911
129,0,0,0,,,,0.5928
130,0,0,0,,,,0.5957
131,0,0,0,,,,0.5991
132,0,0,0,,,,0.5954
133,0,0,0,,,,0.5923
134,0,0,0,,,,0.6026
135,0,0,0,,,,0.5923
136,0,0,0,,,,0.6033
137,0,0,0,,,,0.5845
138,0,0,0,,,,0.5963
139,0,0,0,,,,0.6045
140,0,0,0,,,,0.5928
141,0,0,0,,,,0.5933
142,0,0,0,,,,0.5973
143,0,0,0,,,,0.5976
144,0,0,0,,,,0.6026
145,0,0,0,,,,0.5874
146,0,0,0,,,,0.596
147,0,0,0,,,,0.5965
148,0,0,0,,,,0.5995
149,0,0,0,,,,0.5996
150,0,0,0,,,,0.5839
151,0,0,0,,,,0.611
152,0,0,0,,,,0.5813
153,0,0,0,,,,0.595
154,0,0,0,,,,0.5992
155,0,0,0,,,,0.5884
156,0,0,0,,,,0.6116
157,0,0,0,,,,0.5873
158,0,0,0,,,,0.6047
159,0,0,0,,,,0.6065
160,0,0,0,,,,0.5901
161,0,0,0,,,,0.5906
162,0,0,0,,,,0.6051
163,0,0,0,,,,0.5862
164,0,0,0,,,,0.6034
165,0,0,0,,,,0.5934
166,0,0,0,,,,0.6062
167,0,0,0,,,,0.5976
168,0,0,0,,,,0.5959
169,0,0,0,,,,0.5927
170,0,0,0,,,,0.5998
171,0,0,0,,,,0.5966
172,0,0,0,,,,0.5957
173,0,0,0,,,,0.5974
174,0,0,0,,,,0.596
175,0,0,0,,,,0.5947
176,0,0,0,,,,0.5946
177,0,0,0,,,,0.5901
178,0,0,0,,,,0.5929
179,0,0,0,,,,0.6066
180,0,0,0,,,,0.5918
181,0,0,0,,,,0.5846
182,0,0,0,,,,0.5961
183,0,0,0,,,,0.6085
184,0,0,0,,,,0.5927
185,0,0,0,,,,0.5934
186,0,0,0,,,,0.6009
187,0,0,0,,,,0.5835
188,0,0,0,,,,0.5983
189,0,0,0,,,,0.5968
190,0,0,0,,,,0.5976
191,0,0,0,,,,0.5932
192,0,0,0,,,,0.6015
193,0,0,0,,,,0.5988
194,0,0,0,,,,0.5844
195,0,0,0,,,,0.6012
196,0,0,0,,,,0.5906
197,0,0,0,,,,0.5964
198,0,0,0,,,,0.5961
199,0,0,0,,,,0.6048
