round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
0,0.2088,0.4004091025313219,0.18481950015427337,0.002629107981220657,0.03559870550161812,0.010691823899371069,0.0344311377245509,0.5290780141843971,0.28007402837754475,0.5011899095668729,0.05803571428571429,0.10132689987937274,0.5586592178770949,0.2552004058853374,0.09448818897637795,0.033351862145636464,0.18141162745479292,0.007631874298540965,0.663407001760219,0.049723756906077346,0.08167853128512552,0.4004091025313219,0.18481950015427337,0.002629107981220657,0.03559870550161812,0.010691823899371069,0.0344311377245509,0.5290780141843971,0.28007402837754475,0.5011899095668729,0.05803571428571429,0.10132689987937274,0.5586592178770949,0.2552004058853374,0.09448818897637795,0.033351862145636464,0.18141162745479292,0.007631874298540965,0.663407001760219,0.049723756906077346,0.08167853128512552
1,0.2344,0.4561493224239325,0.2523912372724468,0.05051643192488263,0.042071197411003236,0.01761006289308176,0.04940119760479042,0.5439716312056737,0.2887106724244294,0.5016658733936221,0.07589285714285714,0.109167671893848,0.5418994413407822,0.23186199898528664,0.09448818897637795,0.03418565869927738,0.17130079720007776,0.012570145903479237,0.760610209270487,0.06629834254143646,0.10584488572499064,0.4561493224239325,0.2523912372724468,0.05051643192488263,0.042071197411003236,0.01761006289308176,0.04940119760479042,0.5439716312056737,0.2887106724244294,0.5016658733936221,0.07589285714285714,0.109167671893848,0.5418994413407822,0.23186199898528664,0.09448818897637795,0.03418565869927738,0.17130079720007776,0.012570145903479237,0.760610209270487,0.06629834254143646,0.10584488572499064
2,0.2961,0.48018409613909485,0.2952792348040728,0.29258215962441314,0.05825242718446602,0.0509433962264151,0.12724550898203593,0.5517730496453901,0.2677359654534238,0.49119466920514043,0.12053571428571429,0.13419782870928829,0.5251396648044693,0.28361237950279045,0.16535433070866143,0.033073929961089495,0.2418821699397239,0.10594837261503928,0.7563074515939762,0.16574585635359115,0.18977144998126638,0.48018409613909485,0.2952792348040728,0.29258215962441314,0.05825242718446602,0.0509433962264151,0.12724550898203593,0.5517730496453901,0.2677359654534238,0.49119466920514043,0.12053571428571429,0.13419782870928829,0.5251396648044693,0.28361237950279045,0.16535433070866143,0.033073929961089495,0.2418821699397239,0.10594837261503928,0.7563074515939762,0.16574585635359115,0.18977144998126638
3,0.346,0.4840194323702378,0.30731255785251466,0.2892018779342723,0.07119741100323625,0.20062893081761007,0.18413173652694612,0.6085106382978723,0.27390499691548426,0.5530699666825322,0.20089285714285715,0.2922195416164053,0.6089385474860335,0.4150177574835109,0.1968503937007874,0.03557531962201223,0.277075636787867,0.26509539842873175,0.7494621552904361,0.287292817679558,0.2559010865492694,0.4840194323702378,0.30731255785251466,0.2892018779342723,0.07119741100323625,0.20062893081761007,0.18413173652694612,0.6085106382978723,0.27390499691548426,0.5530699666825322,0.20089285714285715,0.2922195416164053,0.6089385474860335,0.4150177574835109,0.1968503937007874,0.03557531962201223,0.277075636787867,0.26509539842873175,0.7494621552904361,0.287292817679558,0.2559010865492694
4,0.3947,0.5205829711071337,0.36223387843258253,0.3515492957746479,0.08414239482200647,0.2622641509433962,0.27245508982035926,0.6219858156028368,0.28439235040098704,0.5773441218467397,0.24107142857142858,0.35012062726176113,0.6312849162011173,0.4885844748858447,0.2992125984251969,0.038910505836575876,0.3389072525763173,0.372615039281706,0.7473107764521807,0.3812154696132597,0.3115399025852379,0.5205829711071337,0.36223387843258253,0.3515492957746479,0.08414239482200647,0.2622641509433962,0.27245508982035926,0.6219858156028368,0.28439235040098704,0.5773441218467397,0.24107142857142858,0.35012062726176113,0.6312849162011173,0.4885844748858447,0.2992125984251969,0.038910505836575876,0.3389072525763173,0.372615039281706,0.7473107764521807,0.3812154696132597,0.3115399025852379
5,0.442,0.5579135770902582,0.40882443690219067,0.46741784037558687,0.11650485436893204,0.3220125786163522,0.3203592814371258,0.6425531914893617,0.2917951881554596,0.5735364112327463,0.33482142857142855,0.38630880579010857,0.6340782122905028,0.502283105022831,0.31496062992125984,0.06281267370761534,0.43962667703674896,0.4166105499438833,0.7518091140230784,0.4530386740331492,0.347695766204571,0.5579135770902582,0.40882443690219067,0.46741784037558687,0.11650485436893204,0.3220125786163522,0.3203592814371258,0.6425531914893617,0.2917951881554596,0.5735364112327463,0.33482142857142855,0.38630880579010857,0.6340782122905028,0.502283105022831,0.31496062992125984,0.06281267370761534,0.43962667703674896,0.4166105499438833,0.7518091140230784,0.4530386740331492,0.347695766204571
6,0.4607,0.582459728969573,0.437519284171552,0.49220657276995305,0.19741100323624594,0.3339622641509434,0.344311377245509,0.648936170212766,0.3658235657001851,0.5859114707282247,0.33035714285714285,0.40802171290711703,0.6536312849162011,0.5530187721968544,0.36220472440944884,0.15119510839355196,0.39218355045693176,0.4511784511784512,0.7768433405045961,0.49171270718232046,0.3390783064818284,0.582459728969573,0.437519284171552,0.49220657276995305,0.19741100323624594,0.3339622641509434,0.344311377245509,0.648936170212766,0.3658235657001851,0.5859114707282247,0.33035714285714285,0.40802171290711703,0.6536312849162011,0.5530187721968544,0.36220472440944884,0.15119510839355196,0.39218355045693176,0.4511784511784512,0.7768433405045961,0.49171270718232046,0.3390783064818284
7,0.5039,0.5898747123497826,0.47392780006170937,0.5778403755868544,0.2621359223300971,0.38742138364779877,0.38622754491017963,0.7177304964539007,0.39481801357186924,0.6006663493574488,0.42857142857142855,0.4445114595898673,0.6899441340782123,0.5712836123795028,0.3464566929133858,0.2140077821011673,0.49173634065720395,0.4567901234567901,0.7676510854684139,0.5027624309392266,0.3808542525290371,0.5898747123497826,0.47392780006170937,0.5778403755868544,0.2621359223300971,0.38742138364779877,0.38622754491017963,0.7177304964539007,0.39481801357186924,0.6006663493574488,0.42857142857142855,0.4445114595898673,0.6899441340782123,0.5712836123795028,0.3464566929133858,0.2140077821011673,0.49173634065720395,0.4567901234567901,0.7676510854684139,0.5027624309392266,0.3808542525290371
8,0.5171,0.6093070825875735,0.4964517124344338,0.5898591549295774,0.32038834951456313,0.4270440251572327,0.3997005988023952,0.6787234042553192,0.41949413942011105,0.6016182770109472,0.4642857142857143,0.48160434258142343,0.6508379888268156,0.5621511922881786,0.3464566929133858,0.22762645914396887,0.46257048415321794,0.4951739618406285,0.7819284177586544,0.5248618784530387,0.3992131884600974,0.6093070825875735,0.4964517124344338,0.5898591549295774,0.32038834951456313,0.4270440251572327,0.3997005988023952,0.6787234042553192,0.41949413942011105,0.6016182770109472,0.4642857142857143,0.48160434258142343,0.6508379888268156,0.5621511922881786,0.3464566929133858,0.22762645914396887,0.46257048415321794,0.4951739618406285,0.7819284177586544,0.5248618784530387,0.3992131884600974
9,0.5385,0.6254154947583738,0.5192841715519901,0.5699530516431925,0.36893203883495146,0.48050314465408805,0.44610778443113774,0.6914893617021277,0.4719309068476249,0.6254164683484055,0.5044642857142857,0.5313630880579011,0.6955307262569832,0.5971588026382547,0.3779527559055118,0.2934963868816009,0.4431265798172273,0.54006734006734,0.7932720516330921,0.5193370165745856,0.43424503559385536,0.6254154947583738,0.5192841715519901,0.5699530516431925,0.36893203883495146,0.48050314465408805,0.44610778443113774,0.6914893617021277,0.4719309068476249,0.6254164683484055,0.5044642857142857,0.5313630880579011,0.6955307262569832,0.5971588026382547,0.3779527559055118,0.2934963868816009,0.4431265798172273,0.54006734006734,0.7932720516330921,0.5193370165745856,0.43424503559385536
