round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.2088
1,0,0,0,,,,0.2344
2,0,0,0,,,,0.2961
3,0,0,0,,,,0.346
4,0,0,0,,,,0.3947
5,0,0,0,,,,0.442
6,0,0,0,,,,0.4607
7,0,0,0,,,,0.5039
8,0,0,0,,,,0.5171
9,0,0,0,,,,0.5385
10,0,0,0,,,,0.5452
11,0,0,0,,,,0.5511
12,0,0,0,,,,0.5647
13,0,0,0,,,,0.5835
14,0,0,0,,,,0.58
15,0,0,0,,,,0.5975
16,0,0,0,,,,0.6057
17,0,0,0,,,,0.6053
18,0,0,0,,,,0.6174
19,0,0,0,,,,0.6258
20,0,0,0,,,,0.6309
21,0,0,0,,,,0.6403
22,0,0,0,,,,0.6421
23,0,0,0,,,,0.6437
24,0,0,0,,,,0.6478
25,0,0,0,,,,0.6509
26,0,0,0,,,,0.6552
27,0,0,0,,,,0.6586
28,0,0,0,,,,0.6579
29,0,0,0,,,,0.6645
30,0,0,0,,,,0.6702
31,0,0,0,,,,0.6686
32,0,0,0,,,,0.6682
33,0,0,0,,,,0.6738
34,0,0,0,,,,0.6751
35,0,0,0,,,,0.6742
36,0,0,0,,,,0.6811
37,0,0,0,,,,0.6797
38,0,0,0,,,,0.685
39,0,0,0,,,,0.6826
40,0,0,0,,,,0.6856
41,0,0,0,,,,0.6857
42,0,0,0,,,,0.6886
43,0,0,0,,,,0.6908
44,0,0,0,,,,0.6902
45,0,0,0,,,,0.6889
46,0,0,0,,,,0.6939
47,0,0,0,,,,0.6891
48,0,0,0,,,,0.6925
49,0,0,0,,,,0.6967
50,0,0,0,,,,0.6943
51,0,0,0,,,,0.6956
52,0,0,0,,,,0.697
53,0,0,0,,,,0.6956
54,0,0,0,,,,0.6958
55,0,0,0,,,,0.6983
56,0,0,0,,,,0.702
57,0,0,0,,,,0.698
58,0,0,0,,,,0.7017
59,0,0,0,,,,0.7011
60,0,0,0,,,,0.7031
61,0,0,0,,,,0.7026
62,0,0,0,,,,0.7021
63,0,0,0,,,,0.7042
64,0,0,0,,,,0.698
65,0,0,0,,,,0.7034
66,0,0,0,,,,0.706
67,0,0,0,,,,0.7037
68,0,0,0,,,,0.7064
69,0,0,0,,,,0.7037
70,0,0,0,,,,0.7076
71,0,0,0,,,,0.7029
72,0,0,0,,,,0.706
73,0,0,0,,,,0.7096
74,0,0,0,,,,0.708
75,0,0,0,,,,0.7056
76,0,0,0,,,,0.7065
77,0,0,0,,,,0.7061
78,0,0,0,,,,0.7047
79,0,0,0,,,,0.7084
80,0,0,0,,,,0.7065
81,0,0,0,,,,0.7023
82,0,0,0,,,,0.7055
83,0,0,0,,,,0.7069
84,0,0,0,,,,0.705
85,0,0,0,,,,0.7075
86,0,0,0,,,,0.7041
87,0,0,0,,,,0.7059
88,0,0,0,,,,0.7055
89,0,0,0,,,,0.7038
90,0,0,0,,,,0.7065
91,0,0,0,,,,0.7109
92,0,0,0,,,,0.7055
93,0,0,0,,,,0.7058
94,0,0,0,,,,0.7082
95,0,0,0,,,,0.7079
96,0,0,0,,,,0.708
97,0,0,0,,,,0.7087
98,0,0,0,,,,0.7104
99,0,0,0,,,,0.7095
100,10,8,10,5;7;8;9;10;11;12;13;15;17,5;7;8;9;11;12;13;15,5;7;8;9;10;11;12;13;15;17,0.6641
