algorithm,client_num,sample_ratio,seed,device,dataset,partition,alpha,drift_pattern,model,rounds,epochs,momentum,weight_decay,batch_size,lr,client_id,local_accuracy,global_accuracy
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,0,0.5926493108728943,0.5225
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,1,0.6704918032786885,0.5225
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,2,0.5142857142857142,0.5225
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,3,0.5348837209302325,0.5348
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,4,0.6134751773049646,0.5348
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,5,0.5587301587301587,0.5348
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,6,0.6720430107526881,0.7054
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,7,0.6,0.7054
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,8,0.7458646616541353,0.7054
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,9,0.7944055944055944,0.7054
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,10,0.6570327552986512,0.5225
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,11,0.4574468085106383,0.5225
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,12,0.3631713554987212,0.5225
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,13,0.5108695652173914,0.5348
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,14,0.42892156862745096,0.5348
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,15,0.43596059113300495,0.5348
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,16,0.7063197026022305,0.7054
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,17,0.664624808575804,0.7054
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,18,0.7359307359307359,0.7054
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,19,0.6150121065375302,0.7054
