algorithm,client_num,sample_ratio,seed,device,dataset,partition,alpha,drift_pattern,model,rounds,epochs,momentum,weight_decay,batch_size,lr,client_id,local_accuracy,global_accuracy
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,0,0.8437978560490046,0.6177
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,1,0.839344262295082,0.6174
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,2,0.7174603174603175,0.6385
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,3,0.8338870431893688,0.6605
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,4,0.7978723404255319,0.6903
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,5,0.819047619047619,0.6315
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,6,0.8315412186379928,0.5927
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,7,0.7157894736842105,0.598
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,8,0.8165413533834587,0.6411
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,9,0.8937062937062937,0.6001
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,10,0.8651252408477842,0.6457
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,11,0.7925531914893617,0.6868
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,12,0.8491048593350383,0.6746
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,13,0.7663043478260869,0.6629
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,14,0.7794117647058824,0.5835
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,15,0.7783251231527094,0.6136
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,16,0.8983890954151177,0.6086
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,17,0.7901990811638591,0.6721
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,18,0.8181818181818182,0.6859
FedAvg,20,1.0,0,cuda,CIFAR10,hetero,0.5,sudden,CNN,200,5,0.9,1e-05,64,0.01,19,0.8038740920096852,0.6228
