round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2159,0.2159,0.22621457489878544,0.08529048207663782,0.04338028169014085,0.03559870550161812,0.07191780821917808,0.03551401869158879,0.568698347107438,0.19786995515695066,0.26551373346897256,0.11570247933884298,0.2379979570990807,0.7409470752089137,0.3988035892323031,0.07608695652173914,0.0313648615535408,0.3933579335793358,0.05994611585092052,0.44709563856835516,0.1286549707602339,0.0572262118491921
1,0.2664,0.2664,0.3256578947368421,0.11526576019777503,0.013521126760563381,0.03559870550161812,0.18835616438356165,0.04672897196261682,0.6663223140495868,0.29091928251121074,0.4865208545269583,0.12396694214876033,0.33605720122574056,0.8328690807799443,0.4002991026919242,0.16304347826086957,0.07302131830433717,0.36,0.022002694207453974,0.5951496186192059,0.10526315789473684,0.12028725314183124
2,0.3456,0.3456,0.3555161943319838,0.15914709517923362,0.06835680751173709,0.05177993527508091,0.2945205479452055,0.07850467289719626,0.7582644628099173,0.31390134529147984,0.6487792472024415,0.2396694214876033,0.32073544433094997,0.8272980501392758,0.40727816550348955,0.27717391304347827,0.11002205341827984,0.5037638376383764,0.049842837898518184,0.6458048112654019,0.18128654970760233,0.32809694793536803
3,0.4035,0.4035,0.3674089068825911,0.1838689740420272,0.24018779342723004,0.07119741100323625,0.3253424657534247,0.10841121495327102,0.7618801652892562,0.3195067264573991,0.6907426246185148,0.2892561983471074,0.3237997957099081,0.8189415041782729,0.4057826520438684,0.2826086956521739,0.1105121293800539,0.5628044280442804,0.08509205208801078,0.688050068452963,0.23391812865497075,0.5311938958707361
4,0.433,0.433,0.3868927125506073,0.2042645241038319,0.3235680751173709,0.10355987055016182,0.3561643835616438,0.12710280373831775,0.7846074380165289,0.34417040358744394,0.7151576805696847,0.3305785123966942,0.3442288049029622,0.8161559888579387,0.4172482552342971,0.33695652173913043,0.13844645920117618,0.6033948339483395,0.10844185002245173,0.7123019753569333,0.23976608187134502,0.5495960502692998
5,0.4577,0.4577,0.4172570850202429,0.23516687268232386,0.3297652582159624,0.11650485436893204,0.3424657534246575,0.14766355140186915,0.78150826446281,0.34080717488789236,0.7301627670396744,0.371900826446281,0.3748723186925434,0.8328690807799443,0.4436689930209372,0.33152173913043476,0.13232050967900025,0.5924723247232472,0.1450381679389313,0.7545472325444944,0.26900584795321636,0.6754937163375224
6,0.4904,0.4904,0.4230769230769231,0.24876390605686033,0.41577464788732393,0.14563106796116504,0.4075342465753425,0.18878504672897195,0.7995867768595041,0.3508968609865471,0.763733468972533,0.4132231404958678,0.4024514811031665,0.8050139275766016,0.48554336989032904,0.40217391304347827,0.16049987748100955,0.625239852398524,0.21171980242478672,0.7529825933893995,0.34502923976608185,0.6862657091561939
7,0.5154,0.5154,0.4347165991902834,0.26668726823238564,0.4792488262910798,0.1779935275080906,0.4383561643835616,0.21869158878504674,0.7995867768595041,0.37612107623318386,0.7711088504577823,0.4297520661157025,0.41062308478038817,0.8133704735376045,0.4965104685942173,0.41304347826086957,0.18745405537858367,0.6433948339483395,0.24854063762909745,0.7566986113827499,0.36257309941520466,0.7257630161579892
8,0.5434,0.5434,0.444331983805668,0.2926452410383189,0.5355868544600939,0.22653721682847897,0.4554794520547945,0.2485981308411215,0.8104338842975206,0.4164798206278027,0.7756866734486266,0.4462809917355372,0.42288049029622066,0.807799442896936,0.5294117647058824,0.42934782608695654,0.23964714530752268,0.658450184501845,0.305792546026044,0.7602190494817133,0.38596491228070173,0.71745960502693
9,0.5417,0.5417,0.4567307692307692,0.2994437577255871,0.48187793427230047,0.22653721682847897,0.4383561643835616,0.2485981308411215,0.8197314049586777,0.42713004484304934,0.7807731434384537,0.45454545454545453,0.4463738508682329,0.8105849582172702,0.536889332003988,0.44021739130434784,0.24601813281058565,0.6588929889298893,0.3055680287382128,0.7731273225112458,0.42105263157894735,0.7670556552962298
10,0.5734,0.5734,0.4683704453441296,0.33559950556242274,0.5579342723004694,0.22653721682847897,0.4657534246575342,0.2897196261682243,0.8052685950413223,0.4327354260089686,0.7886571719226857,0.47107438016528924,0.5137895812053116,0.7855153203342619,0.5967098703888335,0.483695652173913,0.26562117128154866,0.6853136531365314,0.4108666367310283,0.7662820262077058,0.5029239766081871,0.7587522441651705
11,0.5799,0.5799,0.4810222672064777,0.3263288009888752,0.5434741784037559,0.2524271844660194,0.4520547945205479,0.27102803738317754,0.8125,0.460762331838565,0.8095116988809766,0.512396694214876,0.501532175689479,0.8050139275766016,0.5857427716849452,0.5,0.28938985542759127,0.6577121771217712,0.3877413560844185,0.785253275963231,0.47368421052631576,0.7991472172351886
12,0.5975,0.5975,0.4891194331983806,0.3430160692212608,0.595868544600939,0.3074433656957929,0.4691780821917808,0.30280373831775703,0.8217975206611571,0.48374439461883406,0.801881993896236,0.5289256198347108,0.515832482124617,0.8105849582172702,0.6181455633100698,0.5054347826086957,0.3300661602548395,0.6857564575645756,0.4277054333183655,0.7834930569137493,0.47953216374269003,0.7933123877917415
13,0.5925,0.5925,0.4876012145748988,0.34239802224969096,0.5830985915492958,0.2621359223300971,0.476027397260274,0.29345794392523367,0.8254132231404959,0.44730941704035876,0.7983214649033571,0.5289256198347108,0.5209397344228804,0.8161559888579387,0.6201395812562313,0.4945652173913043,0.2879196275422691,0.7006642066420664,0.42456219128872924,0.7823195775474281,0.4853801169590643,0.8094703770197487
14,0.6161,0.6161,0.49544534412955465,0.35599505562422745,0.6349295774647887,0.3365695792880259,0.4828767123287671,0.31962616822429907,0.8264462809917356,0.4960762331838565,0.7985757884028484,0.5206611570247934,0.5413687436159347,0.7855153203342619,0.6520438683948155,0.5217391304347826,0.34893408478314136,0.7192619926199262,0.48697799730579255,0.7764521807158224,0.5380116959064327,0.776705565529623
15,0.6208,0.6208,0.5237854251012146,0.3974042027194067,0.6073239436619718,0.3268608414239482,0.5205479452054794,0.34953271028037386,0.827995867768595,0.4943946188340807,0.8084944048830112,0.512396694214876,0.5730337078651685,0.7799442896935933,0.654037886340977,0.5434782608695652,0.34893408478314136,0.7036162361623616,0.4964077233947014,0.7911206727948367,0.5380116959064327,0.7964542190305206
16,0.6256,0.6256,0.5215080971659919,0.380716934487021,0.6371830985915493,0.313915857605178,0.5,0.34766355140186916,0.8476239669421488,0.47701793721973096,0.8110376398779248,0.5206611570247934,0.5638406537282942,0.7966573816155988,0.6684945164506481,0.5434782608695652,0.3330066160254839,0.7254612546125462,0.5103277952402335,0.7905339331116761,0.5497076023391813,0.8101436265709157
17,0.6361,0.6361,0.534665991902834,0.40667490729295425,0.6533333333333333,0.3559870550161812,0.5273972602739726,0.37570093457943926,0.8254132231404959,0.4943946188340807,0.8219735503560529,0.5371900826446281,0.5801838610827375,0.7799442896935933,0.6640079760717846,0.5434782608695652,0.3508943886302377,0.7241328413284133,0.5368208352043108,0.7915118325836104,0.5614035087719298,0.8018402154398564
18,0.6382,0.6382,0.5184716599190283,0.3912237330037083,0.6783098591549296,0.3333333333333333,0.5171232876712328,0.3532710280373832,0.8300619834710744,0.4758968609865471,0.8143438453713123,0.5454545454545454,0.5597548518896833,0.7855153203342619,0.672482552342971,0.5489130434782609,0.3359470717961284,0.7533579335793358,0.5408621463852716,0.7926853119499315,0.5847953216374269,0.8166517055655296
19,0.6495,0.6495,0.5344129554655871,0.4221260815822003,0.6816901408450704,0.36893203883495146,0.5273972602739726,0.3775700934579439,0.8352272727272727,0.4904708520179372,0.8051881993896236,0.5289256198347108,0.5893769152196119,0.7883008356545961,0.7073778664007976,0.5815217391304348,0.3629012496937025,0.7571955719557195,0.5889088459811406,0.7917074124779973,0.6081871345029239,0.815754039497307
20,0.6491,0.6491,0.5268218623481782,0.3958590852904821,0.6676056338028169,0.39805825242718446,0.5171232876712328,0.35887850467289717,0.8491735537190083,0.5325112107623319,0.8257884028484231,0.5619834710743802,0.5893769152196119,0.807799442896936,0.6969092721834497,0.5489130434782609,0.4033325165400637,0.7555719557195572,0.5559048046699596,0.7993350283590847,0.5847953216374269,0.8090215439856373
21,0.652,0.652,0.5490890688259109,0.4221260815822003,0.6484507042253521,0.37540453074433655,0.541095890410959,0.37383177570093457,0.8455578512396694,0.5106502242152466,0.8229908443540183,0.5454545454545454,0.599591419816139,0.7966573816155988,0.7128614157527418,0.5706521739130435,0.3798088703749081,0.7524723247232472,0.5713964975303099,0.8177195384314493,0.5847953216374269,0.7971274685816876
22,0.6623,0.6623,0.5321356275303644,0.41749072929542647,0.7143661971830986,0.42071197411003236,0.547945205479452,0.3850467289719626,0.8460743801652892,0.5426008968609866,0.8212105798575788,0.6115702479338843,0.5914198161389173,0.7938718662952646,0.7183449651046859,0.6086956521739131,0.4202401372212693,0.7716605166051661,0.5958688819039066,0.7877958145902602,0.6198830409356725,0.8117145421903053
