round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2159,0.16225,0.22621457489878544,0.08529048207663782,0.04338028169014085,0.03559870550161812,0.07191780821917808,0.03551401869158879,0.568698347107438,0.19786995515695066,0.26551373346897256,0.11570247933884298,0.2379979570990807,0.7409470752089137,0.3988035892323031,0.07608695652173914,0.0313648615535408,0.3933579335793358,0.05994611585092052,0.44709563856835516,0.1286549707602339,0.0572262118491921
1,0.2729,0.1946,0.319331983805668,0.10414091470951792,0.019342723004694834,0.032362459546925564,0.17123287671232876,0.05794392523364486,0.640495867768595,0.27914798206278024,0.4788911495422177,0.1322314049586777,0.338100102145046,0.8245125348189415,0.39082751744765704,0.19021739130434784,0.06836559666748346,0.3625092250922509,0.028064660978895376,0.5765695286524545,0.10526315789473684,0.20152603231597846
2,0.3323,0.22574999999999998,0.34691295546558704,0.12546353522867737,0.03305164319248826,0.045307443365695796,0.2979452054794521,0.06728971962616823,0.7277892561983471,0.32567264573991034,0.6645473041709054,0.2066115702479339,0.3432073544433095,0.8272980501392758,0.3893320039880359,0.266304347826087,0.10879686351384464,0.4714391143911439,0.03839245621912887,0.6235087033053002,0.15789473684210525,0.34470377019748655
3,0.401,0.250055,0.368168016194332,0.18974042027194066,0.24732394366197183,0.061488673139158574,0.3458904109589041,0.11214953271028037,0.7722107438016529,0.3172645739910314,0.6856561546286877,0.2975206611570248,0.31562819203268644,0.8105849582172702,0.4097706879361914,0.2826086956521739,0.11271747120803724,0.6135793357933579,0.09968567579703637,0.6753373753178173,0.23976608187134502,0.460951526032316
4,0.4352,0.268405,0.38638663967611336,0.21322620519159455,0.3012206572769953,0.10355987055016182,0.363013698630137,0.14205607476635515,0.7877066115702479,0.3239910313901345,0.714649033570702,0.34710743801652894,0.34831460674157305,0.8189415041782729,0.43519441674975073,0.31521739130434784,0.12472433227150208,0.5923247232472325,0.11742254153569825,0.7130842949344808,0.2631578947368421,0.6088420107719928
5,0.4627,0.285425,0.4051113360323887,0.22836835599505562,0.3667605633802817,0.11650485436893204,0.3595890410958904,0.15700934579439252,0.7789256198347108,0.3295964125560538,0.731943031536114,0.3884297520661157,0.3891726251276813,0.8161559888579387,0.46809571286141577,0.33152173913043476,0.12643959813771136,0.5979335793357934,0.1771441400987876,0.7420301193037355,0.30409356725146197,0.6775134649910234
6,0.5014,0.30339,0.4223178137651822,0.25123609394313967,0.4482629107981221,0.1779935275080906,0.3767123287671233,0.19065420560747665,0.7799586776859504,0.3755605381165919,0.7566124109867752,0.4462809917355372,0.3922369765066394,0.8105849582172702,0.48454636091724823,0.3641304347826087,0.19308992893898555,0.6180073800738007,0.2269869779973058,0.757872090749071,0.34502923976608185,0.7430430879712747
7,0.5301,0.318135,0.4402834008097166,0.29326328800988877,0.5059154929577465,0.19093851132686085,0.4246575342465753,0.2542056074766355,0.7990702479338843,0.38845291479820626,0.7591556459816887,0.45454545454545453,0.4065372829417773,0.7966573816155988,0.5189431704885344,0.40217391304347827,0.21612349914236706,0.6609594095940959,0.28670857656039517,0.7396831605710933,0.38596491228070173,0.7425942549371634
8,0.5354,0.32911,0.4640688259109312,0.2938813349814586,0.456150234741784,0.21035598705501618,0.4212328767123288,0.23551401869158878,0.7954545454545454,0.40975336322869954,0.7706002034587996,0.4462809917355372,0.4586312563840654,0.7966573816155988,0.5403788634097707,0.41847826086956524,0.23033570203381523,0.6544649446494465,0.33722496632240684,0.775669861138275,0.39766081871345027,0.7324955116696589
9,0.5576,0.338055,0.4526821862348178,0.30067985166872685,0.5583098591549296,0.23948220064724918,0.4178082191780822,0.27102803738317754,0.8073347107438017,0.4198430493273543,0.7800101729399797,0.45454545454545453,0.449438202247191,0.8050139275766016,0.561814556331007,0.45652173913043476,0.25312423425630975,0.687380073800738,0.3668612483161203,0.748288675924115,0.4444444444444444,0.7607719928186715
10,0.5718,0.345005,0.4665991902834008,0.30562422744128553,0.548169014084507,0.2686084142394822,0.4212328767123288,0.2672897196261682,0.7995867768595041,0.46356502242152464,0.7820447609359105,0.4793388429752066,0.501532175689479,0.8161559888579387,0.6016949152542372,0.46195652173913043,0.2950257289879931,0.6665682656826568,0.4106421194431971,0.779777038920399,0.47953216374269003,0.7744614003590664
11,0.5792,0.34935499999999997,0.48431174089068824,0.33559950556242274,0.5641314553990611,0.255663430420712,0.4623287671232877,0.31401869158878504,0.818698347107438,0.4400224215246637,0.7881485249237029,0.5041322314049587,0.4974463738508682,0.8161559888579387,0.6046859421734796,0.47282608695652173,0.2830188679245283,0.7036162361623616,0.4137853614728334,0.7588499902210053,0.45614035087719296,0.7657091561938959
12,0.5943,0.36587000000000003,0.4956983805668016,0.3442521631644005,0.603943661971831,0.2912621359223301,0.476027397260274,0.32149532710280376,0.8295454545454546,0.47197309417040356,0.8003560528992879,0.5206611570247934,0.5240040858018387,0.8161559888579387,0.6281156530408774,0.5163043478260869,0.3222249448664543,0.6985977859778598,0.44364616075437807,0.7731273225112458,0.49707602339181284,0.7692998204667864
13,0.6001,0.37056,0.5116396761133604,0.3689740420271941,0.5806572769953051,0.2459546925566343,0.4828767123287671,0.33084112149532713,0.809400826446281,0.44170403587443946,0.7929806714140386,0.5041322314049587,0.5515832482124617,0.7799442896935933,0.6450648055832503,0.5,0.27787307032590053,0.7115867158671587,0.5011225864391559,0.779777038920399,0.5672514619883041,0.803411131059246
14,0.6043,0.375315,0.48582995951417,0.34023485784919655,0.6056338028169014,0.28802588996763756,0.4726027397260274,0.30467289719626167,0.8264462809917356,0.45347533632286996,0.7912004069175992,0.5041322314049587,0.5403472931562819,0.8133704735376045,0.660518444666002,0.483695652173913,0.3031119823572654,0.7259040590405904,0.49550965424337673,0.7764521807158224,0.5847953216374269,0.8175493716337523
15,0.6168,0.38925,0.5187246963562753,0.3834981458590853,0.6153990610328639,0.3074433656957929,0.4828767123287671,0.3383177570093458,0.8207644628099173,0.47141255605381166,0.7993387589013224,0.49586776859504134,0.5444330949948928,0.8189415041782729,0.6650049850448654,0.5271739130434783,0.3168341092869395,0.7142435424354243,0.5020206555904805,0.7842753764912967,0.5730994152046783,0.8146319569120287
16,0.6211,0.390155,0.5245445344129555,0.388442521631644,0.6150234741784038,0.32038834951456313,0.4897260273972603,0.3401869158878505,0.8207644628099173,0.4904708520179372,0.8039165818921669,0.5041322314049587,0.5720122574055159,0.807799442896936,0.6774675972083749,0.5054347826086957,0.3393776035285469,0.712029520295203,0.5287382128423889,0.7936632114218658,0.5847953216374269,0.8148563734290843
17,0.6279,0.400305,0.5098684210526315,0.3841161928306551,0.6165258215962441,0.3818770226537217,0.4931506849315068,0.32149532710280376,0.8331611570247934,0.5028026905829597,0.7990844354018312,0.5041322314049587,0.5515832482124617,0.8189415041782729,0.6799601196410767,0.5489130434782609,0.3839745160499877,0.7666420664206642,0.5401885945217781,0.7823195775474281,0.5964912280701754,0.8029622980251346
18,0.6307,0.40458,0.5232793522267206,0.37639060568603216,0.6129577464788732,0.3333333333333333,0.4828767123287671,0.3252336448598131,0.8212809917355371,0.4971973094170404,0.8107833163784334,0.512396694214876,0.5863125638406538,0.8384401114206128,0.6954137587238285,0.5,0.3472188189169321,0.7350553505535056,0.5484957341715312,0.8053980050850773,0.6140350877192983,0.827423698384201
19,0.6418,0.405855,0.5118927125506073,0.3816440049443758,0.6721126760563381,0.3818770226537217,0.5034246575342466,0.3401869158878505,0.8228305785123967,0.5089686098654709,0.8138351983723296,0.5206611570247934,0.567926455566905,0.7910863509749304,0.6949152542372882,0.5380434782608695,0.38274932614555257,0.7613284132841328,0.5644364616075438,0.7940543712106396,0.6257309941520468,0.8339317773788151
20,0.6379,0.41694,0.520495951417004,0.38936959208899874,0.64,0.3818770226537217,0.4863013698630137,0.34953271028037386,0.8228305785123967,0.5140134529147982,0.8133265513733469,0.5041322314049587,0.5781409601634321,0.8189415041782729,0.7048853439680958,0.5271739130434783,0.38054398431756925,0.7548339483394834,0.56757970363718,0.7926853119499315,0.6257309941520468,0.8366247755834829
