round,global_acc,per_client_gen_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.185,0.185,0.01,0.2229251012145749,0.004324992276799506,0.00244085617724371,0.032362459546925564,0.032989003665444855,0.016666666666666666,0.1816009557945042,0.29596412556053814,0.6260493513100992,0.14049586776859505,0.3668639053254438,0.28969359331476324,0.08324974924774323,0.19393939393939394,0.1345258515069836,0.24453955135773317,0.0197869101978691,0.3098031417776894,0.12048192771084337,0.036347318824321295
1,0.2472,0.2472,0.0027872882783412933,0.22343117408906882,0.04324992276799506,0.003942921517085993,0.038834951456310676,0.03532155948017328,0.027777777777777776,0.3694743130227001,0.27914798206278024,0.6891376240142457,0.1652892561983471,0.31242603550295855,0.5905292479108635,0.5767301905717152,0.20606060606060606,0.13869149718206322,0.4056965761511216,0.02207001522070015,0.3726386955657188,0.1686746987951807,0.049360556428090646
2,0.3416,0.3416,0.001498346566222608,0.28365384615384615,0.1516836577077541,0.0668419076229816,0.05501618122977346,0.03732089303565478,0.05,0.4501194743130227,0.2640134529147982,0.6848130246756551,0.2066115702479339,0.22485207100591717,0.6629526462395543,0.7251755265797393,0.21515151515151515,0.1325655476598873,0.6512691853600945,0.2808219178082192,0.5078544442235037,0.42168674698795183,0.18555081893650438
3,0.3932,0.3932,0.0010537734488025308,0.32970647773279355,0.21470497374111833,0.10138941043935411,0.061488673139158574,0.05231589470176608,0.09583333333333334,0.4465352449223417,0.2673766816143498,0.6942253879419995,0.2231404958677686,0.24378698224852072,0.6629526462395543,0.7051153460381143,0.22424242424242424,0.12570448419505023,0.756198347107438,0.4162861491628615,0.5820242592960827,0.6024096385542169,0.36796051155485754
4,0.4102,0.4102,0.0008686371147632599,0.3375506072874494,0.24003707136237257,0.1180998873450995,0.07119741100323625,0.07797400866377874,0.10833333333333334,0.4710274790919952,0.26289237668161436,0.6843042482828797,0.23140495867768596,0.2378698224852071,0.6685236768802229,0.7462387161484454,0.23939393939393938,0.12594952217593727,0.7929456906729634,0.4649923896499239,0.5917677470670113,0.5903614457831325,0.3986986762396231
5,0.4312,0.4312,0.0007941513322293758,0.35779352226720645,0.26536916898362684,0.13274502440856178,0.08414239482200647,0.12129290236587804,0.14444444444444443,0.48655913978494625,0.26289237668161436,0.6741287204273722,0.256198347107438,0.26153846153846155,0.6768802228412256,0.7412236710130391,0.2696969696969697,0.12472433227150208,0.8112455726092089,0.5076103500761036,0.6251739908530523,0.6265060240963856,0.4538927529728517
6,0.4458,0.4458,0.0007675747619941831,0.3722165991902834,0.27278344145814026,0.14870446864438602,0.09385113268608414,0.14795068310563145,0.15833333333333333,0.49731182795698925,0.27466367713004486,0.6830323073009412,0.2892561983471074,0.28994082840236685,0.6852367688022284,0.7382146439317954,0.2696969696969697,0.13060524381279098,0.8113931523022432,0.517503805175038,0.6301451580831179,0.6385542168674698,0.4929324657841597
7,0.4531,0.4531,0.0007550844457000494,0.3732287449392713,0.2789620018535681,0.16541494555013142,0.10679611650485436,0.16061312895701432,0.16805555555555557,0.5095579450418161,0.2757847533632287,0.6815059781226152,0.2975206611570248,0.29467455621301775,0.6880222841225627,0.753259779338014,0.2787878787878788,0.1301151678510169,0.8226092089728453,0.5380517503805176,0.6319347782859416,0.6385542168674698,0.5037020417321068
8,0.4672,0.4672,0.0007419913890771568,0.3894230769230769,0.2919369786839666,0.1853173113030417,0.12944983818770225,0.19593468843718762,0.18472222222222223,0.5232974910394266,0.2897982062780269,0.6886288476214704,0.30578512396694213,0.3207100591715976,0.6852367688022284,0.7462387161484454,0.3,0.14334721881891693,0.8208382526564345,0.545662100456621,0.647047126665341,0.6506024096385542,0.5218757011442674
9,0.469,0.469,0.000723527162335813,0.3881578947368421,0.2965708989805375,0.2016522718738265,0.1262135922330097,0.19893368877040987,0.18333333333333332,0.53584229390681,0.28419282511210764,0.6835410836937166,0.32231404958677684,0.31479289940828403,0.6768802228412256,0.765295887662989,0.30303030303030304,0.14408233276157806,0.8388429752066116,0.563165905631659,0.6384967190296281,0.6626506024096386,0.5070675342158403
