round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1613,0.1613,0.13486842105263158,0.1643497065183812,0.004693954187007135,0.032362459546925564,0.03465511496167944,0.18194444444444444,0.29958183990442055,0.0554932735426009,0.271177817349275,0.12396694214876033,0.09112426035502959,0.5181058495821727,0.7141424272818455,0.1303030303030303,0.03160989953442784,0.26785714285714285,0.0091324200913242,0.12507456750845097,0.14457831325301204,0.27305362351357415
1,0.2287,0.2287,0.16447368421052633,0.007723200494284831,0.0026286143447239955,0.03559870550161812,0.032322559146951015,0.02361111111111111,0.3599163679808841,0.24943946188340807,0.6586110404477232,0.14049586776859505,0.25443786982248523,0.5905292479108635,0.60481444332999,0.20303030303030303,0.12888997794658172,0.3969893742621015,0.0182648401826484,0.29648041360111355,0.18072289156626506,0.09176576172313215
2,0.2588,0.2588,0.21052631578947367,0.07198022860673463,0.0022530980097634247,0.038834951456310676,0.03432189270243252,0.030555555555555555,0.3972520908004779,0.24663677130044842,0.6802340371406767,0.1652892561983471,0.23550295857988165,0.6072423398328691,0.6509528585757272,0.20606060606060606,0.13183043371722616,0.41809327036599764,0.01598173515981735,0.36388944124080336,0.1566265060240964,0.14090195198564057
3,0.2855,0.2855,0.24493927125506074,0.146122953351869,0.008636875704093128,0.045307443365695796,0.035654781739420195,0.03611111111111111,0.43339307048984466,0.22869955156950672,0.6708216738743322,0.17355371900826447,0.18579881656804734,0.5710306406685237,0.7021063189568706,0.21818181818181817,0.13085028179367802,0.4570543093270366,0.0380517503805175,0.45376814476038974,0.20481927710843373,0.1990127888714382
4,0.3477,0.3477,0.2540485829959514,0.18041396354649367,0.0771686068343973,0.05825242718446602,0.03898700433188937,0.059722222222222225,0.4489247311827957,0.22757847533632286,0.6603917578224371,0.2066115702479339,0.1502958579881657,0.5988857938718662,0.728184553660983,0.22121212121212122,0.1254594462141632,0.6934769775678866,0.3371385083713851,0.4806124478027441,0.5180722891566265,0.297285169396455
5,0.3922,0.3922,0.2806174089068826,0.230151374729688,0.14325948178745776,0.08090614886731391,0.058647117627457515,0.10555555555555556,0.4525089605734767,0.2219730941704036,0.6509793945560925,0.2644628099173554,0.16094674556213018,0.6072423398328691,0.7181544633901705,0.22121212121212122,0.12472433227150208,0.8274793388429752,0.5296803652968036,0.4943328693577252,0.5783132530120482,0.37783262284047564
6,0.441,0.441,0.35779352226720645,0.32715477293790546,0.2442733758918513,0.18446601941747573,0.17194268577140953,0.21805555555555556,0.48237753882915174,0.27466367713004486,0.6458916306283389,0.2727272727272727,0.24378698224852072,0.596100278551532,0.683049147442327,0.296969696969697,0.18696397941680962,0.8189197166469894,0.5730593607305936,0.5253529528733346,0.6506024096385542,0.4236033206192506
7,0.4864,0.4864,0.42105263157894735,0.4084028421377819,0.2977844536237326,0.2524271844660194,0.3728757080973009,0.3347222222222222,0.5561529271206691,0.32847533632286996,0.663698804375477,0.33884297520661155,0.3763313609467456,0.6072423398328691,0.6379137412236711,0.42424242424242425,0.2538593481989708,0.7508854781582054,0.5517503805175038,0.5692980711871147,0.6265060240963856,0.4687009199012789
8,0.508,0.508,0.465334008097166,0.43744207599629287,0.26361246714232067,0.2750809061488673,0.5581472842385872,0.4013888888888889,0.6424731182795699,0.35033632286995514,0.6937166115492241,0.38016528925619836,0.5195266272189349,0.6406685236768802,0.6549648946840522,0.5393939393939394,0.2705219308992894,0.6638134592680047,0.471841704718417,0.6237820640286339,0.5783132530120482,0.5571011891406776
9,0.519,0.519,0.47444331983805665,0.4402224281742354,0.22699962448366504,0.2459546925566343,0.6134621792735755,0.4236111111111111,0.6989247311827957,0.35033632286995514,0.7097430679216484,0.3884297520661157,0.5585798816568047,0.6908077994428969,0.728184553660983,0.5696969696969697,0.26219063954913013,0.6167355371900827,0.4033485540334855,0.6579836945714854,0.5421686746987951,0.6167825891855508
10,0.5175,0.5175,0.48203441295546556,0.4365152919369787,0.22981599699586933,0.2524271844660194,0.6127957347550816,0.39861111111111114,0.7111708482676224,0.3508968609865471,0.7153396082421776,0.36363636363636365,0.5597633136094674,0.7186629526462396,0.7803410230692076,0.5575757575757576,0.24993874050477824,0.6232290436835891,0.4041095890410959,0.6730960429508849,0.5662650602409639,0.6322638546107247
11,0.5282,0.5282,0.4891194331983806,0.431263515600865,0.2583552384528727,0.2297734627831715,0.6081306231256248,0.4083333333333333,0.7192353643966547,0.35874439461883406,0.7275502416687866,0.38016528925619836,0.5751479289940828,0.754874651810585,0.7973921765295887,0.5696969696969697,0.25140896839010046,0.6649940968122786,0.439117199391172,0.6738914297076953,0.5180722891566265,0.6430334305586718
12,0.5513,0.5513,0.4977226720647773,0.44331170837194933,0.3030416823131806,0.2297734627831715,0.5901366211262913,0.4111111111111111,0.7147550776583035,0.36827354260089684,0.7514627321292292,0.38016528925619836,0.5727810650887574,0.754874651810585,0.8004012036108324,0.5636363636363636,0.2592501837784857,0.73642266824085,0.5197869101978692,0.6719029628156691,0.6265060240963856,0.6560466681624411
13,0.5697,0.5697,0.5098684210526315,0.44701884460920605,0.36349981224183253,0.2459546925566343,0.5494835054981673,0.41944444444444445,0.6992234169653524,0.3755605381165919,0.7659628593233274,0.4297520661157025,0.5644970414201184,0.7576601671309192,0.7913741223671013,0.5606060606060606,0.2646410193580005,0.7923553719008265,0.5814307458143074,0.6681248757208192,0.6385542168674698,0.6670406102759704
14,0.58,0.58,0.5253036437246964,0.4541241890639481,0.4162598573037927,0.24919093851132687,0.5298233922025991,0.44583333333333336,0.6833930704898447,0.3873318385650224,0.7761383871788349,0.4793388429752066,0.5597633136094674,0.7381615598885793,0.7502507522567703,0.5757575757575758,0.2653761333006616,0.8227567886658795,0.6248097412480974,0.6808510638297872,0.6867469879518072,0.6708548350908683
15,0.5891,0.5891,0.5571862348178138,0.4896509113376583,0.4534359744648892,0.2524271844660194,0.5371542819060313,0.47638888888888886,0.6890681003584229,0.3895739910313901,0.7771559399643857,0.5041322314049587,0.5810650887573965,0.724233983286908,0.720160481444333,0.5787878787878787,0.26170056358735605,0.8229043683589138,0.6491628614916286,0.7013322728176575,0.6987951807228916,0.6762396230648419
16,0.6012,0.6012,0.583248987854251,0.5245597775718258,0.4755914382275629,0.23948220064724918,0.5701432855714762,0.5069444444444444,0.695041816009558,0.3895739910313901,0.7789366573390994,0.49586776859504134,0.6035502958579881,0.7270194986072424,0.7001003009027081,0.593939393939394,0.25998529772114676,0.8099173553719008,0.6461187214611872,0.7216146351163253,0.7108433734939759,0.6748934260713484
17,0.6058,0.6058,0.6095647773279352,0.5542168674698795,0.46845662786331205,0.24919093851132687,0.6217927357547485,0.5291666666666667,0.720131421744325,0.3923766816143498,0.7779191045535487,0.49586776859504134,0.6153846153846154,0.7381615598885793,0.7041123370110332,0.6272727272727273,0.25900514579759865,0.79456906729634,0.6286149162861492,0.7379200636309405,0.7108433734939759,0.665694413282477
18,0.6118,0.6118,0.6244939271255061,0.5780043249922768,0.4472399549380398,0.2686084142394822,0.6601132955681439,0.5444444444444444,0.7458183990442055,0.38789237668161436,0.7753752225896718,0.48760330578512395,0.6260355029585799,0.7576601671309192,0.7261785356068204,0.6454545454545455,0.26390590541533937,0.7840909090909091,0.6141552511415526,0.7456750845098429,0.7108433734939759,0.6618801884675791
19,0.6134,0.6134,0.6300607287449392,0.586036453506333,0.43522343221930154,0.2815533980582524,0.6747750749750083,0.5430555555555555,0.7562724014336918,0.39125560538116594,0.7756296107860595,0.5041322314049587,0.6343195266272189,0.7381615598885793,0.7402206619859579,0.6393939393939394,0.27542269051703017,0.7860094451003542,0.6095890410958904,0.7464704712666534,0.6987951807228916,0.6661431456136414
20,0.6186,0.6186,0.625,0.5749150447945629,0.43879083740142694,0.284789644012945,0.6601132955681439,0.5458333333333333,0.7601553166069295,0.4080717488789238,0.7804629865174256,0.5041322314049587,0.6414201183431952,0.7493036211699164,0.7632898696088265,0.603030303030303,0.2955158049497672,0.8012101534828807,0.6278538812785388,0.7514416384967191,0.7228915662650602,0.6771370877271707
21,0.6256,0.6256,0.625,0.5641025641025641,0.4434847915884341,0.31715210355987056,0.6431189603465511,0.5347222222222222,0.7562724014336918,0.4316143497757848,0.789112185194607,0.5041322314049587,0.6390532544378699,0.7632311977715878,0.7713139418254764,0.5787878787878787,0.32345013477088946,0.8155253837072018,0.65220700152207,0.7587989659972162,0.7228915662650602,0.6874579313439533
22,0.6328,0.6328,0.6244939271255061,0.5557615075687364,0.4592564776567781,0.35275080906148865,0.6187937354215262,0.5263888888888889,0.742831541218638,0.46524663677130046,0.7975069956754006,0.5289256198347108,0.6319526627218935,0.7799442896935933,0.7612838515546639,0.5757575757575758,0.3540798823817692,0.8283648170011806,0.662861491628615,0.7615828196460529,0.7349397590361446,0.693964550145838
23,0.6402,0.6402,0.6242408906882592,0.5505097312326228,0.47915884340968834,0.3883495145631068,0.6077974008663779,0.5055555555555555,0.7311827956989247,0.4899103139013453,0.8099720172983974,0.5454545454545454,0.6366863905325444,0.7688022284122563,0.7622868605817452,0.5696969696969697,0.36951727517765254,0.8322018890200709,0.6712328767123288,0.7671505269437264,0.7469879518072289,0.702714830603545
24,0.6441,0.6441,0.6293016194331984,0.5520543713314797,0.4975591438227563,0.3883495145631068,0.6201266244585139,0.5152777777777777,0.732078853046595,0.5,0.8178580513864157,0.5785123966942148,0.6568047337278107,0.766016713091922,0.757271815446339,0.593939393939394,0.366086743445234,0.8307260920897285,0.6796042617960426,0.7729170809306025,0.7710843373493976,0.7065290554184429
25,0.6465,0.6465,0.6373987854251012,0.5696632684584492,0.515771686068344,0.37540453074433655,0.6351216261246251,0.5375,0.7359617682198327,0.49271300448430494,0.8196387687611295,0.5785123966942148,0.6781065088757396,0.7715877437325905,0.7362086258776329,0.6212121212121212,0.3496691987258025,0.8277744982290437,0.6796042617960426,0.7780870948498707,0.7831325301204819,0.7033879291002917
26,0.6514,0.6514,0.6503036437246964,0.5841828853877047,0.5259106271122794,0.36893203883495146,0.6654448517160947,0.5722222222222222,0.7538829151732378,0.47757847533632286,0.8155685576189264,0.5454545454545454,0.6994082840236686,0.7715877437325905,0.7352056168505516,0.6212121212121212,0.33153638814016173,0.8155253837072018,0.680365296803653,0.7882282759992046,0.8072289156626506,0.7000224366165583
27,0.6534,0.6534,0.6654858299595142,0.6054989187519308,0.5292902741269245,0.3365695792880259,0.6984338553815395,0.5944444444444444,0.7661290322580645,0.452914798206278,0.8153141694225388,0.5206611570247934,0.7124260355029586,0.7855153203342619,0.7372116349047142,0.6575757575757576,0.3097280078412154,0.804456906729634,0.6719939117199392,0.7935971366076755,0.7590361445783133,0.7029391967691272
28,0.6529,0.6529,0.673582995951417,0.6175471115230151,0.5185880585805482,0.2912621359223301,0.7160946351216261,0.6097222222222223,0.7744922341696535,0.4349775784753363,0.8158229458153141,0.49586776859504134,0.7195266272189349,0.7855153203342619,0.7432296890672017,0.6727272727272727,0.2896348934084783,0.8016528925619835,0.6605783866057838,0.7979717637701332,0.7469879518072289,0.7038366614314562
29,0.6532,0.6532,0.6824392712550608,0.629286376274328,0.49399173864063084,0.2783171521035599,0.7144285238253916,0.6125,0.7801672640382318,0.43385650224215244,0.8193843805647418,0.5041322314049587,0.7112426035502959,0.7966573816155988,0.7552657973921765,0.6636363636363637,0.2857142857142857,0.8122786304604487,0.6582952815829528,0.8009544641081726,0.7710843373493976,0.7049584922593672
30,0.6547,0.6547,0.6882591093117408,0.6394810009267841,0.4885467517837026,0.284789644012945,0.7014328557147618,0.6013888888888889,0.7840501792114696,0.4327354260089686,0.8211650979394556,0.48760330578512395,0.7029585798816568,0.7883008356545961,0.7662988966900702,0.6393939393939394,0.2999264886057339,0.8227567886658795,0.6605783866057838,0.7969775303241201,0.8072289156626506,0.6982275072919004
31,0.6598,0.6598,0.687246963562753,0.6320667284522706,0.4962448366503943,0.29449838187702265,0.6927690769743419,0.6041666666666666,0.7780764635603346,0.45403587443946186,0.8237089799033325,0.48760330578512395,0.6982248520710059,0.7827298050139275,0.7662988966900702,0.6424242424242425,0.32443028669443763,0.8308736717827627,0.6765601217656012,0.7928017498508649,0.7951807228915663,0.7076508862463541
32,0.6641,0.6641,0.6776315789473685,0.6227988878591288,0.5067592940292903,0.34951456310679613,0.6954348550483173,0.6125,0.7780764635603346,0.4798206278026906,0.8285423556346986,0.5041322314049587,0.693491124260355,0.7910863509749304,0.7723169508525577,0.6424242424242425,0.3557951482479784,0.8412042502951594,0.6948249619482496,0.7852455756611653,0.7710843373493976,0.7157280682073144
33,0.6655,0.6655,0.6740890688259109,0.6095149830089589,0.5071348103642509,0.3656957928802589,0.6934355214928357,0.5986111111111111,0.7786738351254481,0.500560538116592,0.8356652251335538,0.512396694214876,0.6982248520710059,0.7938718662952646,0.769307923771314,0.6303030303030303,0.3771134525851507,0.8500590318772137,0.713089802130898,0.7810697951879101,0.7951807228915663,0.7278438411487548
34,0.6691,0.6691,0.6783906882591093,0.6061167747914736,0.4998122418325197,0.37540453074433655,0.6981006331222925,0.5916666666666667,0.7792712066905615,0.5145739910313901,0.8394810480793691,0.49586776859504134,0.7171597633136094,0.7771587743732591,0.769307923771314,0.6272727272727273,0.38985542759127667,0.8522727272727273,0.7222222222222222,0.7824617220123284,0.7831325301204819,0.7334529952883105
35,0.6715,0.6715,0.6915485829959515,0.6098239110287303,0.4943672549755914,0.36245954692556637,0.6997667444185272,0.6013888888888889,0.779868578255675,0.5162556053811659,0.8466039175782244,0.5041322314049587,0.7159763313609467,0.7827298050139275,0.7683049147442327,0.6393939393939394,0.3810340602793433,0.8534533648170012,0.723744292237443,0.7981706104593359,0.7951807228915663,0.7379403185999551
