round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.1833
1,0,0,0,,,,0.2472
2,0,0,0,,,,0.354
3,0,0,0,,,,0.4091
4,0,0,0,,,,0.4371
5,0,0,0,,,,0.4838
6,0,0,0,,,,0.5027
7,0,0,0,,,,0.5307
8,0,0,0,,,,0.5616
9,0,0,0,,,,0.565
10,0,0,0,,,,0.5854
11,0,0,0,,,,0.5962
12,0,0,0,,,,0.6073
13,0,0,0,,,,0.5975
14,0,0,0,,,,0.614
15,0,0,0,,,,0.6254
16,0,0,0,,,,0.6262
17,0,0,0,,,,0.6367
18,0,0,0,,,,0.6399
19,0,0,0,,,,0.6412
20,0,0,0,,,,0.6521
21,0,0,0,,,,0.6552
22,0,0,0,,,,0.656
23,0,0,0,,,,0.6595
24,0,0,0,,,,0.6638
25,0,0,0,,,,0.67
26,0,0,0,,,,0.6728
27,0,0,0,,,,0.6728
28,0,0,0,,,,0.6728
29,0,0,0,,,,0.6744
30,0,0,0,,,,0.6778
31,0,0,0,,,,0.6868
32,0,0,0,,,,0.6819
33,0,0,0,,,,0.6817
34,0,0,0,,,,0.6816
35,0,0,0,,,,0.6855
36,0,0,0,,,,0.6903
37,0,0,0,,,,0.6906
38,0,0,0,,,,0.6945
39,0,0,0,,,,0.6949
40,0,0,0,,,,0.6943
41,0,0,0,,,,0.702
42,0,0,0,,,,0.6959
43,0,0,0,,,,0.6955
44,0,0,0,,,,0.6952
45,0,0,0,,,,0.6998
46,0,0,0,,,,0.6995
47,0,0,0,,,,0.7018
48,0,0,0,,,,0.7013
49,0,0,0,,,,0.7023
50,0,0,0,,,,0.7016
51,0,0,0,,,,0.7017
52,0,0,0,,,,0.7016
53,0,0,0,,,,0.6994
54,0,0,0,,,,0.7053
55,0,0,0,,,,0.7068
56,0,0,0,,,,0.7046
57,0,0,0,,,,0.7029
58,0,0,0,,,,0.7061
59,0,0,0,,,,0.7099
60,0,0,0,,,,0.7106
61,0,0,0,,,,0.7109
62,0,0,0,,,,0.7108
63,0,0,0,,,,0.7179
64,0,0,0,,,,0.7113
65,0,0,0,,,,0.7101
66,0,0,0,,,,0.7159
67,0,0,0,,,,0.7135
68,0,0,0,,,,0.7135
69,0,0,0,,,,0.7135
70,0,0,0,,,,0.7178
71,0,0,0,,,,0.7144
72,0,0,0,,,,0.7166
73,0,0,0,,,,0.7165
74,0,0,0,,,,0.7174
75,0,0,0,,,,0.7156
76,0,0,0,,,,0.7209
77,0,0,0,,,,0.7132
78,0,0,0,,,,0.7183
79,0,0,0,,,,0.7177
80,0,0,0,,,,0.7196
81,0,0,0,,,,0.72
82,0,0,0,,,,0.7194
83,0,0,0,,,,0.7184
84,0,0,0,,,,0.717
85,0,0,0,,,,0.7162
86,0,0,0,,,,0.7181
87,0,0,0,,,,0.7178
88,0,0,0,,,,0.7207
89,0,0,0,,,,0.7149
90,0,0,0,,,,0.7188
91,0,0,0,,,,0.7174
92,0,0,0,,,,0.7187
93,0,0,0,,,,0.7175
94,0,0,0,,,,0.7204
95,0,0,0,,,,0.7191
96,0,0,0,,,,0.7208
97,0,0,0,,,,0.7205
98,0,0,0,,,,0.7156
99,0,0,0,,,,0.7191
100,8,4,8,0;1;2;3;9;10;14;18,1;3;9;18,0;1;2;3;9;10;14;18,0.6181
101,8,4,8,0;1;2;3;9;10;14;18,1;3;9;18,0;1;2;3;9;10;14;18,0.5942
102,8,4,8,0;1;2;3;9;10;14;18,1;3;9;18,0;1;2;3;9;10;14;18,0.5894
103,8,4,8,0;1;2;3;9;10;14;18,1;3;9;18,0;1;2;3;9;10;14;18,0.5861
104,6,2,6,0;2;9;10;14;18,9;18,0;2;9;10;14;18,0.5874
105,2,2,2,9;18,9;18,9;18,0.6172
106,2,2,0,9;18,9;18,,0.5961
107,0,0,0,,,,0.5948
108,0,0,0,,,,0.5942
109,0,0,0,,,,0.5796
110,0,0,0,,,,0.5874
111,0,0,0,,,,0.5928
112,0,0,0,,,,0.5926
113,0,0,0,,,,0.5881
114,0,0,0,,,,0.5859
115,0,0,0,,,,0.5914
116,0,0,0,,,,0.5883
117,0,0,0,,,,0.5807
118,0,0,0,,,,0.5717
119,0,0,0,,,,0.5961
120,0,0,0,,,,0.582
121,0,0,0,,,,0.583
122,0,0,0,,,,0.5857
123,0,0,0,,,,0.5791
124,0,0,0,,,,0.5856
125,0,0,0,,,,0.5778
126,0,0,0,,,,0.5831
127,0,0,0,,,,0.5729
128,0,0,0,,,,0.5824
129,0,0,0,,,,0.5806
130,0,0,0,,,,0.5809
131,0,0,0,,,,0.5819
132,0,0,0,,,,0.5796
133,0,0,0,,,,0.5859
134,0,0,0,,,,0.5721
135,0,0,0,,,,0.5815
136,0,0,0,,,,0.579
137,0,0,0,,,,0.5779
138,0,0,0,,,,0.5828
139,0,0,0,,,,0.5823
140,0,0,0,,,,0.5765
141,0,0,0,,,,0.5858
142,0,0,0,,,,0.5757
143,0,0,0,,,,0.578
144,0,0,0,,,,0.5763
145,0,0,0,,,,0.578
146,0,0,0,,,,0.5795
147,0,0,0,,,,0.5758
148,0,0,0,,,,0.5803
149,0,0,0,,,,0.577
150,0,0,0,,,,0.5806
151,0,0,0,,,,0.5871
152,0,0,0,,,,0.5821
153,0,0,0,,,,0.5776
154,0,0,0,,,,0.5817
155,0,0,0,,,,0.5813
156,0,0,0,,,,0.5833
157,0,0,0,,,,0.5739
158,0,0,0,,,,0.577
159,0,0,0,,,,0.5781
160,0,0,0,,,,0.5807
161,0,0,0,,,,0.58
162,0,0,0,,,,0.5833
163,0,0,0,,,,0.5736
164,0,0,0,,,,0.5712
165,0,0,0,,,,0.5798
166,0,0,0,,,,0.5904
167,0,0,0,,,,0.5812
168,0,0,0,,,,0.5792
169,0,0,0,,,,0.5807
170,0,0,0,,,,0.5685
171,0,0,0,,,,0.5815
172,0,0,0,,,,0.5717
173,0,0,0,,,,0.5873
174,0,0,0,,,,0.5788
175,0,0,0,,,,0.5818
176,0,0,0,,,,0.5696
177,0,0,0,,,,0.5849
178,0,0,0,,,,0.572
179,0,0,0,,,,0.5778
180,0,0,0,,,,0.5785
181,0,0,0,,,,0.5768
182,0,0,0,,,,0.5749
183,0,0,0,,,,0.5747
184,0,0,0,,,,0.5698
185,0,0,0,,,,0.5867
186,0,0,0,,,,0.5705
187,0,0,0,,,,0.5787
188,0,0,0,,,,0.5702
189,0,0,0,,,,0.5914
190,0,0,0,,,,0.5651
191,0,0,0,,,,0.5917
192,0,0,0,,,,0.5725
193,0,0,0,,,,0.5844
194,0,0,0,,,,0.5757
195,0,0,0,,,,0.5674
196,0,0,0,,,,0.5772
197,0,0,0,,,,0.5803
198,0,0,0,,,,0.5873
199,0,0,0,,,,0.5736
