round,global_acc,per_client_gen_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2145,0.2145,0.01,0.39606238813602657,0.18975624807158284,0.002629107981220657,0.03559870550161812,0.011320754716981131,0.0344311377245509,0.5872340425531914,0.2769895126465145,0.5049976201808662,0.0625,0.09861278648974668,0.5921787709497207,0.2831050228310502,0.08661417322834646,0.033629794330183434,0.20338323935446237,0.007407407407407408,0.6671230197535694,0.049723756906077346,0.0818658673660547
1,0.2334,0.2334,0.002768520964309573,0.4561493224239325,0.24992286331379204,0.0523943661971831,0.042071197411003236,0.02578616352201258,0.05089820359281437,0.5141843971631206,0.28562615669339914,0.49071870537839124,0.07589285714285714,0.12153196622436671,0.5307262569832403,0.22425164890918314,0.09448818897637795,0.03446359088382435,0.16118996694536264,0.019528619528619527,0.7594367299041659,0.06629834254143646,0.10790558261521169
2,0.2795,0.2795,0.0014683440094813704,0.4518026080286372,0.26103054612773835,0.2247887323943662,0.05177993527508091,0.04905660377358491,0.09431137724550898,0.6304964539007092,0.270203578038248,0.5111851499286054,0.11160714285714286,0.12515078407720145,0.5698324022346368,0.3074581430745814,0.11023622047244094,0.033073929961089495,0.23974334046276494,0.06464646464646465,0.7598278896929396,0.15469613259668508,0.15867366054702137
3,0.321,0.321,0.0010120494989678264,0.42725645614932245,0.24128355445850047,0.27173708920187795,0.06472491909385113,0.21069182389937108,0.1467065868263473,0.6312056737588653,0.26958667489204197,0.5663969538315088,0.20089285714285715,0.2822677925211098,0.6368715083798883,0.38863521055301875,0.16535433070866143,0.03446359088382435,0.268714757923391,0.1712682379349046,0.7232544494425973,0.22099447513812154,0.24316223304608467
4,0.3369,0.3369,0.0008155352552421391,0.4298133469700844,0.24868867633446468,0.32,0.07119741100323625,0.2320754716981132,0.15868263473053892,0.6368794326241135,0.27143738433066006,0.5797239409804855,0.23660714285714285,0.30066344993968636,0.6368715083798883,0.40233384069000505,0.18110236220472442,0.03446359088382435,0.29224188216993974,0.20673400673400674,0.7220809700762761,0.281767955801105,0.2718246534282503
5,0.3566,0.3566,0.0007351061794906855,0.42469956532856046,0.23572971305152732,0.3543661971830986,0.08090614886731391,0.2962264150943396,0.19011976047904192,0.6595744680851063,0.27390499691548426,0.589719181342218,0.26785714285714285,0.3480096501809409,0.6620111731843575,0.4485032978183663,0.1968503937007874,0.04030016675931073,0.3157690064164884,0.25297418630751967,0.6935263054957951,0.35359116022099446,0.29261895841139
6,0.3709,0.3709,0.0007128523429855704,0.43850677576067504,0.25732798518975625,0.37295774647887325,0.08737864077669903,0.30251572327044024,0.20808383233532934,0.649645390070922,0.2782233189389266,0.5930509281294621,0.29017857142857145,0.3645958986731001,0.6424581005586593,0.4672754946727549,0.2440944881889764,0.04307948860478043,0.32821310519152247,0.2996632996632997,0.7068257383141013,0.3812154696132597,0.31715998501311354
7,0.3853,0.3853,0.0007146752323023975,0.44592175914088467,0.2644245603208886,0.37746478873239436,0.10032362459546926,0.3150943396226415,0.22005988023952097,0.649645390070922,0.2899444787168415,0.6006663493574488,0.3125,0.3854041013268999,0.6620111731843575,0.4774226281075596,0.2283464566929134,0.05697609783212896,0.35193466848143107,0.32682379349046015,0.7048699393702328,0.40331491712707185,0.31997002622705134
8,0.3972,0.3972,0.0007182334084063768,0.4538481206852467,0.27645788336933047,0.4063849765258216,0.10355987055016182,0.32264150943396225,0.23353293413173654,0.6524822695035462,0.29796421961752007,0.603998096144693,0.32589285714285715,0.3944511459589867,0.6620111731843575,0.4941653982749873,0.23622047244094488,0.06420233463035019,0.36360101108302545,0.355331088664422,0.7070213182084881,0.4198895027624309,0.33814162607718246
9,0.4044,0.4044,0.0007158296648412943,0.4612631040654564,0.2900339401419315,0.4272300469483568,0.12297734627831715,0.32452830188679244,0.25449101796407186,0.6567375886524822,0.29673041332510797,0.603998096144693,0.32142857142857145,0.39203860072376356,0.6703910614525139,0.5068493150684932,0.25984251968503935,0.07976653696498054,0.37798950029165856,0.37373737373737376,0.708585957363583,0.4530386740331492,0.34282502810041215
