round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2134,0.15406999999999998,0.3899258501661979,0.1798827522369639,0.0028169014084507044,0.03559870550161812,0.010691823899371069,0.03143712574850299,0.599290780141844,0.27884022208513265,0.5069014754878629,0.06696428571428571,0.09891435464414958,0.6061452513966481,0.28665651953323185,0.08661417322834646,0.033629794330183434,0.2092164106552596,0.007407407407407408,0.6548014864071974,0.049723756906077346,0.07961783439490445
1,0.2368,0.172855,0.45819483508054204,0.2576365319345881,0.046384976525821596,0.042071197411003236,0.016352201257861635,0.04790419161676647,0.5645390070921986,0.28007402837754475,0.4869109947643979,0.06696428571428571,0.10765983112183354,0.5279329608938548,0.228310502283105,0.10236220472440945,0.0339077265147304,0.17888391989111413,0.013468013468013467,0.7672599256796402,0.0718232044198895,0.11240164855751218
2,0.3145,0.19255,0.4714906673485042,0.2952792348040728,0.2508920187793427,0.05501618122977346,0.10062893081761007,0.14820359281437126,0.575177304964539,0.2689697717458359,0.5030937648738696,0.13839285714285715,0.19119420989143546,0.5558659217877095,0.37950279046169455,0.16535433070866143,0.033351862145636464,0.2755201244409877,0.2271604938271605,0.7504400547623704,0.26519337016574585,0.18040464593480704
3,0.3549,0.20761,0.48478649961646636,0.3054612773835236,0.23230046948356808,0.07766990291262135,0.21761006289308177,0.17964071856287425,0.6404255319148936,0.2769895126465145,0.5778200856734889,0.21875,0.30699638118214717,0.6368715083798883,0.4226281075596144,0.2125984251968504,0.03501945525291829,0.2963251020804978,0.25342312008978674,0.763348327791903,0.287292817679558,0.3062944923192207
4,0.3899,0.22801,0.5389925850166198,0.3878432582536254,0.355868544600939,0.06796116504854369,0.20943396226415095,0.26646706586826346,0.6595744680851063,0.2917951881554596,0.5711565920990005,0.21428571428571427,0.29463208685162845,0.6564245810055865,0.4855403348554033,0.29133858267716534,0.04419121734296832,0.379156134551818,0.3367003367003367,0.763348327791903,0.3425414364640884,0.27613338328962156
5,0.4393,0.24554,0.5625159805676297,0.43289108299907436,0.4255399061032864,0.1262135922330097,0.3150943396226415,0.3203592814371258,0.6624113475177305,0.30351634793337445,0.5887672536887196,0.2857142857142857,0.385102533172497,0.6508379888268156,0.5185185185185185,0.3464566929133858,0.06170094496942746,0.4287380906085942,0.4026936026936027,0.7645218071582242,0.43646408839779005,0.35575121768452606
6,0.4612,0.25245,0.5949884939913066,0.46806541190990436,0.4743661971830986,0.19741100323624594,0.3050314465408805,0.3458083832335329,0.6687943262411348,0.36397285626156695,0.5906711089957163,0.3080357142857143,0.3766586248492159,0.6703910614525139,0.5271435819381025,0.4015748031496063,0.1386881600889383,0.42115496791755785,0.4260381593714927,0.789360453745355,0.430939226519337,0.3403896590483327
7,0.5117,0.27087,0.5829711071337254,0.4742363468065412,0.5455399061032864,0.3106796116504854,0.44150943396226416,0.3997005988023952,0.676595744680851,0.43368291178285007,0.5997144217039505,0.4642857142857143,0.4852231604342581,0.6787709497206704,0.578386605783866,0.3937007874015748,0.25236242356864924,0.47695897336185106,0.494949494949495,0.7604146293761002,0.5248618784530387,0.39752716373173475
8,0.5185,0.27348,0.6113525952441831,0.49521752545510644,0.5423474178403755,0.3268608414239482,0.42641509433962266,0.4101796407185629,0.6758865248226951,0.4639111659469463,0.6101856258924322,0.45982142857142855,0.4779855247285887,0.6620111731843575,0.5824454591577879,0.3543307086614173,0.27987770983879934,0.44857087303130466,0.5221099887766555,0.7870134950127127,0.5082872928176796,0.40052454102660173
9,0.5398,0.28542,0.6456149322423933,0.564331996297439,0.5968075117370892,0.34951456310679613,0.48553459119496856,0.4805389221556886,0.6723404255319149,0.45033929673041334,0.6063779152784389,0.49107142857142855,0.5392038600723763,0.6787709497206704,0.6123795027904617,0.4251968503937008,0.26931628682601444,0.43321018860587207,0.5474747474747474,0.7819284177586544,0.5359116022099447,0.40464593480704386
