round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
0,0.2132,0.2132,0.38864740475581694,0.17895711200246836,0.0028169014084507044,0.03559870550161812,0.010691823899371069,0.03143712574850299,0.6021276595744681,0.27884022208513265,0.5126130414088529,0.0625,0.09861278648974668,0.611731843575419,0.2922374429223744,0.08661417322834646,0.033351862145636464,0.21485514291269686,0.007407407407407408,0.6510854684138471,0.049723756906077346,0.07793180966654177,0.38864740475581694,0.17895711200246836,0.0028169014084507044,0.03559870550161812,0.010691823899371069,0.03143712574850299,0.6021276595744681,0.27884022208513265,0.5126130414088529,0.0625,0.09861278648974668,0.611731843575419,0.2922374429223744,0.08661417322834646,0.033351862145636464,0.21485514291269686,0.007407407407407408,0.6510854684138471,0.049723756906077346,0.07793180966654177
1,0.2316,0.2316,0.4564050115060087,0.25300833076211043,0.048450704225352116,0.042071197411003236,0.022641509433962263,0.04640718562874251,0.5063829787234042,0.28439235040098704,0.4892908138981437,0.07589285714285714,0.11489746682750301,0.5307262569832403,0.21714865550481988,0.09448818897637795,0.03474152306837132,0.1545790394711258,0.0186307519640853,0.7621748484255818,0.06077348066298342,0.10415886099662795,0.4564050115060087,0.25300833076211043,0.048450704225352116,0.042071197411003236,0.022641509433962263,0.04640718562874251,0.5063829787234042,0.28439235040098704,0.4892908138981437,0.07589285714285714,0.11489746682750301,0.5307262569832403,0.21714865550481988,0.09448818897637795,0.03474152306837132,0.1545790394711258,0.0186307519640853,0.7621748484255818,0.06077348066298342,0.10415886099662795
2,0.3137,0.3137,0.4679110201994375,0.289108299907436,0.24957746478873238,0.05177993527508091,0.11257861635220126,0.1377245508982036,0.5709219858156028,0.2640345465761875,0.5107091861018562,0.14285714285714285,0.201145958986731,0.5335195530726257,0.3470319634703196,0.15748031496062992,0.032518065591995556,0.28115885669842505,0.18810325476992143,0.7533737531781732,0.2430939226519337,0.2229299363057325,0.4679110201994375,0.289108299907436,0.24957746478873238,0.05177993527508091,0.11257861635220126,0.1377245508982036,0.5709219858156028,0.2640345465761875,0.5107091861018562,0.14285714285714285,0.201145958986731,0.5335195530726257,0.3470319634703196,0.15748031496062992,0.032518065591995556,0.28115885669842505,0.18810325476992143,0.7533737531781732,0.2430939226519337,0.2229299363057325
3,0.3533,0.3533,0.48734339043722835,0.302684356680037,0.25220657276995306,0.08090614886731391,0.1949685534591195,0.17365269461077845,0.6106382978723405,0.2782233189389266,0.5663969538315088,0.1875,0.2985524728588661,0.6201117318435754,0.4165398274987316,0.2047244094488189,0.03529738743746526,0.2821310519152246,0.2691358024691358,0.7680422452571876,0.281767955801105,0.2946796553016111,0.48734339043722835,0.302684356680037,0.25220657276995306,0.08090614886731391,0.1949685534591195,0.17365269461077845,0.6106382978723405,0.2782233189389266,0.5663969538315088,0.1875,0.2985524728588661,0.6201117318435754,0.4165398274987316,0.2047244094488189,0.03529738743746526,0.2821310519152246,0.2691358024691358,0.7680422452571876,0.281767955801105,0.2946796553016111
4,0.4051,0.4051,0.5019176681155715,0.3452638074668312,0.38948356807511736,0.08090614886731391,0.24528301886792453,0.25449101796407186,0.7028368794326241,0.28315854410857494,0.5887672536887196,0.2544642857142857,0.32720144752714114,0.659217877094972,0.49365804160324706,0.25984251968503935,0.03640911617565314,0.45459848337546177,0.3351290684624018,0.7471151965577939,0.3425414364640884,0.30123641813413266,0.5019176681155715,0.3452638074668312,0.38948356807511736,0.08090614886731391,0.24528301886792453,0.25449101796407186,0.7028368794326241,0.28315854410857494,0.5887672536887196,0.2544642857142857,0.32720144752714114,0.659217877094972,0.49365804160324706,0.25984251968503935,0.03640911617565314,0.45459848337546177,0.3351290684624018,0.7471151965577939,0.3425414364640884,0.30123641813413266
5,0.4484,0.4484,0.5448734339043723,0.40851589015735884,0.451830985915493,0.15857605177993528,0.3522012578616352,0.33532934131736525,0.6475177304964539,0.3016656384947563,0.601142313184198,0.32589285714285715,0.42430639324487335,0.6508379888268156,0.5291730086250634,0.3464566929133858,0.06948304613674264,0.3844059887225355,0.4208754208754209,0.7545472325444944,0.4696132596685083,0.4010865492693893,0.5448734339043723,0.40851589015735884,0.451830985915493,0.15857605177993528,0.3522012578616352,0.33532934131736525,0.6475177304964539,0.3016656384947563,0.601142313184198,0.32589285714285715,0.42430639324487335,0.6508379888268156,0.5291730086250634,0.3464566929133858,0.06948304613674264,0.3844059887225355,0.4208754208754209,0.7545472325444944,0.4696132596685083,0.4010865492693893
6,0.4712,0.4712,0.5827154180516492,0.4507867941993212,0.5036619718309859,0.19093851132686085,0.37484276729559746,0.35179640718562877,0.6921985815602837,0.35780382479950645,0.6035221323179438,0.36607142857142855,0.43154402895054284,0.6983240223463687,0.5276509386098427,0.3464566929133858,0.1303501945525292,0.44565428738090607,0.42424242424242425,0.7809505182867201,0.430939226519337,0.3491944548520045,0.5827154180516492,0.4507867941993212,0.5036619718309859,0.19093851132686085,0.37484276729559746,0.35179640718562877,0.6921985815602837,0.35780382479950645,0.6035221323179438,0.36607142857142855,0.43154402895054284,0.6983240223463687,0.5276509386098427,0.3464566929133858,0.1303501945525292,0.44565428738090607,0.42424242424242425,0.7809505182867201,0.430939226519337,0.3491944548520045
7,0.4999,0.4999,0.5845052416261826,0.4594261030546128,0.5590610328638498,0.23624595469255663,0.41132075471698115,0.3847305389221557,0.7226950354609929,0.3942011104256632,0.6178010471204188,0.41517857142857145,0.4517490952955368,0.7206703910614525,0.5570776255707762,0.3858267716535433,0.19205113952195665,0.4899863892669648,0.4332210998877666,0.7795814590260122,0.4696132596685083,0.370738104158861,0.5845052416261826,0.4594261030546128,0.5590610328638498,0.23624595469255663,0.41132075471698115,0.3847305389221557,0.7226950354609929,0.3942011104256632,0.6178010471204188,0.41517857142857145,0.4517490952955368,0.7206703910614525,0.5570776255707762,0.3858267716535433,0.19205113952195665,0.4899863892669648,0.4332210998877666,0.7795814590260122,0.4696132596685083,0.370738104158861
8,0.5149,0.5149,0.615187931475326,0.5023141005862388,0.5468544600938967,0.2912621359223301,0.4345911949685535,0.42664670658682635,0.699290780141844,0.41270820481184456,0.6201808662541647,0.4642857142857143,0.4930639324487334,0.7011173184357542,0.5758498224251649,0.3700787401574803,0.20817120622568094,0.4699591678008944,0.5019079685746353,0.7819284177586544,0.5193370165745856,0.38235294117647056,0.615187931475326,0.5023141005862388,0.5468544600938967,0.2912621359223301,0.4345911949685535,0.42664670658682635,0.699290780141844,0.41270820481184456,0.6201808662541647,0.4642857142857143,0.4930639324487334,0.7011173184357542,0.5758498224251649,0.3700787401574803,0.20817120622568094,0.4699591678008944,0.5019079685746353,0.7819284177586544,0.5193370165745856,0.38235294117647056
9,0.5384,0.5384,0.6006136537969828,0.4905893242826288,0.6092018779342723,0.3948220064724919,0.5056603773584906,0.4161676646706587,0.6836879432624113,0.4873534855027761,0.6220847215611613,0.5491071428571429,0.554583835946924,0.6731843575418994,0.5849822425164891,0.3464566929133858,0.3193440800444691,0.4289325296519541,0.5198653198653199,0.7787991394484647,0.5138121546961326,0.4454852004496066,0.6006136537969828,0.4905893242826288,0.6092018779342723,0.3948220064724919,0.5056603773584906,0.4161676646706587,0.6836879432624113,0.4873534855027761,0.6220847215611613,0.5491071428571429,0.554583835946924,0.6731843575418994,0.5849822425164891,0.3464566929133858,0.3193440800444691,0.4289325296519541,0.5198653198653199,0.7787991394484647,0.5138121546961326,0.4454852004496066
