round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
0,0,0,0,,,,0.2132
1,0,0,0,,,,0.2316
2,0,0,0,,,,0.3137
3,0,0,0,,,,0.3533
4,0,0,0,,,,0.4051
5,0,0,0,,,,0.4484
6,0,0,0,,,,0.4712
7,0,0,0,,,,0.4999
8,0,0,0,,,,0.5149
9,0,0,0,,,,0.5384
10,0,0,0,,,,0.5493
11,0,0,0,,,,0.56
12,0,0,0,,,,0.5761
13,0,0,0,,,,0.5704
14,0,0,0,,,,0.593
15,0,0,0,,,,0.5921
16,0,0,0,,,,0.602
17,0,0,0,,,,0.6112
18,0,0,0,,,,0.619
19,0,0,0,,,,0.6235
20,0,0,0,,,,0.6344
21,0,0,0,,,,0.6341
22,0,0,0,,,,0.6413
23,0,0,0,,,,0.6425
24,0,0,0,,,,0.6473
25,0,0,0,,,,0.6459
26,0,0,0,,,,0.6547
27,0,0,0,,,,0.6579
28,0,0,0,,,,0.6612
29,0,0,0,,,,0.6611
30,0,0,0,,,,0.6655
31,0,0,0,,,,0.6675
32,0,0,0,,,,0.6709
33,0,0,0,,,,0.6782
34,0,0,0,,,,0.6732
35,0,0,0,,,,0.677
36,0,0,0,,,,0.6767
37,0,0,0,,,,0.6778
38,0,0,0,,,,0.6828
39,0,0,0,,,,0.6848
40,0,0,0,,,,0.6843
41,0,0,0,,,,0.6832
42,0,0,0,,,,0.6889
43,0,0,0,,,,0.6898
44,0,0,0,,,,0.6855
45,0,0,0,,,,0.6941
46,0,0,0,,,,0.6947
47,0,0,0,,,,0.694
48,0,0,0,,,,0.691
49,0,0,0,,,,0.6971
50,0,0,0,,,,0.6968
51,0,0,0,,,,0.6954
52,0,0,0,,,,0.6965
53,0,0,0,,,,0.6961
54,0,0,0,,,,0.6999
55,0,0,0,,,,0.6959
56,0,0,0,,,,0.6946
57,0,0,0,,,,0.6994
58,0,0,0,,,,0.6996
59,0,0,0,,,,0.6993
60,0,0,0,,,,0.7001
61,0,0,0,,,,0.6997
62,0,0,0,,,,0.6986
63,0,0,0,,,,0.6997
64,0,0,0,,,,0.7029
65,0,0,0,,,,0.7051
66,0,0,0,,,,0.7011
67,0,0,0,,,,0.7017
68,0,0,0,,,,0.7032
69,0,0,0,,,,0.7045
70,0,0,0,,,,0.7058
71,0,0,0,,,,0.7044
72,0,0,0,,,,0.7042
73,0,0,0,,,,0.7048
74,0,0,0,,,,0.7052
75,0,0,0,,,,0.7055
