round,global_acc,per_client_gen_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2147,0.2147,0.01,0.3983635898747124,0.19068188830607838,0.002629107981220657,0.03559870550161812,0.011320754716981131,0.0344311377245509,0.5822695035460993,0.2769895126465145,0.5016658733936221,0.05803571428571429,0.09861278648974668,0.5865921787709497,0.27600202942668695,0.08661417322834646,0.033629794330183434,0.2006610927474237,0.007407407407407408,0.6694699784862116,0.049723756906077346,0.08205320344698389
1,0.2317,0.2317,0.0055374763906002045,0.4548708770135515,0.2489972230792965,0.05276995305164319,0.038834951456310676,0.025157232704402517,0.04940119760479042,0.5127659574468085,0.28562615669339914,0.49500237981913375,0.07589285714285714,0.11670687575392039,0.5363128491620112,0.22425164890918314,0.09448818897637795,0.03446359088382435,0.16138440598872253,0.021773288439955105,0.759241150009779,0.06077348066298342,0.10509554140127389
2,0.3001,0.3001,0.004471082240343094,0.46458706213244694,0.2786177105831533,0.2507042253521127,0.05177993527508091,0.07610062893081761,0.12275449101796407,0.5900709219858156,0.270203578038248,0.5145168967158495,0.14285714285714285,0.1574185765983112,0.5446927374301676,0.328259766615931,0.14173228346456693,0.03196220122290161,0.24927085358740034,0.1371492704826038,0.7617836886368081,0.1878453038674033,0.18864743349569127
3,0.3456,0.3456,0.004340962506830692,0.448990028125799,0.27182968219685283,0.28582159624413145,0.07119741100323625,0.21320754716981133,0.1691616766467066,0.6539007092198581,0.2732880937692782,0.5773441218467397,0.20535714285714285,0.2937273823884198,0.6284916201117319,0.4322678843226788,0.1968503937007874,0.03418565869927738,0.302158273381295,0.2334455667789001,0.7381185214159984,0.27071823204419887,0.2746346946421881
4,0.3905,0.3905,0.004952457267791033,0.4916901048325237,0.33508176488738045,0.3652582159624413,0.08414239482200647,0.25157232704402516,0.23802395209580837,0.6439716312056738,0.27637260950030845,0.5678248453117563,0.23660714285714285,0.3232810615199035,0.6284916201117319,0.4637239979705733,0.2755905511811024,0.03446359088382435,0.38032276881197746,0.31470258136924806,0.7451593976139252,0.35911602209944754,0.3160359685275384
5,0.4272,0.4272,0.006238108035176992,0.5200715929429813,0.3875347115087936,0.41652582159624413,0.1262135922330097,0.3742138364779874,0.3248502994011976,0.6588652482269504,0.2862430598396052,0.5901951451689672,0.3482142857142857,0.42430639324487335,0.6340782122905028,0.5088787417554541,0.31496062992125984,0.06920511395219567,0.38654481819949443,0.37912457912457914,0.714062194406415,0.4530386740331492,0.38460097414762084
6,0.4371,0.4371,0.007945713587105274,0.5520327282025057,0.41067571737118175,0.4499530516431925,0.13592233009708737,0.32264150943396225,0.3278443113772455,0.6858156028368795,0.3016656384947563,0.598286530223703,0.3169642857142857,0.38630880579010857,0.659217877094972,0.5063419583967529,0.31496062992125984,0.07281823235130629,0.4044332101886059,0.3750841750841751,0.763348327791903,0.43646408839779005,0.35406519295616334
7,0.4712,0.4712,0.009491654112935066,0.5586806443364868,0.43505091021289727,0.5248826291079812,0.18446601941747573,0.3786163522012579,0.3532934131736527,0.6893617021276596,0.34978408389882787,0.5768681580199905,0.3794642857142857,0.44059107358262967,0.6843575418994413,0.5372907153729072,0.36220472440944884,0.13590883824346858,0.4921252187439238,0.43950617283950616,0.7500488949735967,0.4861878453038674,0.33982765080554517
8,0.4763,0.4763,0.01,0.592942981334697,0.46806541190990436,0.49370892018779344,0.2168284789644013,0.36666666666666664,0.36826347305389223,0.6716312056737589,0.36027143738433065,0.6120894811994289,0.3794642857142857,0.4267189384800965,0.6815642458100558,0.5332318619989853,0.3858267716535433,0.14091161756531406,0.4518763367684231,0.4489337822671156,0.7813416780754938,0.4585635359116022,0.3791682278006744
9,0.5139,0.5139,0.01,0.5878291996931732,0.4646713977167541,0.5710798122065728,0.3656957928802589,0.4446540880503145,0.38922155688622756,0.6574468085106383,0.46329426280074026,0.5901951451689672,0.46875,0.5021109770808203,0.6620111731843575,0.541349568746829,0.33858267716535434,0.2882156753752084,0.4265992611316352,0.4751964085297419,0.7737140621944064,0.49171270718232046,0.3990258523791682
10,0.5239,0.5239,0.01,0.5995908974686781,0.4875038568343104,0.5618779342723005,0.3300970873786408,0.4628930817610063,0.41467065868263475,0.6602836879432624,0.4312152991980259,0.6158971918134222,0.4642857142857143,0.5208082026537998,0.6759776536312849,0.56519533231862,0.3464566929133858,0.2509727626459144,0.4491541901613844,0.5227833894500561,0.7840797965969099,0.5138121546961326,0.4424878231547396
11,0.5416,0.5416,0.01,0.6070058808488877,0.5007713668620796,0.5862910798122066,0.42718446601941745,0.4949685534591195,0.44610778443113774,0.7035460992907802,0.4935225169648365,0.632555925749643,0.4955357142857143,0.5582026537997588,0.7122905027932961,0.593607305936073,0.33858267716535434,0.33240689271817675,0.45654287380906083,0.5185185185185185,0.7850576960688441,0.5359116022099447,0.43593106032221807
