round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.154,0.154,1.1299102306365967,0.11299102753400803,0.34551405906677246,0.04447885320890725,0.1283608905471171,0.0933265149578113,0.002776920703486578,0.0020657276995305163,0.022653721682847898,0.005031446540880503,0.014970059880239521,0.5382978723404256,0.10919185687847008,0.2936696811042361,0.03125,0.09891435464414958,0.4776536312849162,0.5525114155251142,0.06299212598425197,0.014174541411895497,0.23196577872836865,0.3696969696969697,0.20790142773322903,0.3149171270718232,0.014424878231547396
1,0.202,0.202,1.164748191833496,0.20727849006652832,0.3629774749279022,0.05152787260232242,0.14156885013977644,0.3531066223472258,0.17124344338167233,0.002629107981220657,0.03559870550161812,0.008176100628930818,0.029940119760479042,0.6702127659574468,0.229487970388649,0.4754878629224179,0.07589285714285714,0.08413751507840772,0.6005586592178771,0.33231861998985285,0.08661417322834646,0.02584769316286826,0.24713202411044138,0.007856341189674524,0.5984744768237825,0.06629834254143646,0.07212439115773699
2,0.2255,0.2255,1.1489230394363403,0.28909701108932495,0.37899258732795715,0.057493153276938956,0.15130072320942092,0.43185885962669396,0.24683739586547362,0.023661971830985916,0.038834951456310676,0.010691823899371069,0.04640718562874251,0.5914893617021276,0.25046267735965455,0.46930033317467873,0.06696428571428571,0.09197828709288298,0.5614525139664804,0.25773718924403854,0.09448818897637795,0.03029460811561979,0.19055026249270854,0.007407407407407408,0.723645609231371,0.06629834254143646,0.09572873735481453
3,0.2427,0.2427,1.1111255884170532,0.3519797921180725,0.39312219619750977,0.051542467263976814,0.13077788503478982,0.4241881871644081,0.26319037334156126,0.15192488262910797,0.042071197411003236,0.012578616352201259,0.06287425149700598,0.5822695035460993,0.23442319555829735,0.44169443122322705,0.07142857142857142,0.08775633293124246,0.5279329608938548,0.2506341958396753,0.11023622047244094,0.028627015008337964,0.1954112385767062,0.01818181818181818,0.7214942303931156,0.07734806629834254,0.10453353315848632
4,0.2861,0.2861,1.060639500617981,0.39402857422828674,0.4052766263484955,0.04290970489503892,0.10561696664831484,0.4290462797238558,0.27275532243134837,0.31661971830985913,0.05825242718446602,0.08490566037735849,0.11676646706586827,0.5957446808510638,0.23565700185070945,0.4464540694907187,0.13839285714285715,0.14324487334137515,0.5391061452513967,0.3069507864028412,0.14960629921259844,0.030572540300166758,0.2560762201049971,0.10437710437710437,0.7081947975748093,0.15469613259668508,0.14424878231547397
5,0.3646,0.3646,0.988095760345459,0.4197786748409271,0.415174663066864,0.028666242653280046,0.06888031684109139,0.43185885962669396,0.33137920394939835,0.4413145539906103,0.0744336569579288,0.24779874213836478,0.23203592814371257,0.48439716312056735,0.21406539173349784,0.40980485483103285,0.2767857142857143,0.3353437876960193,0.4581005586592179,0.4901065449010654,0.2440944881889764,0.03085047248471373,0.29846393155745676,0.48754208754208755,0.6289849403481322,0.4696132596685083,0.2266766579243162
6,0.4053,0.4053,0.941644549369812,0.4343394339084625,0.4236900210380554,0.02132850833486369,0.050221355054990785,0.4454103809767323,0.38444924406047515,0.5169953051643192,0.13915857605177995,0.330188679245283,0.3278443113772455,0.42127659574468085,0.23812461443553362,0.41361256544502617,0.33035714285714285,0.41857659831121835,0.39106145251396646,0.5443937087772704,0.3228346456692913,0.09699833240689272,0.3116857865059304,0.6356902356902356,0.5529043614316448,0.5911602209944752,0.29430498313975273
7,0.4439,0.4439,0.8923017978668213,0.4388450086116791,0.43090617656707764,0.01749336053109016,0.04050268664859748,0.4789056507287139,0.4112928108608454,0.5485446009389672,0.2621359223300971,0.3723270440251572,0.37574850299401197,0.48226950354609927,0.34608266502159163,0.4607329842931937,0.39732142857142855,0.4378769601930036,0.44972067039106145,0.56519533231862,0.3228346456692913,0.22484713729849917,0.3284075442348824,0.6291806958473625,0.5804811265401917,0.574585635359116,0.3319595354065193
8,0.4744,0.4744,0.8541784882545471,0.43664535880088806,0.4371722638607025,0.014086954771075981,0.03214935296670057,0.5129122986448479,0.43782783091638383,0.5201877934272301,0.37540453074433655,0.3805031446540881,0.3772455089820359,0.549645390070922,0.4380012338062924,0.5121370775821038,0.4107142857142857,0.45205066344993966,0.5279329608938548,0.5743277524099442,0.3700787401574803,0.33129516397998887,0.34824032665759286,0.5748597081930416,0.6575396049286133,0.574585635359116,0.36137130011240165
9,0.4798,0.4798,0.8275279402732849,0.4278402626514435,0.44278255105018616,0.011876356506407268,0.0267616572086995,0.551009971874201,0.44523295279234804,0.47136150234741786,0.4368932038834951,0.3559748427672956,0.36377245508982037,0.6234042553191489,0.5015422578655151,0.5625892432175155,0.40625,0.4209891435464415,0.6368715083798883,0.5560629122272958,0.33070866141732286,0.3849360755975542,0.37643398794477934,0.49607182940516276,0.7269704674359476,0.49171270718232046,0.36380666916448107
