round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1732,0.1732,1.2971488237380981,0.12971490621566772,0.35133883357048035,0.05288929016261539,0.15010917084175351,0.1495610051468362,0.1031331592689295,0.05429864253393665,0.06550802139037433,0.0572463768115942,0.20076972418216807,0.26494808449695667,0.17558886509635974,0.12507480550568523,0.26807563959955505,0.38043896804004623,0.3815217391304348,0.20792588780236748,0.0510783200908059,0.18319123020706454,0.11351351351351352,0.0686080947680158,0.08300395256916997,0.28188638799571275,0.12007874015748031
1,0.2176,0.2176,1.6291611194610596,0.27223172783851624,0.38567647337913513,0.07270149036133326,0.18801632725673917,0.23251589464123523,0.189621409921671,0.07433742727860375,0.2092245989304813,0.19130434782608696,0.16228351507376523,0.17830290010741137,0.1684511063526053,0.2998204667863555,0.42992213570634036,0.20177127454755486,0.4673913043478261,0.19763252702007206,0.1282633371169126,0.1315468940316687,0.19066339066339066,0.07922013820335637,0.1225296442687747,0.3689174705251876,0.10826771653543307
2,0.2894,0.2894,1.5786384344100952,0.3796965479850769,0.41494566202163696,0.04756015073046065,0.11434222080668469,0.3100211928549803,0.28067885117493474,0.11182934712346478,0.29612299465240643,0.25507246376811593,0.2777421423989737,0.25492302184031507,0.1905781584582441,0.3737283064033513,0.45689655172413796,0.28648440508278783,0.48586956521739133,0.2964487905301081,0.15891032917139614,0.17466504263093788,0.23194103194103194,0.25,0.1751292186074795,0.42765273311897106,0.13681102362204725
3,0.3679,0.3679,1.4656652212142944,0.4553626477718353,0.4381093680858612,0.03566854258811235,0.08122929087939182,0.34998486224644265,0.3413838120104439,0.15643180349062702,0.41711229946524064,0.32753623188405795,0.37524053880692754,0.3619763694951665,0.23768736616702354,0.504787552363854,0.4827586206896552,0.42395071236041587,0.5032608695652174,0.4307771487390633,0.2292849035187287,0.24092570036540803,0.27616707616707614,0.42843040473840077,0.2654302219519611,0.4870310825294748,0.22785433070866143
4,0.4256,0.4256,1.3560760021209717,0.5010514855384827,0.45651930570602417,0.027746434477528698,0.06064538508317499,0.4020587344838026,0.39784595300261094,0.22559793148028442,0.47927807486631013,0.413768115942029,0.44323284156510584,0.4189044038668099,0.2890792291220557,0.5535607420706165,0.5127919911012235,0.5040431266846361,0.49130434782608695,0.5537828100874935,0.30419977298524403,0.2869671132764921,0.3046683046683047,0.5582428430404739,0.3712374581939799,0.5084673097534834,0.33218503937007876
5,0.4521,0.4521,1.2878996133804321,0.5261316299438477,0.4721362292766571,0.023713699338307633,0.05012023571849856,0.3960036330608538,0.39784595300261094,0.2902391725921138,0.49532085561497324,0.44710144927536233,0.43617703656189866,0.4278553526673827,0.31977159172019987,0.5556552962298025,0.5197441601779755,0.5352329611089719,0.44782608695652176,0.5985589294904786,0.3439273552780931,0.32813641900121804,0.3307125307125307,0.6113030602171767,0.4180602006688963,0.5088960342979636,0.34596456692913385
6,0.4753,0.4753,1.2474424839019775,0.5373852849006653,0.486050009727478,0.020107205996650418,0.04128365793052981,0.39721465334544354,0.402088772845953,0.3329023917259211,0.5020053475935828,0.4702898550724638,0.4490057729313663,0.45864661654135336,0.3526052819414704,0.5682226211849192,0.5408787541713015,0.5567963034270312,0.4532608695652174,0.6150283067421514,0.3677639046538025,0.3697929354445798,0.3714987714987715,0.626604146100691,0.46670720583764064,0.5365487674169346,0.3784448818897638
7,0.5035,0.5035,1.2158963680267334,0.541111171245575,0.4986644387245178,0.018403833027163568,0.03683238509857259,0.4102331214047835,0.40404699738903394,0.35488041370394313,0.5220588235294118,0.5,0.4573444515715202,0.48800572860723235,0.41113490364025695,0.5855774985038898,0.5937152391546162,0.5737389295340778,0.49130434782608695,0.6186309830159548,0.3995459704880817,0.4114494518879415,0.4103194103194103,0.6179664363277394,0.5047126786257221,0.5734190782422294,0.4005905511811024
8,0.5234,0.5234,1.1634917259216309,0.5411756634712219,0.5096240043640137,0.016878043061651703,0.033053759551851546,0.4408113835906751,0.429177545691906,0.3826761473820297,0.5347593582887701,0.5152173913043478,0.4810776138550353,0.5123523093447906,0.4625267665952891,0.6152004787552364,0.6298665183537263,0.5818251829033501,0.5271739130434783,0.6057642820380854,0.41657207718501704,0.4406820950060901,0.44963144963144963,0.6095755182625864,0.5317725752508361,0.6160771704180065,0.4301181102362205
9,0.5416,0.5416,1.0850915908813477,0.5353851318359375,0.5185496807098389,0.014304662681653398,0.027532810071424815,0.48138056312443234,0.46116187989556134,0.39237233354880413,0.5608288770053476,0.5434782608695652,0.5022450288646568,0.5306122448979592,0.4917915774446824,0.6364452423698385,0.6543381535038932,0.5802849441663458,0.5543478260869565,0.6078229541945446,0.4279228149829739,0.4540803897685749,0.46584766584766585,0.6061204343534057,0.5503192459714199,0.637513397642015,0.45423228346456695
