round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2121,0.2121,0.38302224495014064,0.17432891082999075,0.0028169014084507044,0.03559870550161812,0.010062893081761006,0.029940119760479042,0.601418439716312,0.2769895126465145,0.5135649690623513,0.05803571428571429,0.09921592279855247,0.611731843575419,0.2937595129375951,0.08661417322834646,0.033351862145636464,0.21660509430293604,0.007407407407407408,0.6450224916878545,0.049723756906077346,0.07662045710003747
1,0.2325,0.2325,0.4548708770135515,0.2508485035482876,0.0552112676056338,0.042071197411003236,0.02830188679245283,0.04940119760479042,0.5205673758865248,0.28439235040098704,0.49071870537839124,0.07589285714285714,0.11700844390832328,0.5335195530726257,0.22171486555048198,0.09448818897637795,0.03474152306837132,0.16138440598872253,0.017732884399551067,0.7598278896929396,0.06077348066298342,0.10659423004870738
2,0.3152,0.3152,0.47097928918435183,0.2912681271212589,0.24845070422535212,0.05177993527508091,0.13962264150943396,0.1467065868263473,0.5617021276595745,0.26588525601480567,0.5130890052356021,0.15178571428571427,0.22014475271411338,0.5279329608938548,0.3419583967529173,0.15748031496062992,0.032795997776542525,0.26171495236243436,0.1925925925925926,0.7545472325444944,0.2430939226519337,0.23079805170475834
3,0.3451,0.3451,0.4962925083098952,0.31811169392162914,0.23981220657276994,0.07766990291262135,0.19371069182389938,0.17964071856287425,0.6099290780141844,0.2769895126465145,0.5616373155640171,0.17410714285714285,0.2867913148371532,0.6089385474860335,0.4013191273465246,0.2204724409448819,0.0358532518065592,0.2716313435737896,0.2383838383838384,0.7727361627224721,0.24861878453038674,0.2823154739602847
4,0.4067,0.4067,0.49680388647404755,0.33353903116322126,0.3812206572769953,0.08414239482200647,0.2742138364779874,0.24550898203592814,0.6865248226950355,0.2813078346699568,0.5878153260352214,0.25892857142857145,0.3425814234016888,0.6731843575418994,0.4926433282597666,0.2677165354330709,0.03613118399110617,0.4378767256465098,0.3429854096520763,0.7508312145511441,0.36464088397790057,0.30666916448107906
5,0.4483,0.4483,0.5545896190232678,0.4224004936747917,0.4484507042253521,0.16181229773462782,0.3433962264150943,0.3383233532934132,0.6468085106382979,0.30351634793337445,0.595430747263208,0.32589285714285715,0.4098311218335344,0.6480446927374302,0.5185185185185185,0.3464566929133858,0.0764313507504169,0.3789616955084581,0.4092031425364759,0.7598278896929396,0.44751381215469616,0.3962158111652304
6,0.4706,0.4706,0.5850166197903349,0.44955260721999385,0.5049765258215962,0.18770226537216828,0.3805031446540881,0.36377245508982037,0.6780141843971631,0.3466995681677977,0.6016182770109472,0.36160714285714285,0.436670687575392,0.6899441340782123,0.5322171486555048,0.3543307086614173,0.1178432462479155,0.43612677425627067,0.43905723905723903,0.7801681987091726,0.4419889502762431,0.3525665043087299
7,0.5012,0.5012,0.5893633341856302,0.47115087935822275,0.5491079812206573,0.255663430420712,0.4169811320754717,0.40119760479041916,0.7078014184397163,0.3942011104256632,0.6201808662541647,0.41964285714285715,0.46833534378769603,0.7067039106145251,0.5494672754946728,0.3937007874015748,0.19844357976653695,0.466653704063776,0.43703703703703706,0.7791902992372384,0.4696132596685083,0.3812289246908955
8,0.5185,0.5185,0.6133981079007926,0.5066337550138846,0.5415962441314554,0.284789644012945,0.4327044025157233,0.4296407185628742,0.6843971631205674,0.41270820481184456,0.6168491194669206,0.46875,0.4969843184559711,0.6675977653631285,0.5829528158295282,0.3700787401574803,0.21345191773207337,0.4544040443321019,0.5358024691358024,0.7844709563856835,0.5303867403314917,0.40820532034469836
9,0.537,0.537,0.6031705446177448,0.4912064177722925,0.5975586854460094,0.39805825242718446,0.489937106918239,0.41467065868263475,0.6936170212765957,0.4892041949413942,0.632555925749643,0.5267857142857143,0.5500603136308806,0.6955307262569832,0.589041095890411,0.36220472440944884,0.3185102834908282,0.42718257826171496,0.5160493827160494,0.7891648738509681,0.5248618784530387,0.4529786436867741
