round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2142,0.2142,0.395295320889798,0.1879049676025918,0.002629107981220657,0.03559870550161812,0.011320754716981131,0.03293413173652695,0.5865248226950355,0.2769895126465145,0.5049976201808662,0.0625,0.09861278648974668,0.5921787709497207,0.2815829528158295,0.08661417322834646,0.033351862145636464,0.204160995527902,0.007407407407407408,0.6643849012321533,0.049723756906077346,0.08111652304233795
1,0.2315,0.2315,0.45896190232677064,0.2545510644862697,0.05295774647887324,0.042071197411003236,0.026415094339622643,0.05089820359281437,0.48723404255319147,0.2850092535471931,0.48453117563065207,0.07589285714285714,0.11791314837153197,0.5223463687150838,0.2039573820395738,0.09448818897637795,0.03474152306837132,0.14621816060664983,0.017732884399551067,0.7615881087424213,0.06077348066298342,0.10809291869614088
2,0.3175,0.3175,0.4694451546918947,0.2934279543350818,0.25859154929577466,0.05825242718446602,0.12012578616352201,0.1437125748502994,0.5567375886524822,0.2640345465761875,0.5059495478343646,0.14285714285714285,0.20868516284680338,0.5223463687150838,0.34449518011161845,0.15748031496062992,0.032795997776542525,0.28465875947890334,0.2015712682379349,0.7506356346567573,0.2430939226519337,0.22517796927688272
3,0.3494,0.3494,0.4881104576834569,0.308546744831842,0.2375586854460094,0.07766990291262135,0.20943396226415095,0.17664670658682635,0.6283687943262412,0.2806909315237508,0.572584483579248,0.19196428571428573,0.29794933655006034,0.6229050279329609,0.41298833079654995,0.1968503937007874,0.0358532518065592,0.28329768617538403,0.24175084175084174,0.7709759436729904,0.26519337016574585,0.2789434245035594
4,0.4093,0.4093,0.507798517003324,0.3539031163221228,0.38873239436619716,0.08737864077669903,0.2647798742138365,0.25898203592814373,0.6780141843971631,0.2813078346699568,0.5849595430747263,0.26339285714285715,0.33775633293124246,0.6508379888268156,0.4779299847792998,0.25984251968503935,0.03557531962201223,0.4534318491153024,0.33692480359147026,0.742812438881283,0.3867403314917127,0.30947920569501686
5,0.45,0.45,0.5451291229864484,0.4109842641160136,0.4426291079812207,0.15210355987055016,0.3572327044025157,0.33083832335329344,0.650354609929078,0.3078346699568168,0.5973346025702047,0.33035714285714285,0.4234016887816647,0.6508379888268156,0.5256215119228818,0.33858267716535434,0.08087826570316843,0.3900447209799728,0.41952861952861953,0.7574809309602972,0.4585635359116022,0.4008992131884601
6,0.4716,0.4716,0.5903860905139351,0.4625115705029312,0.5008450704225352,0.19093851132686085,0.3754716981132076,0.36676646706586824,0.6680851063829787,0.364589759407773,0.5978105663969538,0.36607142857142855,0.4270205066344994,0.6731843575418994,0.5286656519533232,0.3779527559055118,0.1442468037798777,0.41746062609371964,0.43479236812570143,0.7774300801877567,0.44751381215469616,0.3578119145747471
7,0.5012,0.5012,0.5811812835591921,0.4557235421166307,0.5566197183098591,0.2297734627831715,0.40943396226415096,0.38023952095808383,0.7177304964539007,0.38186304750154226,0.6220847215611613,0.42410714285714285,0.45205066344993966,0.723463687150838,0.549974632166413,0.3700787401574803,0.17426347971095052,0.49776395100136106,0.4316498316498317,0.7768433405045961,0.4972375690607735,0.3808542525290371
8,0.5206,0.5206,0.6100741498338021,0.5032397408207343,0.5438497652582159,0.2815533980582524,0.449685534591195,0.43263473053892215,0.6801418439716312,0.41147439851943246,0.6163731556401714,0.48660714285714285,0.5081423401688782,0.664804469273743,0.5920852359208524,0.3700787401574803,0.21011673151750973,0.47929224188216996,0.5384960718294052,0.7739096420887933,0.5580110497237569,0.4016485575121768
9,0.539,0.539,0.6100741498338021,0.49305769824128354,0.5909859154929578,0.3851132686084142,0.47924528301886793,0.4251497005988024,0.6801418439716312,0.47748303516347934,0.6344597810566397,0.5178571428571429,0.5416164053075995,0.6675977653631285,0.5839675291730086,0.3700787401574803,0.3140633685380767,0.41959945557067857,0.5214365881032548,0.7895560336397418,0.5138121546961326,0.45166729112026976
