round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1471,0.1471,1.127591609954834,0.11275915056467056,0.3454383313655853,0.044325470857169764,0.1279462081532615,0.25031961135259523,0.0030854674483184203,0.002629107981220657,0.025889967637540454,0.005660377358490566,0.017964071856287425,0.26382978723404255,0.26835286859962987,0.45264159923845787,0.04017857142857143,0.129372738238842,0.4664804469273743,0.23693556570268898,0.047244094488188976,0.033351862145636464,0.10538596150106941,0.1627384960718294,0.3759045570115392,0.1270718232044199,0.03240914200074935
1,0.1804,0.1804,1.167375087738037,0.2046448141336441,0.36299046874046326,0.03235129476850999,0.08887951072031364,0.3354640756839683,0.10120333230484418,0.0024413145539906103,0.03559870550161812,0.00880503144654088,0.019461077844311378,0.4602836879432624,0.28192473781616284,0.49500237981913375,0.04017857142857143,0.10826296743063933,0.5782122905027933,0.2191780821917808,0.07874015748031496,0.03474152306837132,0.1689675286797589,0.020650953984287318,0.5472325444944259,0.06077348066298342,0.05807418508804796
2,0.2258,0.2258,1.1177763938903809,0.28329887986183167,0.3780723810195923,0.02724121394303835,0.07186282965213019,0.439785221171056,0.23110151187904968,0.06967136150234741,0.038834951456310676,0.012578616352201259,0.04491017964071856,0.5085106382978724,0.28439235040098704,0.49071870537839124,0.06696428571428571,0.10585042219541617,0.5251396648044693,0.21714865550481988,0.09448818897637795,0.03446359088382435,0.1578845032082442,0.016835016835016835,0.7334246039507138,0.08287292817679558,0.09891345073061071
3,0.2612,0.2612,1.0275064706802368,0.3381851613521576,0.3899577260017395,0.020684683173451672,0.052907723259469845,0.4574277678343135,0.2693613082381981,0.24582159624413147,0.06472491909385113,0.02012578616352201,0.08233532934131736,0.5120567375886524,0.26835286859962987,0.47310804378867205,0.08928571428571429,0.11278648974668275,0.4888268156424581,0.2237442922374429,0.11023622047244094,0.03418565869927738,0.1724674314602372,0.04691358024691358,0.7576765108546841,0.09944751381215469,0.1264518546272012
4,0.3181,0.3181,0.9097384810447693,0.3676513731479645,0.398525595664978,0.015026467355345593,0.03761077517533077,0.4408079774993608,0.28540573896945387,0.39868544600938965,0.07119741100323625,0.07547169811320754,0.1347305389221557,0.5368794326241135,0.2418260333127699,0.43741075678248453,0.16964285714285715,0.1691797346200241,0.505586592178771,0.3637747336377473,0.15748031496062992,0.0311284046692607,0.27960334435154577,0.2671156004489338,0.7040876197926853,0.30386740331491713,0.1725365305357812
5,0.3736,0.3736,0.9219332933425903,0.3868487477302551,0.40710440278053284,0.014026270567381066,0.03436931939919306,0.43185885962669396,0.35945695772909597,0.4484507042253521,0.08414239482200647,0.25849056603773585,0.2754491017964072,0.41418439716312055,0.1998766193707588,0.37791527843883865,0.26785714285714285,0.3615802171290712,0.38268156424581007,0.528158295281583,0.25984251968503935,0.033073929961089495,0.29651954112385764,0.6067340067340067,0.5787209074907099,0.5248618784530387,0.28531285125515177
6,0.3986,0.3986,0.8659887313842773,0.39401546120643616,0.41421735286712646,0.012259357789840974,0.02952515761971077,0.44950140628995144,0.39401419315026226,0.42741784037558683,0.18770226537216828,0.3553459119496855,0.3532934131736527,0.3964539007092199,0.24120913016656384,0.4117087101380295,0.35267857142857145,0.425211097708082,0.3854748603351955,0.5372907153729072,0.33070866141732286,0.10644802668148971,0.27279797783394905,0.6231200897867565,0.532172892626638,0.5580110497237569,0.3673660547021356
7,0.4293,0.4293,0.8758450150489807,0.398868203163147,0.42134466767311096,0.01194479516621882,0.028282102463914445,0.4886218358476093,0.4267201481024375,0.4516431924882629,0.28802588996763756,0.39308176100628933,0.39820359281437123,0.4595744680851064,0.34608266502159163,0.4797715373631604,0.42857142857142855,0.4677322074788902,0.4776536312849162,0.5494672754946728,0.2992125984251969,0.2198443579766537,0.2739646120941085,0.5701459034792368,0.560923137101506,0.5414364640883977,0.38235294117647056
8,0.4572,0.4572,0.8637991547584534,0.4015091359615326,0.4280391037464142,0.010877691310979242,0.025353612796582194,0.5279979544873434,0.4424560320888615,0.48732394366197185,0.37540453074433655,0.4320754716981132,0.40119760479041916,0.5602836879432624,0.44540407156076495,0.5368871965730605,0.48214285714285715,0.49758745476477684,0.5754189944134078,0.547945205479452,0.3464566929133858,0.33351862145636463,0.2910752479097803,0.49876543209876545,0.6405241541169567,0.4972375690607735,0.36998875983514423
9,0.4768,0.4768,0.8362150192260742,0.40101712942123413,0.43402519822120667,0.009751665209359486,0.022416322661844627,0.551009971874201,0.439370564640543,0.5198122065727699,0.43042071197411,0.4389937106918239,0.38622754491017963,0.6304964539007092,0.5040098704503393,0.569728700618753,0.5178571428571429,0.4945717732207479,0.6424581005586593,0.5367833587011669,0.36220472440944884,0.3907726514730406,0.33074081275520123,0.4469135802469136,0.7015450811656562,0.4530386740331492,0.35612588984638444
10,0.4901,0.4901,0.8174868226051331,0.3989415168762207,0.4395190179347992,0.009128985832366423,0.020723250213269102,0.5407824085911531,0.4227090404196236,0.5491079812206573,0.44336569579288027,0.44842767295597485,0.36676646706586824,0.6695035460992907,0.5157310302282542,0.572584483579248,0.4955357142857143,0.4864294330518697,0.6787709497206704,0.5383054287163876,0.33070866141732286,0.4127292940522512,0.38673925724285435,0.43524130190796856,0.7220809700762761,0.4530386740331492,0.36399400524541026
11,0.5048,0.5048,0.7716732621192932,0.3941293954849243,0.44407206773757935,0.007643709806474698,0.017174094625460826,0.5285093326514958,0.4214748534402962,0.5821596244131455,0.41423948220064727,0.46855345911949686,0.37425149700598803,0.6886524822695036,0.5200493522516965,0.5792479771537363,0.5133928571428571,0.5036188178528347,0.6815642458100558,0.5398274987316083,0.3464566929133858,0.4093941078376876,0.4267937001749951,0.4624017957351291,0.7273616272247213,0.44751381215469616,0.3890970400899213
12,0.5211,0.5211,0.7732047438621521,0.38954460620880127,0.4485604166984558,0.007247166597793126,0.0161205620615264,0.5387368959345435,0.4356680037025609,0.6018779342723005,0.3883495145631068,0.49937106918238994,0.4041916167664671,0.6822695035460993,0.4879703886489821,0.5906711089957163,0.5669642857142857,0.5322677925211098,0.6787709497206704,0.5672247590055809,0.3858267716535433,0.36964980544747084,0.4528485319852226,0.49854096520763186,0.7220809700762761,0.4972375690607735,0.4351817159985013
13,0.5407,0.5407,0.7616881728172302,0.3848699927330017,0.45276492834091187,0.006904343007898007,0.015215682342710278,0.5620046024034774,0.4671397716754088,0.6202816901408451,0.35275080906148865,0.5440251572327044,0.4595808383233533,0.6773049645390071,0.46822948797038866,0.6044740599714422,0.5625,0.5802171290711701,0.6620111731843575,0.6047691527143582,0.4330708661417323,0.3354641467481934,0.4654870698036166,0.5598204264870932,0.7081947975748093,0.5359116022099447,0.4615961034095167
14,0.555,0.555,0.7398878335952759,0.37802568078041077,0.456530898809433,0.006133886867752827,0.013406497536481495,0.5924316031705447,0.5081764887380438,0.6306103286384976,0.36893203883495146,0.5880503144654088,0.5059880239520959,0.64822695035461,0.46699568167797656,0.6001903855306997,0.5758928571428571,0.6245476477683957,0.664804469273743,0.6306443429731101,0.5118110236220472,0.3360200111172874,0.464514874586817,0.6170594837261504,0.6927439859182476,0.6077348066298343,0.4660921693518172
15,0.564,0.564,0.7120463848114014,0.36971578001976013,0.4597894549369812,0.005384756569573177,0.0116859370627516,0.6001022756328305,0.5199012650416538,0.6304225352112676,0.4110032362459547,0.6157232704402515,0.5089820359281437,0.6312056737588653,0.4805675508945096,0.5911470728224655,0.5892857142857143,0.6474668275030157,0.6675977653631285,0.6458650431253171,0.5275590551181102,0.3596442468037799,0.4736535096247326,0.6516273849607183,0.6882456483473499,0.6132596685082873,0.47602098164106404
16,0.5745,0.5745,0.7224714159965515,0.36160069704055786,0.46315428614616394,0.005409254047401092,0.011653999992790539,0.6254154947583738,0.5307004011107683,0.6150234741784038,0.4336569579288026,0.6044025157232704,0.5134730538922155,0.650354609929078,0.5114127082048119,0.615421227986673,0.5892857142857143,0.6441495778045838,0.6843575418994413,0.6560121765601218,0.5354330708661418,0.38465814341300725,0.48240326657592847,0.6547699214365881,0.7193428515548601,0.6353591160220995,0.48295241663544397
17,0.5752,0.5752,0.7146338224411011,0.3532298505306244,0.46634092926979065,0.005141708044958434,0.011002049516596446,0.6387113270263359,0.5257636531934589,0.5857276995305164,0.47249190938511326,0.5622641509433962,0.49251497005988026,0.6815602836879433,0.5453423812461443,0.6358876725368872,0.5758928571428571,0.6275633293124246,0.7150837988826816,0.6560121765601218,0.5275590551181102,0.415508615897721,0.48279214466264825,0.6294051627384961,0.766086446313319,0.6077348066298343,0.4975646309479206
18,0.5735,0.5735,0.7024499177932739,0.3442549705505371,0.4692903757095337,0.005202824852939158,0.011063005159502962,0.6318077218102787,0.5115705029311941,0.5532394366197183,0.4886731391585761,0.540251572327044,0.45209580838323354,0.7028368794326241,0.5718692165330043,0.6644455021418372,0.5580357142857143,0.6103739445114595,0.7262569832402235,0.6539827498731609,0.4645669291338583,0.4413563090605892,0.4705424849309741,0.6017957351290685,0.7954234304713476,0.569060773480663,0.5162982390408393
19,0.5704,0.5704,0.7043474316596985,0.3363158106803894,0.4722205400466919,0.0048908564686655255,0.010335258203675928,0.6233699821017643,0.49953717988275226,0.5404694835680751,0.5080906148867314,0.5471698113207547,0.4431137724550898,0.7219858156028369,0.5835903763109191,0.6849119466920514,0.5714285714285714,0.6203256936067552,0.7458100558659218,0.6555048198883815,0.4094488188976378,0.44163424124513617,0.4684036554540152,0.5813692480359147,0.8102875024447487,0.56353591160221,0.5241663544398651
