round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2149,0.2149,0.2408906882591093,0.08065512978986403,0.0368075117370892,0.032362459546925564,0.0684931506849315,0.03177570093457944,0.5619834710743802,0.20964125560538116,0.26932858596134285,0.11570247933884298,0.25944841675178754,0.7520891364902507,0.39431704885343966,0.08152173913043478,0.031854937515314874,0.3670848708487085,0.05208801077682981,0.46684920790142775,0.1286549707602339,0.06014362657091562
1,0.2676,0.2676,0.3319838056680162,0.12330037082818295,0.013896713615023475,0.03559870550161812,0.1780821917808219,0.048598130841121495,0.6766528925619835,0.2830717488789238,0.4811800610376399,0.12396694214876033,0.3258426966292135,0.8189415041782729,0.40428713858424725,0.16847826086956522,0.07302131830433717,0.3684132841328413,0.022676246070947464,0.5969098376686877,0.09941520467836257,0.11804308797127469
2,0.3521,0.3521,0.35298582995951416,0.1542027194066749,0.08544600938967137,0.05177993527508091,0.2945205479452055,0.08224299065420561,0.7474173553719008,0.3116591928251121,0.6564089521871821,0.23140495867768596,0.32175689479060265,0.8272980501392758,0.405284147557328,0.266304347826087,0.11100220534182799,0.5070110701107011,0.054108666367310286,0.6430666927439859,0.19298245614035087,0.361983842010772
3,0.4012,0.4012,0.36614372469635625,0.17521631644004945,0.23849765258215963,0.0744336569579288,0.3287671232876712,0.10654205607476636,0.7613636363636364,0.3189461883408072,0.6973550356052899,0.2892561983471074,0.33094994892747703,0.8161559888579387,0.40628115653040875,0.2826086956521739,0.11320754716981132,0.5626568265682657,0.08239784463403682,0.6819870917269705,0.23391812865497075,0.5224416517055656
4,0.4362,0.4362,0.37803643724696356,0.20457354758961682,0.35981220657276997,0.10679611650485436,0.3424657534246575,0.13271028037383178,0.7804752066115702,0.33183856502242154,0.7049847405900305,0.34710743801652894,0.3299284984678243,0.807799442896936,0.41824526420737784,0.33152173913043476,0.13599607939230582,0.6307011070110701,0.1207903008531657,0.7019362409544299,0.26900584795321636,0.5516157989228008
5,0.4632,0.4632,0.4192813765182186,0.2388751545117429,0.3447887323943662,0.13592233009708737,0.3527397260273973,0.14766355140186915,0.7784090909090909,0.3396860986547085,0.737029501525941,0.39669421487603307,0.3769152196118488,0.8133704735376045,0.4411764705882353,0.33152173913043476,0.14873805439843177,0.5849446494464945,0.13762909744050292,0.7584588304322316,0.27485380116959063,0.6943447037701975
6,0.4902,0.4902,0.42029352226720645,0.24907292954264523,0.41333333333333333,0.14563106796116504,0.4041095890410959,0.18504672897196262,0.7944214876033058,0.34977578475336324,0.7606815869786369,0.4132231404958678,0.4024514811031665,0.7938718662952646,0.4865403788634098,0.391304347826087,0.1627052193089929,0.629520295202952,0.21688370004490345,0.7572853510659104,0.36257309941520466,0.6885098743267505
7,0.5192,0.5192,0.4331983805668016,0.26761433868974044,0.49014084507042255,0.18122977346278318,0.410958904109589,0.22429906542056074,0.7995867768595041,0.3665919282511211,0.7657680569684638,0.4380165289256198,0.4044943820224719,0.8133704735376045,0.5019940179461615,0.40217391304347827,0.18647390345503553,0.6422140221402214,0.2586439155814998,0.7518091140230784,0.3508771929824561,0.7345152603231598
8,0.5383,0.5383,0.4476214574898785,0.29326328800988877,0.528262910798122,0.22006472491909385,0.4486301369863014,0.23551401869158878,0.8052685950413223,0.4170403587443946,0.7713631739572736,0.4628099173553719,0.4136874361593463,0.7966573816155988,0.5159521435692921,0.44021739130434784,0.2477333986767949,0.659040590405904,0.2900763358778626,0.7627615881087424,0.38596491228070173,0.724640933572711
9,0.5427,0.5427,0.4643218623481781,0.30902348578491967,0.48751173708920187,0.21359223300970873,0.4246575342465753,0.2616822429906542,0.8145661157024794,0.413677130044843,0.7789928789420142,0.45454545454545453,0.43922369765066394,0.8189415041782729,0.532901296111665,0.45108695652173914,0.24234256309728008,0.6599261992619926,0.29434216434665467,0.7764521807158224,0.4152046783625731,0.7722172351885098
