round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1,0.1,1.1345195770263672,0.11345195770263672,0.3456651270389557,0.04407841305040241,0.1271498331167565,0.0012651821862348178,0.004326328800988875,0.0011267605633802818,0.016181229773462782,0.017123287671232876,0.06728971962616823,0.0025826446280991736,0.002802690582959641,0.1889623601220753,0.0743801652892562,0.006128702757916241,0.013927576601671309,0.0024925224327018943,0.02717391304347826,0.001470227885322225,0.006937269372693727,0.002020655590480467,0.07040876197926853,0.029239766081871343,0.8346050269299821
1,0.2252,0.2252,1.3638639450073242,0.2293635755777359,0.3699876368045807,0.05015998832291502,0.13520663048223627,0.20445344129554655,0.04666254635352287,0.0028169014084507044,0.03559870550161812,0.0547945205479452,0.08598130841121496,0.41838842975206614,0.1827354260089686,0.3769074262461852,0.12396694214876033,0.2522982635342186,0.6267409470752089,0.30757726819541376,0.06521739130434782,0.027689291840235237,0.1989667896678967,0.00673551863493489,0.42675532955212203,0.07602339181286549,0.6485637342908438
2,0.278,0.278,1.4299439191818237,0.33668991923332214,0.39492955803871155,0.050103284461234285,0.12654595607720578,0.2854251012145749,0.1100123609394314,0.003004694835680751,0.045307443365695796,0.22945205479452055,0.06542056074766354,0.6802685950413223,0.2589686098654709,0.5427263479145473,0.17355371900826447,0.28907048008171604,0.766016713091922,0.39531405782652046,0.20108695652173914,0.07914726782651312,0.3388929889298893,0.00673551863493489,0.5421474672403677,0.09941520467836257,0.3606373429084381
3,0.3119,0.3119,1.2983778715133667,0.4136103689670563,0.4138447940349579,0.04575127574674467,0.11028528356773673,0.32818825910931176,0.138442521631644,0.016338028169014085,0.05177993527508091,0.2808219178082192,0.06542056074766354,0.734504132231405,0.2982062780269058,0.634028484231943,0.19834710743801653,0.3084780388151175,0.7966573816155988,0.39730807577268196,0.22826086956521738,0.10095564812545944,0.3973431734317343,0.011899416255051639,0.6078623117543517,0.11695906432748537,0.35727109515260325
4,0.3483,0.3483,1.1762323379516602,0.46076565980911255,0.42824065685272217,0.030349162316335013,0.07070430499026142,0.340080971659919,0.16223733003708282,0.11061032863849765,0.05825242718446602,0.3321917808219178,0.08971962616822429,0.7463842975206612,0.29652466367713004,0.6866734486266531,0.256198347107438,0.31562819203268644,0.7910863509749304,0.4122632103688933,0.29347826086956524,0.11100220534182799,0.43749077490774907,0.043780871127076786,0.6319186387639351,0.15789473684210525,0.4526481149012567
5,0.3967,0.3967,1.0839900970458984,0.48411840200424194,0.43966642022132874,0.024324065023630933,0.055198362996240896,0.347419028340081,0.17459826946847962,0.2428169014084507,0.08090614886731391,0.3561643835616438,0.1233644859813084,0.7365702479338843,0.31053811659192826,0.6983723296032553,0.33884297520661155,0.35240040858018384,0.7520891364902507,0.44666001994017945,0.30978260869565216,0.137221269296741,0.48457564575645756,0.14301751234845084,0.6469782906317231,0.23976608187134502,0.5614901256732495
6,0.4305,0.4305,1.0165942907333374,0.4906928539276123,0.4491192102432251,0.01936876237875226,0.04303029494850089,0.3714574898785425,0.20210135970333745,0.29352112676056336,0.11974110032362459,0.386986301369863,0.18878504672897195,0.7231404958677686,0.3391255605381166,0.6897253306205493,0.3884297520661157,0.37793667007150156,0.7186629526462396,0.4626121635094716,0.32608695652173914,0.176427346238667,0.5229520295202952,0.21441400987876066,0.6618423626051242,0.34502923976608185,0.6214093357271095
7,0.454,0.454,0.9792558550834656,0.48758313059806824,0.4574717581272125,0.015491676199211789,0.03378981567478209,0.42105263157894735,0.2725587144622991,0.2984037558685446,0.15857605177993528,0.386986301369863,0.24485981308411214,0.7128099173553719,0.34697309417040356,0.6675991861648016,0.4132231404958678,0.41164453524004085,0.7186629526462396,0.47557328015952144,0.34782608695652173,0.18696397941680962,0.5295940959409594,0.2665020206555905,0.6753373753178173,0.3684210526315789,0.6887342908438061
8,0.4814,0.4814,0.9842290878295898,0.48406997323036194,0.46569809317588806,0.013912525313496425,0.029810546725874677,0.45546558704453444,0.3473423980222497,0.3412206572769953,0.19093851132686085,0.4212328767123288,0.32897196261682243,0.7055785123966942,0.3508968609865471,0.6434384537131231,0.4132231404958678,0.44126659856996936,0.7075208913649025,0.5214356929212363,0.3967391304347826,0.20950747365841704,0.5380073800738008,0.3349797934440952,0.6892235478192842,0.4327485380116959,0.7374326750448833
9,0.512,0.512,0.9580373764038086,0.48166051506996155,0.4731641411781311,0.01324816027414724,0.027940029883386418,0.4800101214574899,0.3831891223733004,0.42347417840375584,0.27184466019417475,0.4212328767123288,0.3532710280373832,0.7035123966942148,0.37331838565022424,0.6358087487283826,0.4297520661157025,0.46884576098059244,0.7019498607242339,0.5508474576271186,0.41847826086956524,0.24356775300171526,0.5628044280442804,0.3866187696452627,0.6945042049677294,0.4619883040935672,0.7616696588868941
