round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1,0.1,1.1347241401672363,0.11347240209579468,0.34567180275917053,0.0444685251008338,0.12827269119353685,0.0012651821862348178,0.004326328800988875,0.0011267605633802818,0.016181229773462782,0.017123287671232876,0.06728971962616823,0.0025826446280991736,0.002802690582959641,0.1889623601220753,0.0743801652892562,0.006128702757916241,0.013927576601671309,0.0024925224327018943,0.02717391304347826,0.001470227885322225,0.006937269372693727,0.002020655590480467,0.07040876197926853,0.029239766081871343,0.8346050269299821
1,0.2294,0.2294,1.3646063804626465,0.23000936210155487,0.37002119421958923,0.049777741326857486,0.13416414507413957,0.20951417004048584,0.04789864029666255,0.0028169014084507044,0.038834951456310676,0.05821917808219178,0.08411214953271028,0.4375,0.19114349775784753,0.38708036622583925,0.1322314049586777,0.25842696629213485,0.6323119777158774,0.3165503489531406,0.08695652173913043,0.031854937515314874,0.21062730627306273,0.006960035922766053,0.43105808722863287,0.07602339181286549,0.6202872531418312
2,0.2829,0.2829,1.3851500749588013,0.33214071393013,0.3933611512184143,0.04491279438720948,0.11388747154339963,0.2990890688259109,0.10754017305315204,0.003004694835680751,0.045307443365695796,0.2191780821917808,0.07289719626168224,0.6709710743801653,0.2757847533632287,0.5516276703967447,0.17355371900826447,0.3084780388151175,0.7883008356545961,0.39032901296111666,0.20652173913043478,0.08159764763538349,0.33505535055350555,0.007184553210597216,0.5519264619597105,0.08771929824561403,0.3527827648114901
3,0.3049,0.3049,1.3146387338638306,0.40949350595474243,0.41287821531295776,0.041949553704938775,0.10135724025295277,0.32388663967611336,0.13535228677379482,0.017089201877934272,0.05177993527508091,0.2636986301369863,0.07102803738317758,0.7355371900826446,0.289237668161435,0.6139369277721262,0.2231404958677686,0.2982635342185904,0.8050139275766016,0.39930209371884345,0.2391304347826087,0.09703504043126684,0.3892250922509225,0.009654243376740009,0.5994523762957168,0.1111111111111111,0.32966786355475763
4,0.3431,0.3431,1.1930173635482788,0.45740965008735657,0.42778104543685913,0.03391165846632114,0.07908852041668632,0.33780364372469635,0.15976514215080345,0.1231924882629108,0.05501618122977346,0.3219178082191781,0.08598130841121496,0.7577479338842975,0.29652466367713004,0.6660732451678535,0.24793388429752067,0.30643513789581206,0.7910863509749304,0.405284147557328,0.27717391304347827,0.10855182553295761,0.4398523985239852,0.033902110462505616,0.628007040876198,0.14619883040935672,0.41584380610412924
5,0.3945,0.3945,1.119381308555603,0.483970582485199,0.4401099681854248,0.02695617264186058,0.06110986961539099,0.3410931174089069,0.17676143386897405,0.27342723004694836,0.07766990291262135,0.3527397260273973,0.13644859813084112,0.7479338842975206,0.3015695067264574,0.6869277721261444,0.35537190082644626,0.33605720122574056,0.754874651810585,0.45363908275174475,0.30978260869565216,0.13379073756432247,0.4988929889298893,0.14458913336326898,0.64032857422257,0.23976608187134502,0.5363554757630161
6,0.428,0.428,1.0301214456558228,0.4926803708076477,0.4498569965362549,0.021068286416125515,0.04672942103146745,0.37398785425101216,0.21137206427688504,0.28450704225352114,0.10679611650485436,0.386986301369863,0.17383177570093458,0.7195247933884298,0.33408071748878926,0.6828585961342828,0.4132231404958678,0.36976506639427986,0.7186629526462396,0.4641076769690927,0.3423913043478261,0.17422200441068367,0.5050922509225092,0.23080377189043558,0.6649716409153139,0.3742690058479532,0.6144524236983842
7,0.4595,0.4595,1.0440248250961304,0.49769559502601624,0.4596167206764221,0.01913029958896243,0.04153192606831406,0.4215587044534413,0.2796662546353523,0.3012206572769953,0.1423948220064725,0.3972602739726027,0.2336448598130841,0.7014462809917356,0.37051569506726456,0.6805696846388606,0.4132231404958678,0.42594484167517876,0.6963788300835655,0.48504486540378866,0.358695652173913,0.20828228375398186,0.512619926199262,0.27570722945666815,0.6974379033835322,0.40350877192982454,0.6597845601436265
8,0.4824,0.4824,0.987747311592102,0.49676740169525146,0.4678584337234497,0.014952212322811359,0.03189067583591924,0.4691295546558704,0.34085290482076636,0.3419718309859155,0.1941747572815534,0.4452054794520548,0.30467289719626167,0.7097107438016529,0.38789237668161436,0.6759918616480163,0.4214876033057851,0.45658835546475995,0.6991643454038997,0.4950149551345962,0.3858695652173913,0.2445479049252634,0.5242804428044281,0.3082622361921868,0.708585957363583,0.4093567251461988,0.6833482944344704
9,0.515,0.515,0.943247377872467,0.4910249412059784,0.4749733805656433,0.012212801374942281,0.02565858065513806,0.49114372469635625,0.3878244746600742,0.4230985915492958,0.2750809061488673,0.5136986301369864,0.34579439252336447,0.7241735537190083,0.40919282511210764,0.6757375381485249,0.45454545454545453,0.4627170582226762,0.7186629526462396,0.5219341974077767,0.45652173913043476,0.28669443763783387,0.5515867158671587,0.347103726986978,0.7050655192646196,0.4152046783625731,0.7140933572710951
10,0.5375,0.5375,0.9238318800926208,0.48401325941085815,0.4815375506877899,0.011447356770539601,0.023723245484673663,0.4772267206477733,0.37639060568603216,0.5201877934272301,0.313915857605178,0.5,0.34205607476635513,0.7360537190082644,0.43890134529147984,0.6838758901322483,0.49586776859504134,0.46782431052093976,0.7214484679665738,0.5558325024925225,0.4782608695652174,0.32663562852242095,0.589520295202952,0.3893129770992366,0.6945042049677294,0.4269005847953216,0.7284560143626571
11,0.5479,0.5479,0.8275660276412964,0.46953073143959045,0.4862183630466461,0.008967772355527898,0.018406063965756822,0.44711538461538464,0.32601977750309025,0.5969953051643192,0.343042071197411,0.5102739726027398,0.32149532710280376,0.7391528925619835,0.44730941704035876,0.7016785350966429,0.5289256198347108,0.4811031664964249,0.7353760445682451,0.5732801595214357,0.45652173913043476,0.3303111982357265,0.6150553505535056,0.41894925909295017,0.6939174652845688,0.4853801169590643,0.7320466786355476
12,0.5522,0.5522,0.8216410279273987,0.4563455283641815,0.4907088279724121,0.007948965401774992,0.016166000994029293,0.4291497975708502,0.2812113720642769,0.6163380281690141,0.3042071197411003,0.4452054794520548,0.27289719626168224,0.756198347107438,0.4489910313901345,0.7235503560528993,0.5289256198347108,0.49540347293156284,0.7465181058495822,0.5877367896311066,0.44021739130434784,0.30678755207057096,0.6377859778597786,0.43174674449932643,0.703109720320751,0.47953216374269003,0.7360861759425493
13,0.5521,0.5521,0.8320790529251099,0.44408607482910156,0.49528855085372925,0.00824922965968751,0.016621841558699987,0.4187753036437247,0.2592707045735476,0.5932394366197183,0.2783171521035599,0.4075342465753425,0.2485981308411215,0.7737603305785123,0.43385650224215244,0.7444048830111902,0.49586776859504134,0.5066394279877426,0.7715877437325905,0.6086739780658026,0.43478260869565216,0.2825287919627542,0.6523985239852399,0.44162550516389765,0.7189516917660864,0.49122807017543857,0.7342908438061041
14,0.5588,0.5588,0.7938842177391052,0.4306591749191284,0.49915945529937744,0.007348467073766505,0.014692248633724174,0.42383603238866396,0.2580346106304079,0.5631924882629108,0.23624595469255663,0.3904109589041096,0.2467289719626168,0.7794421487603306,0.4327354260089686,0.7573753814852492,0.49586776859504134,0.5311542390194075,0.7938718662952646,0.6365902293120638,0.44021739130434784,0.26709139916687086,0.6624354243542435,0.46834306241580603,0.7299041658517504,0.5146198830409356,0.7452872531418312
15,0.5687,0.5687,0.819719672203064,0.41873449087142944,0.5033765435218811,0.007189476114383583,0.01425418411447535,0.4347165991902834,0.27873918417799753,0.5620657276995306,0.2297734627831715,0.4143835616438356,0.2616822429906542,0.7851239669421488,0.43385650224215244,0.7662767039674466,0.5206611570247934,0.5546475995914198,0.7938718662952646,0.6630109670987039,0.45652173913043476,0.26439598137711345,0.6580073800738008,0.5,0.7404654801486407,0.5672514619883041,0.7544883303411131
16,0.5808,0.5808,0.7937873601913452,0.40697789192199707,0.5071045756340027,0.00644798811274185,0.012690277596292416,0.47368421052631576,0.334672435105068,0.56,0.2297734627831715,0.4349315068493151,0.3233644859813084,0.7902892561983471,0.44786995515695066,0.7614445574771109,0.5371900826446281,0.5781409601634321,0.8022284122562674,0.6914257228315055,0.4673913043478261,0.28326390590541534,0.6515129151291513,0.5332285585990121,0.7502444748679836,0.5789473684210527,0.7713195691202872
17,0.5977,0.5977,0.7988894581794739,0.39647984504699707,0.5108481645584106,0.006512772450179134,0.012724032049226808,0.5058198380566802,0.39060568603213847,0.5624413145539906,0.255663430420712,0.4828767123287671,0.394392523364486,0.7892561983471075,0.4585201793721973,0.7510172939979655,0.5537190082644629,0.5934627170582226,0.7855153203342619,0.693419740777667,0.4891304347826087,0.3116883116883117,0.6583025830258302,0.5621912887292322,0.7443770780363779,0.6023391812865497,0.7899461400359067
18,0.6065,0.6065,0.7783907055854797,0.38553953170776367,0.514212965965271,0.005813201043632913,0.011283103158597069,0.5293522267206477,0.4258343634116193,0.5678873239436619,0.2977346278317152,0.5205479452054794,0.4392523364485981,0.7918388429752066,0.4826233183856502,0.7444048830111902,0.5206611570247934,0.5863125638406538,0.7743732590529248,0.6994017946161516,0.483695652173913,0.3418279833374173,0.6619926199261993,0.5655590480466995,0.748288675924115,0.5964912280701754,0.7984739676840216
19,0.6133,0.6133,0.7814203500747681,0.3748079538345337,0.5175684094429016,0.005528288167278338,0.0106606728574488,0.5468117408906883,0.4496291718170581,0.5753990610328639,0.32038834951456313,0.523972602739726,0.4504672897196262,0.7789256198347108,0.49887892376681614,0.7505086469989827,0.5289256198347108,0.5760980592441267,0.7688022284122563,0.6979062811565304,0.4945652173913043,0.3771134525851507,0.6733579335793358,0.5547822182308038,0.7494621552904361,0.5789473684210527,0.8025134649910234
20,0.6129,0.6129,0.7275360226631165,0.36157581210136414,0.5200878381729126,0.005148306868768915,0.009879921371453219,0.5399797570850202,0.4295426452410383,0.584037558685446,0.3592233009708738,0.5068493150684932,0.42990654205607476,0.7763429752066116,0.5061659192825112,0.7662767039674466,0.5206611570247934,0.5658835546475995,0.7632311977715878,0.6719840478564307,0.5,0.40039206076941924,0.6864944649446495,0.5339021104625056,0.7559162918052025,0.5380116959064327,0.7995960502692998
21,0.6108,0.6108,0.6859540939331055,0.3465466797351837,0.5220074653625488,0.004514022230537141,0.008630894450823986,0.5306174089068826,0.4026576019777503,0.6060093896713615,0.34951456310679613,0.5,0.38878504672897196,0.7861570247933884,0.5084080717488789,0.7906917599186165,0.5454545454545454,0.5607763023493361,0.7688022284122563,0.654037886340977,0.4891304347826087,0.3991668708649841,0.7016974169741698,0.5049393803322856,0.7570897711715235,0.5380116959064327,0.7982495511669659
22,0.6059,0.6059,0.7798566818237305,0.3376741409301758,0.5252129435539246,0.005270513931367933,0.010015933655626296,0.5111336032388664,0.3804079110012361,0.6323004694835681,0.33980582524271846,0.5068493150684932,0.3719626168224299,0.7964876033057852,0.5095291479820628,0.8003560528992879,0.5454545454545454,0.5526046986721144,0.766016713091922,0.6430707876370887,0.47282608695652173,0.3871600098015192,0.7061254612546125,0.48922317018410416,0.7563074515939762,0.543859649122807,0.8025134649910234
23,0.6058,0.6058,0.77031409740448,0.329338937997818,0.5282272100448608,0.005241046242399115,0.009903206303309401,0.5083502024291497,0.377008652657602,0.6424413145539906,0.32362459546925565,0.5068493150684932,0.35887850467289717,0.8083677685950413,0.4977578475336323,0.8100203458799593,0.5289256198347108,0.5495403472931563,0.7688022284122563,0.6470588235294118,0.483695652173913,0.3602058319039451,0.7052398523985239,0.4946115850920521,0.7645218071582242,0.5555555555555556,0.8148563734290843
24,0.6116,0.6116,0.7661306858062744,0.3223622143268585,0.5311339497566223,0.005181131737712352,0.009736517920125193,0.5161943319838057,0.39245982694684795,0.6452582159624413,0.31715210355987056,0.5171232876712328,0.37383177570093457,0.8042355371900827,0.4994394618834081,0.8166327568667345,0.5537190082644629,0.5781409601634321,0.7771587743732591,0.6694915254237288,0.4891304347826087,0.35653026219063955,0.6963837638376383,0.5177368657386618,0.7727361627224721,0.5730994152046783,0.8263016157989228
25,0.6218,0.6218,0.7368407845497131,0.31397318840026855,0.5335838198661804,0.005078092366956184,0.009499150887558394,0.5293522267206477,0.42398022249690975,0.6608450704225353,0.31715210355987056,0.5308219178082192,0.38878504672897196,0.8073347107438017,0.4938340807174888,0.8145981688708036,0.5619834710743802,0.5955056179775281,0.7799442896935933,0.6874376869391825,0.5108695652173914,0.36045086988483216,0.6903321033210332,0.5419847328244275,0.7809505182867201,0.5789473684210527,0.8296678635547576
26,0.6273,0.6273,0.7782983183860779,0.3092883825302124,0.536583662033081,0.005475776223361822,0.010185905208973523,0.5460526315789473,0.453646477132262,0.6589671361502347,0.32038834951456313,0.5547945205479452,0.41869158878504675,0.8161157024793388,0.49887892376681614,0.811291963377416,0.5702479338842975,0.6036772216547498,0.7910863509749304,0.7063808574277168,0.5434782608695652,0.3798088703749081,0.6898892988929889,0.5660080826223619,0.7817328378642675,0.5906432748538012,0.8298922800718133
27,0.6365,0.6365,0.7725244760513306,0.30466753244400024,0.5394541621208191,0.00543290600591696,0.010052482498418483,0.5579453441295547,0.476823238566131,0.6565258215962442,0.3559870550161812,0.571917808219178,0.4224299065420561,0.8212809917355371,0.5184977578475336,0.8100203458799593,0.5537190082644629,0.6220633299284984,0.7855153203342619,0.7178464606181456,0.5760869565217391,0.3964714530752267,0.6963837638376383,0.5947462954647508,0.7831018971249756,0.6140350877192983,0.8247307001795332
28,0.6409,0.6409,0.7676262855529785,0.3001197576522827,0.5422112941741943,0.005048914696130015,0.00929456870701763,0.569331983805668,0.48763906056860323,0.6527699530516432,0.3559870550161812,0.5856164383561644,0.4392523364485981,0.8223140495867769,0.5319506726457399,0.805442522889115,0.5619834710743802,0.6292134831460674,0.7827298050139275,0.7278165503489531,0.5706521739130435,0.41778975741239893,0.7034686346863469,0.6066457117198024,0.7834930569137493,0.6432748538011696,0.8231597845601436
29,0.6448,0.6448,0.7666118741035461,0.29568275809288025,0.5449129343032837,0.004915065507469816,0.009003387167850534,0.569585020242915,0.49505562422744126,0.6463849765258216,0.3883495145631068,0.5821917808219178,0.42429906542056073,0.8192148760330579,0.547645739910314,0.8028992878942014,0.5619834710743802,0.6210418794688458,0.7715877437325905,0.7362911266201396,0.5489130434782609,0.4305317324185249,0.7197047970479705,0.614279299506062,0.7876002346958733,0.6257309941520468,0.8200179533213644
30,0.6453,0.6453,0.7738006711006165,0.2909490764141083,0.547675609588623,0.0048369160210501045,0.008815620626323534,0.5675607287449392,0.4830037082818294,0.6431924882629108,0.41423948220064727,0.571917808219178,0.4280373831775701,0.8202479338842975,0.5627802690582959,0.8072227873855544,0.5867768595041323,0.6230847803881512,0.7604456824512534,0.7288135593220338,0.5543478260869565,0.45209507473658417,0.7312177121771217,0.6052986079928154,0.7960101701545081,0.631578947368421,0.8206912028725314
