round,global_acc,per_client_gen_acc,base_lr,mean_client_lr,min_client_lr,max_client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2135,0.2135,0.0099,0.010000000000000002,0.01,0.01,0.41089235489644593,0.19870410367170627,0.002629107981220657,0.03559870550161812,0.011320754716981131,0.03592814371257485,0.5546099290780142,0.2782233189389266,0.5007139457401237,0.05357142857142857,0.10042219541616405,0.5614525139664804,0.2602739726027397,0.09448818897637795,0.033073929961089495,0.19035582344934862,0.00718294051627385,0.6774887541560728,0.055248618784530384,0.08355189209441738
1,0.2293,0.2293,0.009801,0.005435507238574819,0.0054203624862652275,0.0054965963325101135,0.4576834569163897,0.25732798518975625,0.04863849765258216,0.045307443365695796,0.016981132075471698,0.04940119760479042,0.5205673758865248,0.2794571252313387,0.48500713945740126,0.08035714285714286,0.1040410132689988,0.5083798882681564,0.2115677321156773,0.08661417322834646,0.03446359088382435,0.15574567373128526,0.010998877665544332,0.7645218071582242,0.055248618784530384,0.1120269763956538
2,0.2869,0.2869,0.00970299,0.00438109931761886,0.004178456203908491,0.005177503726932122,0.4518026080286372,0.2641160135760568,0.20751173708920187,0.05825242718446602,0.11635220125786164,0.12275449101796407,0.6070921985815603,0.26588525601480567,0.5078534031413613,0.14732142857142858,0.18335343787696018,0.5754189944134078,0.3013698630136986,0.12598425196850394,0.032240133407448586,0.2545207077581178,0.08080808080808081,0.7467240367690201,0.16022099447513813,0.17609591607343575
3,0.3375,0.3375,0.0096059601,0.004315606452832014,0.0037685618817837234,0.0051243630358037045,0.45308105343901817,0.2752236963900031,0.28,0.06796116504854369,0.19937106918238995,0.1631736526946108,0.6361702127659574,0.2689697717458359,0.5516420752022846,0.20535714285714285,0.2870928829915561,0.6340782122905028,0.419583967529173,0.1968503937007874,0.033351862145636464,0.2836865642621038,0.23052749719416385,0.7347936632114219,0.2541436464088398,0.23904083926564257
4,0.3598,0.3598,0.009509900499,0.0052123851745799026,0.003681109938312141,0.0070543274646673515,0.5034518026080287,0.33878432582536255,0.28995305164319246,0.07766990291262135,0.2459119496855346,0.23802395209580837,0.597872340425532,0.27513880320789635,0.5454545454545454,0.25,0.3175512665862485,0.6061452513966481,0.4185692541856925,0.2677165354330709,0.03418565869927738,0.2564650981917169,0.2785634118967452,0.7543516526501076,0.3149171270718232,0.28662420382165604
5,0.4026,0.4026,0.00941480149401,0.005405044018691848,0.003833448250769919,0.007507456745288711,0.5328560470467911,0.3853748842949707,0.34816901408450707,0.08737864077669903,0.32767295597484275,0.27694610778443113,0.6156028368794326,0.27267119062307216,0.575440266539743,0.29910714285714285,0.390832328106152,0.6229050279329609,0.4576357179096905,0.31496062992125984,0.03418565869927738,0.3494069609177523,0.336026936026936,0.7353804028945824,0.36464088397790057,0.36399400524541026
6,0.4193,0.4193,0.0093206534790699,0.007035071492689925,0.004644552941570471,0.009874741517353503,0.5377141396062388,0.3801295896328294,0.41258215962441314,0.13592233009708737,0.30754716981132074,0.2904191616766467,0.648936170212766,0.3392967304133251,0.5768681580199905,0.32142857142857145,0.38178528347406515,0.664804469273743,0.49518011161846776,0.25984251968503935,0.11367426347971095,0.35426793700174997,0.36790123456790125,0.7725405828280852,0.39779005524861877,0.298613713001124
7,0.4562,0.4562,0.0092274469442792,0.0077085052535517656,0.005493455630288569,0.01,0.5443620557402199,0.39771675408824436,0.4743661971830986,0.20711974110032363,0.35283018867924526,0.3218562874251497,0.6858156028368795,0.38618136952498455,0.6073298429319371,0.39732142857142855,0.4158624849215923,0.6927374301675978,0.5124302384576357,0.29133858267716534,0.1926070038910506,0.39198911141357184,0.37104377104377106,0.7631527478975161,0.430939226519337,0.3551892094417385
8,0.4843,0.4843,0.009135172474836408,0.007714510896305632,0.005394454445341992,0.01,0.583738174379954,0.4612773835236038,0.5553051643192488,0.2783171521035599,0.4238993710691824,0.38023952095808383,0.6695035460992907,0.39481801357186924,0.5787720133269871,0.46875,0.4752714113389626,0.6787709497206704,0.5550481988838153,0.33070866141732286,0.21261812117843246,0.38693369628621427,0.43658810325476993,0.7506356346567573,0.4696132596685083,0.34076433121019106
9,0.4961,0.4961,0.009043820750088045,0.00824832347777575,0.004575159255285782,0.01,0.548453081053439,0.40635606294353593,0.5539906103286385,0.34627831715210355,0.4427672955974843,0.3592814371257485,0.6638297872340425,0.4756323257248612,0.6087577344121847,0.49107142857142855,0.49607961399276235,0.6955307262569832,0.5301877219685439,0.31496062992125984,0.3079488604780434,0.38071164689869724,0.41952861952861953,0.7563074515939762,0.48066298342541436,0.3838516298239041
