round,global_acc,per_client_gen_acc,base_lr,mean_client_lr,min_client_lr,max_client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2592,0.2592,0.0099,0.010000000000000002,0.01,0.01,0.22101120193763246,0.1906005221932115,0.09566903684550743,0.26537433155080214,0.24492753623188407,0.20461834509300833,0.22413175796634444,0.17987152034261242,0.40155595451825254,0.5275305895439377,0.28455910666153256,0.44782608695652176,0.21049922799794132,0.16004540295119182,0.18440925700365407,0.21375921375921375,0.07625863770977295,0.16023107327455152,0.40728831725616294,0.13582677165354332
1,0.3457,0.3457,0.009801,0.005463659538709215,0.00542241212844223,0.005529846794267902,0.32848925219497427,0.31723237597911225,0.1493212669683258,0.41510695187165775,0.2855072463768116,0.3701090442591405,0.39598997493734334,0.2334047109207709,0.4922202274087373,0.4432703003337041,0.4462841740469773,0.4771739130434783,0.3669583118888317,0.20658342792281498,0.27015834348355666,0.25356265356265356,0.3830207305034551,0.23563393128610519,0.44137191854233654,0.23818897637795275
2,0.402,0.402,0.00970299,0.0047631525759198965,0.0042513784690137455,0.005669580635457401,0.35603996366939145,0.35933420365535246,0.21137685843568196,0.4919786096256685,0.3644927536231884,0.40731237973059653,0.4607948442534909,0.27337615988579583,0.547277079593058,0.5183537263626251,0.5128994994224104,0.4782608695652174,0.46011322696860524,0.2656072644721907,0.31425091352009743,0.28304668304668307,0.45088845014807505,0.3192459714198845,0.48403001071811363,0.3464566929133858
3,0.4621,0.4621,0.0096059601,0.004875312565542675,0.003983724375366741,0.005928452371683203,0.407811080835604,0.3991514360313316,0.25210084033613445,0.5508021390374331,0.42971014492753623,0.42976266837716487,0.5001790189760115,0.3668807994289793,0.5834829443447038,0.5603448275862069,0.5256064690026954,0.5097826086956522,0.5249613998970664,0.32009080590238365,0.3347137637028015,0.33218673218673217,0.5175222112537019,0.42870173304955916,0.547266881028939,0.4237204724409449
4,0.4928,0.4928,0.009509900499,0.005642434590234497,0.004280813817258783,0.007510806350903524,0.4287011807447775,0.41612271540469975,0.3148028442146089,0.6036096256684492,0.47101449275362317,0.44387427838357923,0.5510204081632653,0.41113490364025695,0.6077199281867145,0.6045606229143493,0.5564112437427802,0.5543478260869565,0.5635615028306742,0.3620885357548241,0.3690621193666261,0.3656019656019656,0.5338104639684107,0.47795682578291276,0.5781350482315113,0.4911417322834646
5,0.5134,0.5134,0.00941480149401,0.006161311811973182,0.0046628150471259115,0.008414064700525617,0.43112322131395703,0.4259138381201044,0.31803490627020037,0.5922459893048129,0.5021739130434782,0.4573444515715202,0.5295381310418904,0.41755888650963596,0.6415320167564332,0.6387652947719689,0.5764343473238351,0.592391304347826,0.6078229541945446,0.38251986379114644,0.38757612667478686,0.3960687960687961,0.5661401776900297,0.4946792338096686,0.6085744908896035,0.4389763779527559
6,0.547,0.547,0.0093206534790699,0.0069107652882901185,0.004566245296843835,0.01,0.4956100514683621,0.48629242819843344,0.39107950872656755,0.6049465240641712,0.5318840579710145,0.5086593970493907,0.5528105979233798,0.46181299072091364,0.6496110113704369,0.6468298109010011,0.5741239892183289,0.6032608695652174,0.6124549665465775,0.43246311010215666,0.4350791717417783,0.4491400491400491,0.6122902270483712,0.5150501672240803,0.6424437299035369,0.4763779527559055
7,0.5613,0.5613,0.0092274469442792,0.00744320146398505,0.005190657087296296,0.01,0.4992431123221314,0.48759791122715407,0.3632837750484809,0.6390374331550802,0.5550724637681159,0.5118665811417575,0.5810955961331902,0.4925053533190578,0.687013764213046,0.6726918798665183,0.5868309587986138,0.6119565217391304,0.638188368502316,0.4540295119182747,0.42143727161997563,0.4437346437346437,0.6261105626850938,0.5655214350866524,0.6703108252947482,0.5211614173228346
8,0.5822,0.5822,0.009135172474836408,0.00757843794437525,0.004902377327497887,0.01,0.5295186194368756,0.5182767624020888,0.3813833225597931,0.6443850267379679,0.5811594202898551,0.5388069275176395,0.6104547081990691,0.49607423269093504,0.698982645122681,0.6943826473859844,0.6160954948016942,0.6347826086956522,0.6484817292846115,0.4767309875141884,0.4428745432399513,0.457002457002457,0.6377097729516288,0.5761629674673153,0.6889603429796356,0.5482283464566929
9,0.5992,0.5992,0.009043820750088045,0.007645271179287982,0.0050369643582099085,0.01,0.5570693309112927,0.5385117493472585,0.4240465416936005,0.6450534759358288,0.6021739130434782,0.5695958948043618,0.631578947368421,0.5239114917915775,0.6983842010771992,0.7196885428253615,0.6368887177512514,0.6565217391304348,0.6649511065362841,0.5051078320090806,0.47990255785627284,0.48206388206388207,0.668558736426456,0.5913651565825478,0.7091103965702037,0.5615157480314961
10,0.6123,0.6123,0.008953382542587164,0.007976609649874908,0.005350642237575101,0.01,0.5797759612473509,0.5649477806788512,0.45701357466063347,0.642379679144385,0.613768115942029,0.5952533675432969,0.6183315431435732,0.5224839400428265,0.7079593058049073,0.7266407119021134,0.6511359260685406,0.6782608695652174,0.6819351518270715,0.5130533484676504,0.5108404384896468,0.5164619164619164,0.6836130306021717,0.5913651565825478,0.7159699892818864,0.5546259842519685
11,0.6304,0.6304,0.008863848717161293,0.008730821364839611,0.005424474894575274,0.01,0.615501059642749,0.6031331592689295,0.4731738849385908,0.678475935828877,0.6398550724637682,0.622193713919179,0.665234514858575,0.5381870092790864,0.7103530819868342,0.7269187986651835,0.6696187909125915,0.6663043478260869,0.6948018528049408,0.5391600454029511,0.520584652862363,0.513022113022113,0.709279368213228,0.6141684402553967,0.7168274383708467,0.6117125984251969
12,0.6396,0.6396,0.00877521022998968,0.009590740311322076,0.005435335298019892,0.01,0.6394187102633969,0.6292428198433421,0.49385908209437623,0.6891711229946524,0.6521739130434783,0.6587556125721616,0.661296097386323,0.5281941470378301,0.7277079593058049,0.7433259176863182,0.6834809395456296,0.6684782608695652,0.7014925373134329,0.5550510783200908,0.5152253349573691,0.5120393120393121,0.728035538005923,0.6023107327455154,0.7277599142550911,0.6082677165354331
