round,global_acc,per_client_gen_acc,base_lr,mean_client_lr,min_client_lr,max_client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2119,0.2119,0.0099,0.010000000000000002,0.01,0.01,0.4073127077473792,0.19623572971305153,0.0028169014084507044,0.03559870550161812,0.011320754716981131,0.03592814371257485,0.5524822695035461,0.2782233189389266,0.5021418372203712,0.05803571428571429,0.10042219541616405,0.5726256983240223,0.26382546930492135,0.09448818897637795,0.033073929961089495,0.19113357962278826,0.007407407407407408,0.6704478779581459,0.055248618784530384,0.08242787560884227
1,0.2293,0.2293,0.009801,0.0054353611323494245,0.0054203625582166974,0.005495371070230561,0.45793914599846586,0.25732798518975625,0.054460093896713614,0.045307443365695796,0.01761006289308176,0.05239520958083832,0.5191489361702127,0.2794571252313387,0.48405521180390293,0.08035714285714286,0.1040410132689988,0.5027932960893855,0.20953830542871638,0.07874015748031496,0.03446359088382435,0.15341240521096636,0.010774410774410775,0.7639350674750636,0.055248618784530384,0.1133383289621581
2,0.287,0.287,0.00970299,0.004381828342882293,0.004179580889761812,0.0051693011734815315,0.45410380976732295,0.2659672940450478,0.2088262910798122,0.05825242718446602,0.12327044025157233,0.12425149700598802,0.601418439716312,0.26711906230721777,0.5130890052356021,0.14732142857142858,0.18606755126658625,0.5670391061452514,0.3028919330289193,0.13385826771653545,0.032518065591995556,0.24907641454404045,0.08260381593714927,0.7484842558185019,0.16022099447513813,0.17553390783064818
3,0.3398,0.3398,0.0096059601,0.004315510064982513,0.00376761041744712,0.005107734771434818,0.45231398619278956,0.2770749768589941,0.29070422535211266,0.06472491909385113,0.20062893081761007,0.16467065868263472,0.6319148936170212,0.26835286859962987,0.5502141837220371,0.20982142857142858,0.28769601930036187,0.6284916201117319,0.419583967529173,0.1968503937007874,0.033351862145636464,0.28621427182578263,0.23681257014590348,0.7361627224721299,0.292817679558011,0.2427875608842263
4,0.36,0.36,0.009509900499,0.005205369267864985,0.0036914338267267795,0.006947703349726524,0.5016619790334953,0.3338475779080531,0.29051643192488263,0.07766990291262135,0.2440251572327044,0.23203592814371257,0.6035460992907802,0.2745219000616903,0.5511661113755355,0.25,0.31845597104945716,0.6089385474860335,0.40994419076610855,0.2440944881889764,0.03418565869927738,0.26152051331907444,0.26374859708193044,0.7555251320164287,0.30386740331491713,0.2946796553016111
5,0.4037,0.4037,0.00941480149401,0.005411094505658685,0.003929010145806896,0.007436181855651756,0.5356686269496292,0.3896945387226165,0.3502347417840376,0.08090614886731391,0.32955974842767294,0.2844311377245509,0.6191489361702127,0.27267119062307216,0.5768681580199905,0.29464285714285715,0.3905307599517491,0.61731843575419,0.4596651445966514,0.3228346456692913,0.03501945525291829,0.3484347657009528,0.3333333333333333,0.7389008409935459,0.3812154696132597,0.3654926938928438
6,0.419,0.419,0.0093206534790699,0.007017176430717672,0.00458373188011015,0.009480018400391532,0.5351572487854769,0.3798210428879975,0.4052582159624413,0.13592233009708737,0.3018867924528302,0.28293413173652693,0.6468085106382979,0.33189389265885255,0.5849595430747263,0.32142857142857145,0.38057901085645357,0.659217877094972,0.49974632166412986,0.2755905511811024,0.10950528071150639,0.3484347657009528,0.36677890011223346,0.7707803637786036,0.3812154696132597,0.30535781191457473
7,0.4585,0.4585,0.0092274469442792,0.0076352440283661395,0.0053981975251370514,0.01,0.5366913832779341,0.39401419315026226,0.49145539906103286,0.23948220064724918,0.35660377358490564,0.32335329341317365,0.6787234042553192,0.3997532387415176,0.6016182770109472,0.39285714285714285,0.4234016887816647,0.6787709497206704,0.5215626585489599,0.29133858267716534,0.2056698165647582,0.40015555123468793,0.39034792368125704,0.7525914336006259,0.43646408839779005,0.3619333083551892
8,0.4818,0.4818,0.009135172474836408,0.007724719665208668,0.005605576699880945,0.01,0.5793914599846587,0.4523295279234804,0.544413145539906,0.27184466019417475,0.42327044025157234,0.38023952095808383,0.6581560283687943,0.39235040098704504,0.586863398381723,0.45982142857142855,0.4692400482509047,0.6675977653631285,0.5520040588533739,0.3464566929133858,0.2056698165647582,0.38090608594205716,0.44377104377104376,0.7539604928613338,0.47513812154696133,0.3553765455226677
9,0.4984,0.4984,0.009043820750088045,0.008232416256946682,0.004695111462006919,0.01,0.5527997954487344,0.4146868250539957,0.5590610328638498,0.33980582524271846,0.4427672955974843,0.36227544910179643,0.674468085106383,0.473164713140037,0.6054259876249405,0.5,0.49788902291917975,0.7067039106145251,0.534753932014206,0.31496062992125984,0.3076709282934964,0.3945168189772506,0.4152637485970819,0.7541560727557207,0.4696132596685083,0.3778568752341701
