round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_norm,ratio_norm,scaled_delta_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1587,0.1587,1.130675196647644,0.11306753754615784,1.130675196647644,0.0,0.0,1.130675196647644,0.0,0.0,0.19560214778828944,0.002468373958654736,0.0020657276995305163,0.025889967637540454,0.005031446540880503,0.017964071856287425,0.6609929078014184,0.22331893892658852,0.4864350309376487,0.05357142857142857,0.08353437876960193,0.7011173184357542,0.37493658041603245,0.05511811023622047,0.02668148971650917,0.2873809060859421,0.009427609427609427,0.3459808331703501,0.049723756906077346,0.02716373173473211
1,0.1569,0.1569,1.1840571165084839,0.21499162912368774,1.1312214136123657,0.008923430927097797,0.007881347958812656,1.1307299137115479,3651.6513671875,0.0182857196778059,0.17770391204295577,0.0021598272138228943,0.0022535211267605635,0.025889967637540454,0.00440251572327044,0.019461077844311378,0.6815602836879433,0.21036397285626157,0.47643979057591623,0.049107142857142856,0.07689987937273823,0.7039106145251397,0.4018264840182648,0.06299212598425197,0.024735964424680377,0.3006027610344157,0.023793490460157128,0.3221200860551535,0.055248618784530384,0.024353690520794304
2,0.173,0.173,1.1590396165847778,0.3022746741771698,1.1315032243728638,0.010636129416525364,0.009391699014733702,1.13075852394104,3974.1787109375,0.015956465154886246,0.21759140884684225,0.04134526380746683,0.002629107981220657,0.038834951456310676,0.025157232704402517,0.03143712574850299,0.6787234042553192,0.21529919802590994,0.48738695859114706,0.05357142857142857,0.10585042219541617,0.6955307262569832,0.39015728056823945,0.07086614173228346,0.0264035575319622,0.29165856503986,0.026038159371492706,0.3874437707803638,0.0718232044198895,0.03578119145747471
3,0.1907,0.1907,1.209812879562378,0.38136178255081177,1.1323131322860718,0.01592986471951008,0.01405601352856207,1.1308403015136719,4388.56396484375,0.025431720539927483,0.2820250575300435,0.10089478556001234,0.004882629107981221,0.03559870550161812,0.021383647798742137,0.0344311377245509,0.6645390070921986,0.23689080814312152,0.4926225606853879,0.049107142857142856,0.1094692400482509,0.664804469273743,0.36428209030948755,0.07874015748031496,0.028071150639244025,0.2831032471320241,0.019977553310886645,0.48973205554469,0.06077348066298342,0.05620082427875609
4,0.2162,0.2162,1.2150875329971313,0.44994282722473145,1.1331707239151,0.02166959084570408,0.019106110207907454,1.1309276819229126,4260.16259765625,0.02961663156747818,0.342879059064178,0.1527306386917618,0.05859154929577465,0.038834951456310676,0.018238993710691823,0.04491017964071856,0.6673758865248227,0.25046267735965455,0.49785816277962874,0.05357142857142857,0.10253317249698432,0.6424581005586593,0.3571790969051243,0.07874015748031496,0.03029460811561979,0.2761034415710675,0.03524130190796858,0.5820457656952865,0.08287292817679558,0.07268639940052454
5,0.2545,0.2545,1.165648102760315,0.5022375583648682,1.133500337600708,0.026419172063469887,0.023287055268174123,1.1309632062911987,4058.582275390625,0.032291289418935776,0.39043722833035027,0.1990126504165381,0.15774647887323945,0.038834951456310676,0.02830188679245283,0.08083832335329341,0.6680851063829787,0.2640345465761875,0.5102332222751071,0.06696428571428571,0.11700844390832328,0.6340782122905028,0.3622526636225266,0.10236220472440945,0.032518065591995556,0.2805755395683453,0.08799102132435466,0.6677097594367299,0.13259668508287292,0.10547021356313226
6,0.3162,0.3162,1.110487937927246,0.5386520624160767,1.133272409439087,0.030395714566111565,0.02679754379386047,1.130942702293396,3688.17041015625,0.03473777696490288,0.4341600613653797,0.24992286331379204,0.27643192488262913,0.04854368932038835,0.11509433962264151,0.12574850299401197,0.6531914893617021,0.2745219000616903,0.5368871965730605,0.12946428571428573,0.206875753920386,0.6284916201117319,0.404363267376966,0.12598425196850394,0.039744302390216785,0.29010305269298076,0.17665544332211,0.7189516917660864,0.23756906077348067,0.20438366429374297
7,0.3995,0.3995,1.0460388660430908,0.5622334480285645,1.132433295249939,0.03240882232785225,0.028593497706193308,1.1308610439300537,3353.914794921875,0.035489942878484726,0.47992840705701867,0.3326133909287257,0.38873239436619716,0.1553398058252427,0.2742138364779874,0.23802395209580837,0.6269503546099291,0.3041332510795805,0.592574964302713,0.29017857142857145,0.33443908323281063,0.61731843575419,0.4550989345509893,0.2440944881889764,0.10922734852695942,0.29904724868753646,0.31313131313131315,0.7144533541951887,0.3756906077348066,0.36680404645934805
8,0.4462,0.4462,0.9588793516159058,0.5722057819366455,1.1308296918869019,0.03331781178712845,0.029437124706972025,1.1307021379470825,2946.968505859375,0.036578644067049026,0.47737151623625673,0.37118173403270593,0.516056338028169,0.3042071197411003,0.3691823899371069,0.31137724550898205,0.5723404255319149,0.3812461443553362,0.5587815326035221,0.39285714285714285,0.4209891435464415,0.5782122905027933,0.517503805175038,0.33858267716535434,0.24180100055586437,0.3007972000777756,0.43524130190796856,0.6438490123215334,0.4585635359116022,0.41569876358186586
9,0.4613,0.4613,0.9115120768547058,0.5728978514671326,1.1288474798202515,0.03359946608543396,0.029738054636170304,1.1305042505264282,2892.4794921875,0.03722558915615082,0.45972896957299925,0.3597655044739278,0.5851643192488263,0.3656957928802589,0.41949685534591197,0.3188622754491018,0.5411347517730496,0.44231955582973476,0.5283198476915755,0.45535714285714285,0.4586851628468034,0.5446927374301676,0.5362760020294267,0.31496062992125984,0.3424124513618677,0.3233521291075248,0.5124579124579125,0.6070799921768042,0.5359116022099447,0.3810415886099663
10,0.4725,0.4725,0.8365265727043152,0.5646243095397949,1.1262998580932617,0.033832769840955734,0.030012218663968596,1.1302485466003418,2527.959716796875,0.037060853093862534,0.46458706213244694,0.3603825979635915,0.6011267605633803,0.37216828478964403,0.4578616352201258,0.3383233532934132,0.5468085106382978,0.44910549043800124,0.5192765349833413,0.46875,0.494270205066345,0.5698324022346368,0.547945205479452,0.29133858267716534,0.3557531962201223,0.36301769395294575,0.5411896745230078,0.6188147858400156,0.574585635359116,0.350693143499438
