round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1582,0.1582,1.127591609954834,0.11275915056467056,1.127591609954834,0.0,0.0,0.19457939145998465,0.002468373958654736,0.0020657276995305163,0.025889967637540454,0.005031446540880503,0.017964071856287425,0.6602836879432624,0.22270203578038247,0.4859590671108996,0.05357142857142857,0.08293124246079614,0.7011173184357542,0.37645865043125315,0.05511811023622047,0.0264035575319622,0.289519735562901,0.009427609427609427,0.3453940934871895,0.049723756906077346,0.026789059572873735
1,0.1563,0.1563,1.1874074935913086,0.21503819525241852,1.128205418586731,0.009314830414950848,0.008249013210199543,0.17668115571465098,0.0021598272138228943,0.0022535211267605635,0.025889967637540454,0.0037735849056603774,0.019461077844311378,0.6858156028368795,0.20974706971005552,0.47739171822941456,0.049107142857142856,0.07599517490952955,0.7067039106145251,0.4013191273465246,0.06299212598425197,0.024735964424680377,0.30138051720785536,0.021099887766554432,0.3221200860551535,0.049723756906077346,0.024353690520794304
2,0.1674,0.1674,1.1748974323272705,0.3040277659893036,1.128682017326355,0.01198399905115366,0.010608294075103076,0.20506264382510866,0.029929034248688677,0.002629107981220657,0.038834951456310676,0.014465408805031447,0.02694610778443114,0.6872340425531915,0.20974706971005552,0.4864350309376487,0.049107142857142856,0.08866103739445115,0.6955307262569832,0.3952308472856418,0.05511811023622047,0.02584769316286826,0.2955473459070581,0.023120089786756455,0.36847252102483863,0.06077348066298342,0.031097789434245036
3,0.1895,0.1895,1.2163407802581787,0.384431928396225,1.1295922994613647,0.01628223806619644,0.014401511556335211,0.2743543850677576,0.09811786485652577,0.008075117370892018,0.03559870550161812,0.011949685534591196,0.03143712574850299,0.6801418439716312,0.23072177668106109,0.48738695859114706,0.05357142857142857,0.09137515078407721,0.6675977653631285,0.3800101471334348,0.06299212598425197,0.026959421901056144,0.28757534512930194,0.023793490460157128,0.4836690788186974,0.055248618784530384,0.05245410266017235
4,0.2196,0.2196,1.2097786664962769,0.4516761302947998,1.1304223537445068,0.02106546238064766,0.018618566542308725,0.3531066223472258,0.17216908361616784,0.06366197183098592,0.038834951456310676,0.013836477987421384,0.05089820359281437,0.6652482269503546,0.24922887106724245,0.48786292241789625,0.0625,0.09439083232810615,0.6256983240223464,0.3495687468290208,0.07874015748031496,0.029182879377431907,0.27143690453042973,0.0388327721661055,0.5971054175630746,0.08287292817679558,0.07568377669539153
5,0.2576,0.2576,1.1567165851593018,0.5021772980690002,1.130688190460205,0.025922605767846107,0.022906137915342732,0.4119151112247507,0.2240049367479173,0.1675117370892019,0.042071197411003236,0.024528301886792454,0.07934131736526946,0.6375886524822695,0.26588525601480567,0.48738695859114706,0.05357142857142857,0.11459589867310012,0.5949720670391061,0.3515981735159817,0.09448818897637795,0.03501945525291829,0.25004860976084,0.0936026936026936,0.6931351457070213,0.143646408839779,0.11877107530910454
6,0.3199,0.3199,1.0955225229263306,0.5376467704772949,1.1303420066833496,0.02956247329711914,0.026130447842014373,0.44694451546918945,0.2650416538105523,0.26948356807511736,0.06472491909385113,0.1270440251572327,0.13323353293413173,0.6099290780141844,0.28439235040098704,0.5245121370775822,0.14732142857142858,0.21652593486127866,0.5837988826815642,0.41298833079654995,0.14960629921259844,0.05419677598665926,0.2442154384600428,0.23658810325476992,0.7289262663798162,0.27624309392265195,0.22068190333458224
7,0.3954,0.3954,1.0119062662124634,0.5573434829711914,1.1292192935943604,0.031808603554964066,0.02814374496634658,0.4720020455126566,0.3267510027769207,0.36807511737089205,0.15857605177993528,0.27547169811320754,0.2470059880239521,0.5723404255319149,0.3053670573719926,0.5801999048072346,0.28125,0.3558504221954162,0.5893854748603352,0.4809741248097412,0.2283464566929134,0.11617565314063369,0.2510208049776395,0.37620650953984286,0.6946997848621161,0.430939226519337,0.36380666916448107
8,0.4377,0.4377,0.9681003093719482,0.5677729249000549,1.1277220249176025,0.034109923988580704,0.030219950736826238,0.48095116338532345,0.36223387843258253,0.48056338028169016,0.3074433656957929,0.3314465408805031,0.2994011976047904,0.5460992907801419,0.36644046884639114,0.5678248453117563,0.36607142857142855,0.40802171290711703,0.5810055865921788,0.5372907153729072,0.30708661417322836,0.22901612006670372,0.2858253937390628,0.48327721661054995,0.6319186387639351,0.5248618784530387,0.39471712251779695
9,0.4589,0.4589,0.8932545781135559,0.5670274496078491,1.1256190538406372,0.03528834134340286,0.03132233670565497,0.4558936333418563,0.34834927491514966,0.5782159624413146,0.35275080906148865,0.37484276729559746,0.2949101796407186,0.5539007092198581,0.4293645897594078,0.5302237029985721,0.42857142857142855,0.436670687575392,0.5810055865921788,0.5692541856925418,0.2755905511811024,0.3282379099499722,0.3381294964028777,0.5461279461279461,0.589477801681987,0.585635359116022,0.34807043836642937
