round,global_acc,per_client_gen_acc,lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1,0.1,0.03,0.2597801073894145,0.0015427337241592102,0.0020657276995305163,0.016181229773462782,0.0037735849056603774,0.01347305389221557,0.031914893617021274,0.2689697717458359,0.401713469776297,0.022321428571428572,0.10615199034981906,0.29608938547486036,0.0025367833587011668,0.03937007874015748,0.032795997776542525,0.0009721952167995333,0.0053872053872053875,0.35673772736162723,0.027624309392265192,0.03259647808167853
1,0.1456,0.1456,0.03,0.3725389925850166,0.12526997840172785,0.0028169014084507044,0.022653721682847898,0.006289308176100629,0.020958083832335328,0.1099290780141844,0.2769895126465145,0.40218943360304615,0.03571428571428571,0.10735826296743065,0.30446927374301674,0.0030441400304414,0.07086614173228346,0.032795997776542525,0.0019443904335990666,0.006509539842873177,0.5597496577351848,0.03867403314917127,0.07081303859123267
2,0.204,0.204,0.03,0.47992840705701867,0.28324591175563096,0.024976525821596245,0.03559870550161812,0.010691823899371069,0.041916167664670656,0.25390070921985813,0.2732880937692782,0.3826749167063303,0.044642857142857144,0.09861278648974668,0.3128491620111732,0.03602232369355657,0.08661417322834646,0.0311284046692607,0.07135912891308575,0.01840628507295174,0.7576765108546841,0.09392265193370165,0.10509554140127389
3,0.2784,0.2784,0.03,0.5149578113014575,0.3394014193150262,0.1072300469483568,0.045307443365695796,0.03710691823899371,0.13922155688622753,0.4425531914893617,0.27884022208513265,0.46882436934792954,0.07589285714285714,0.1287696019300362,0.49162011173184356,0.21816336884830034,0.18110236220472442,0.03418565869927738,0.2626871475792339,0.13333333333333333,0.7649129669469978,0.16574585635359115,0.16466841513675534
4,0.3171,0.3171,0.03,0.537969828688315,0.3758099352051836,0.23586854460093898,0.06796116504854369,0.05220125786163522,0.1751497005988024,0.4205673758865248,0.27637260950030845,0.4959543074726321,0.07142857142857142,0.14475271411338964,0.46368715083798884,0.24708269913749364,0.1968503937007874,0.04168982768204558,0.26774256270659147,0.19326599326599325,0.7668687658908664,0.20994475138121546,0.24597227426002247
5,0.3913,0.3913,0.03,0.5504985937100486,0.4146868250539957,0.3466666666666667,0.10355987055016182,0.12012578616352201,0.2754491017964072,0.5595744680851064,0.2924120913016656,0.5421227986673013,0.16964285714285715,0.25241254523522316,0.5614525139664804,0.5093860984271943,0.30708661417322836,0.049471928849360754,0.35387905891503013,0.4781144781144781,0.7398787404654802,0.430939226519337,0.23679280629449231
6,0.41,0.41,0.03,0.6024034773715162,0.49737735266892935,0.4756807511737089,0.1553398058252427,0.12452830188679245,0.35179640718562877,0.5531914893617021,0.33436150524367675,0.5449785816277963,0.20089285714285715,0.22316043425814233,0.5782122905027933,0.4013191273465246,0.3228346456692913,0.10672595886603668,0.40015555123468793,0.33108866442199775,0.7584588304322316,0.32044198895027626,0.2871862120644436
7,0.4322,0.4322,0.03,0.6215801585272309,0.49676025917926564,0.48732394366197185,0.1423948220064725,0.18679245283018867,0.3562874251497006,0.5957446808510638,0.31276989512646514,0.5554497858162779,0.25,0.2864897466827503,0.6033519553072626,0.49213597158802636,0.36220472440944884,0.08421345191773208,0.40112774645148747,0.44085297418630753,0.7791902992372384,0.425414364640884,0.26095916073435743
8,0.4668,0.4668,0.03,0.6573766300178983,0.5510644862696699,0.49408450704225354,0.1715210355987055,0.25849056603773585,0.4161676646706587,0.6198581560283688,0.3417643429981493,0.5830556877677296,0.32142857142857145,0.347708082026538,0.6145251396648045,0.5240994419076611,0.4015748031496063,0.13229571984435798,0.4102663814894031,0.4655443322109989,0.7733229024056327,0.44751381215469616,0.3267141251405021
9,0.4891,0.4891,0.03,0.613909486064945,0.48410984264116014,0.5635680751173708,0.23300970873786409,0.32955974842767294,0.38772455089820357,0.6432624113475177,0.3929673041332511,0.5887672536887196,0.36160714285714285,0.4176718938480096,0.6340782122905028,0.5570776255707762,0.3858267716535433,0.17871039466370206,0.43534901808283105,0.5122334455667789,0.789360453745355,0.4419889502762431,0.34076433121019106
10,0.5079,0.5079,0.03,0.6540526719509077,0.5529157667386609,0.547793427230047,0.18770226537216828,0.3672955974842767,0.44610778443113774,0.6553191489361702,0.3596545342381246,0.6163731556401714,0.3705357142857143,0.43154402895054284,0.6480446927374302,0.5555555555555556,0.4094488188976378,0.13841022790439134,0.4594594594594595,0.49562289562289563,0.7946411108938001,0.47513812154696133,0.4067066316972649
11,0.5226,0.5226,0.03,0.6601892099207364,0.5745140388768899,0.5832863849765259,0.21359223300970873,0.3490566037735849,0.4431137724550898,0.6758865248226951,0.37199259716224553,0.6135173726796763,0.3705357142857143,0.4384800965018094,0.6620111731843575,0.6052765093860984,0.4251968503937008,0.15453029460811563,0.5102080497763951,0.5784511784511784,0.7842753764912967,0.5303867403314917,0.3885350318471338
12,0.5388,0.5388,0.03,0.6745077985170034,0.5887071891391545,0.5915492957746479,0.2750809061488673,0.4540880503144654,0.48353293413173654,0.6439716312056738,0.41024059222702036,0.6044740599714422,0.45535714285714285,0.51145958986731,0.6340782122905028,0.6093353627600203,0.4645669291338583,0.22178988326848248,0.4512930196383434,0.603591470258137,0.801681987091727,0.569060773480663,0.416822780067441
13,0.5438,0.5438,0.03,0.6637688570698032,0.5479790188213515,0.5953051643192488,0.24271844660194175,0.4647798742138365,0.46107784431137727,0.701418439716312,0.404688463911166,0.6515944788196097,0.4375,0.531664656212304,0.6927374301675978,0.6458650431253171,0.4409448818897638,0.1773207337409672,0.4808477542290492,0.5973063973063973,0.8177195384314493,0.5359116022099447,0.43892843761708505
14,0.5719,0.5719,0.03,0.6791102019943749,0.5902499228633138,0.615962441314554,0.3300970873786408,0.5276729559748428,0.5119760479041916,0.7283687943262411,0.43985194324491056,0.6496906235126131,0.5089285714285714,0.5790108564535585,0.7067039106145251,0.6712328767123288,0.4881889763779528,0.2584769316286826,0.5076803422127163,0.6208754208754209,0.8032466262468219,0.6464088397790055,0.47695766204571
15,0.5653,0.5653,0.03,0.6681155714650985,0.562480715828448,0.5966197183098592,0.39805825242718446,0.4490566037735849,0.4940119760479042,0.6829787234042554,0.5027760641579272,0.652546406473108,0.47767857142857145,0.5250301568154403,0.6759776536312849,0.656519533231862,0.49606299212598426,0.311561978877154,0.4831810227493681,0.642648709315376,0.834343829454332,0.6022099447513812,0.4786436867740727
