round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1616,0.1616,1.145111322402954,0.11451112478971481,0.346014142036438,0.19483508054206086,0.002468373958654736,0.0022535211267605635,0.025889967637540454,0.005031446540880503,0.019461077844311378,0.6758865248226951,0.22270203578038247,0.5030937648738696,0.05357142857142857,0.08082026537997587,0.7094972067039106,0.39472349061390155,0.06299212598425197,0.026959421901056144,0.29904724868753646,0.015039281705948373,0.3436338744377078,0.049723756906077346,0.02641438741101536
1,0.1827,0.1827,1.1856919527053833,0.21656367182731628,0.3641253411769867,0.25747890565072873,0.05492132058006788,0.002629107981220657,0.032362459546925564,0.006918238993710692,0.02694610778443114,0.6773049645390071,0.2486119679210364,0.5216563541170871,0.05803571428571429,0.08745476477683957,0.7178770949720671,0.3754439370877727,0.05511811023622047,0.029738743746525846,0.289519735562901,0.007856341189674524,0.443184040680618,0.049723756906077346,0.03990258523791682
2,0.2196,0.2196,1.167320966720581,0.3002791106700897,0.38064131140708923,0.37841984147276914,0.17741437827830916,0.012582159624413145,0.03559870550161812,0.009433962264150943,0.03592814371257485,0.6773049645390071,0.26095003084515733,0.5221323179438363,0.05803571428571429,0.09378769601930036,0.6536312849162011,0.3394216133942161,0.07874015748031496,0.03140633685380767,0.254131829671398,0.008529741863075197,0.6506943086250734,0.06629834254143646,0.07568377669539153
3,0.2485,0.2485,1.0842421054840088,0.3600965738296509,0.39394763112068176,0.43569419585783686,0.24930576982412836,0.14122065727699532,0.04854368932038835,0.01761006289308176,0.06287425149700598,0.5836879432624114,0.256631708821715,0.4792955735364112,0.08482142857142858,0.09861278648974668,0.547486033519553,0.2658548959918823,0.09448818897637795,0.03168426903835464,0.19560567762006612,0.027609427609427608,0.7365538822609036,0.08287292817679558,0.10565754964406145
4,0.2874,0.2874,1.0464694499969482,0.40063706040382385,0.40570157766342163,0.4308361032983892,0.27059549521752546,0.31061032863849763,0.05177993527508091,0.06855345911949685,0.09431137724550898,0.5333333333333333,0.23689080814312152,0.4336030461684912,0.13392857142857142,0.16284680337756333,0.4776536312849162,0.2932521562658549,0.11811023622047244,0.03085047248471373,0.21757728951973557,0.17485970819304153,0.7191472716604733,0.1712707182320442,0.13956538029224427
5,0.3603,0.3603,0.9716604948043823,0.42586609721183777,0.4151976704597473,0.4073127077473792,0.2980561555075594,0.4471361502347418,0.07119741100323625,0.24213836477987422,0.19760479041916168,0.425531914893617,0.20913016656384947,0.39267015706806285,0.23214285714285715,0.34047044632086854,0.4022346368715084,0.5027904616945713,0.2440944881889764,0.02668148971650917,0.26404822088275326,0.5618406285072952,0.6102092704869939,0.5193370165745856,0.2330460846759086
6,0.3935,0.3935,0.9416125416755676,0.4418155252933502,0.4237116575241089,0.4103809767322935,0.3687133600740512,0.5115492957746479,0.11974110032362459,0.30880503144654087,0.29790419161676646,0.4148936170212766,0.19309068476249228,0.37410756782484533,0.2857142857142857,0.379372738238842,0.4022346368715084,0.5601217656012176,0.33070866141732286,0.06670372429127293,0.3402683258798367,0.6343434343434343,0.5257187561118717,0.56353591160221,0.3087298613713001
7,0.4295,0.4295,0.9218156337738037,0.45008617639541626,0.43154796957969666,0.4500127844541038,0.41067571737118175,0.5412206572769953,0.22653721682847897,0.3314465408805031,0.3263473053892216,0.5326241134751774,0.283775447254781,0.4193241313660162,0.33035714285714285,0.3899276236429433,0.4720670391061452,0.5707762557077626,0.3228346456692913,0.18482490272373542,0.3917946723702119,0.5993265993265994,0.5460590651281049,0.5580110497237569,0.32278006744098914
8,0.4667,0.4667,0.8778431415557861,0.45090919733047485,0.438266396522522,0.49041165942214265,0.43073125578525145,0.5534272300469484,0.35275080906148865,0.3742138364779874,0.3562874251497006,0.6184397163120567,0.4083898827884022,0.4788196097096621,0.40625,0.428226779252111,0.5670391061452514,0.573820395738204,0.33858267716535434,0.32156753752084494,0.42115496791755785,0.5362514029180696,0.6123606493252494,0.4972375690607735,0.31266391907081303
9,0.4877,0.4877,0.8404489755630493,0.44568002223968506,0.44409480690956116,0.5216057274354385,0.43813637766121566,0.5370892018779343,0.45307443365695793,0.42452830188679247,0.3847305389221557,0.6687943262411348,0.4947563232572486,0.5459305092812946,0.45089285714285715,0.4894451145958987,0.6312849162011173,0.5494672754946728,0.3464566929133858,0.3888271261812118,0.4110441376628427,0.4783389450056117,0.6810091922550362,0.4419889502762431,0.3295241663544399
10,0.4992,0.4992,0.8315265774726868,0.4391336441040039,0.4496246874332428,0.5466632574789057,0.43659364393705646,0.5141784037558685,0.43042071197411,0.479874213836478,0.3787425149700599,0.6652482269503546,0.5144972239358421,0.5859114707282247,0.5178571428571429,0.5413148371531966,0.6703910614525139,0.5322171486555048,0.3700787401574803,0.3941078376876042,0.39140579428349215,0.4462401795735129,0.7273616272247213,0.4585635359116022,0.3778568752341701
11,0.5084,0.5084,0.8027374148368835,0.4312184751033783,0.45451581478118896,0.5435949884939913,0.4177722925023141,0.5276995305164319,0.4077669902912621,0.530188679245283,0.38922155688622756,0.6574468085106383,0.5070943861813695,0.5973346025702047,0.5401785714285714,0.5744873341375151,0.6871508379888268,0.5276509386098427,0.3700787401574803,0.3818788215675375,0.3952945751506903,0.4500561167227834,0.7322511245843927,0.44751381215469616,0.40539527913076057
12,0.5237,0.5237,0.7857918739318848,0.4235842525959015,0.45901358127593994,0.5336231142930197,0.40851589015735884,0.5729577464788732,0.39158576051779936,0.5553459119496855,0.39820359281437123,0.6617021276595745,0.499691548426897,0.6063779152784389,0.5803571428571429,0.6037394451145959,0.6620111731843575,0.5388127853881278,0.3543307086614173,0.3632573652028905,0.42329379739451684,0.4729517396184063,0.7191472716604733,0.4972375690607735,0.43162233046084675
