round,global_acc,per_client_gen_acc,lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2146,0.2146,0.01,0.4019432370237791,0.19500154273372416,0.002629107981220657,0.03559870550161812,0.011949685534591196,0.0344311377245509,0.5879432624113475,0.27637260950030845,0.5016658733936221,0.0625,0.09831121833534379,0.5810055865921788,0.2780314561136479,0.08661417322834646,0.033351862145636464,0.2006610927474237,0.007631874298540965,0.6743594758458831,0.055248618784530384,0.08355189209441738
1,0.2326,0.2326,0.01,0.4574277678343135,0.24992286331379204,0.05352112676056338,0.038834951456310676,0.025157232704402517,0.05089820359281437,0.5028368794326241,0.2862430598396052,0.4897667777248929,0.07589285714285714,0.11731001206272618,0.5251396648044693,0.2146118721461187,0.09448818897637795,0.03446359088382435,0.154190161384406,0.019079685746352413,0.7615881087424213,0.06077348066298342,0.10547021356313226
2,0.315,0.315,0.01,0.47072360010227565,0.29188522061092254,0.24169014084507043,0.05825242718446602,0.12515723270440252,0.1377245508982036,0.5375886524822695,0.2634176434299815,0.5030937648738696,0.15178571428571427,0.21531966224366708,0.5167597765363129,0.33992897006595635,0.16535433070866143,0.033629794330183434,0.26074275714563483,0.20852974186307519,0.7549383923332681,0.23204419889502761,0.2266766579243162
3,0.3493,0.3493,0.01,0.48632063410892357,0.30145016970070965,0.24338028169014084,0.0744336569579288,0.2138364779874214,0.1751497005988024,0.6297872340425532,0.2794571252313387,0.5735364112327463,0.20535714285714285,0.2994571773220748,0.6229050279329609,0.4124809741248097,0.2047244094488189,0.0358532518065592,0.2856309546957029,0.24556677890011222,0.7653041267357715,0.2596685082872928,0.2860621955788685
4,0.4049,0.4049,0.01,0.49833802096650476,0.3384757790805307,0.38835680751173707,0.08090614886731391,0.26666666666666666,0.25299401197604793,0.6879432624113475,0.2806909315237508,0.5901951451689672,0.25892857142857145,0.3368516284680338,0.6675977653631285,0.4824961948249619,0.2440944881889764,0.03529738743746526,0.4518763367684231,0.3331088664421998,0.745550557402699,0.35911602209944754,0.3055451479955039
5,0.4464,0.4464,0.01,0.54973152646382,0.4214748534402962,0.4347417840375587,0.1650485436893204,0.35471698113207545,0.3383233532934132,0.6397163120567376,0.31030228254164094,0.5992384578772013,0.32589285714285715,0.4221954161640531,0.6508379888268156,0.5169964485032978,0.3228346456692913,0.08365758754863813,0.38071164689869724,0.40875420875420876,0.7566986113827499,0.4530386740331492,0.40558261521168976
6,0.4749,0.4749,0.01,0.5873178215290207,0.46220302375809935,0.5096713615023474,0.18770226537216828,0.3849056603773585,0.3712574850299401,0.6652482269503546,0.35225169648365207,0.5930509281294621,0.36160714285714285,0.44209891435464416,0.659217877094972,0.5312024353120244,0.36220472440944884,0.11895497498610338,0.44176550651370794,0.44601571268237933,0.7748875415607276,0.4585635359116022,0.3563132259273136
7,0.497,0.497,0.01,0.5906417795960113,0.47176797284788646,0.5496713615023474,0.2459546925566343,0.40628930817610065,0.3997005988023952,0.7198581560283688,0.38741517581739665,0.6168491194669206,0.41517857142857145,0.4589867310012063,0.7178770949720671,0.5494672754946728,0.3700787401574803,0.18649249583101724,0.47326463153801285,0.43389450056116724,0.7815372579698807,0.4696132596685083,0.38235294117647056
8,0.5191,0.5191,0.01,0.60214778828944,0.4853440296204875,0.5534272300469484,0.2750809061488673,0.43333333333333335,0.4041916167664671,0.6936170212765957,0.405922270203578,0.6192289386006663,0.4732142857142857,0.49215922798552475,0.6843575418994413,0.5773718924403856,0.36220472440944884,0.2065036131183991,0.49173634065720395,0.5097643097643098,0.7840797965969099,0.5414364640883977,0.4110153615586362
9,0.5387,0.5387,0.01,0.615187931475326,0.505708114779389,0.5988732394366197,0.40129449838187703,0.510062893081761,0.4311377245508982,0.6709219858156028,0.4811844540407156,0.6120894811994289,0.5446428571428571,0.5588057901085646,0.664804469273743,0.5768645357686454,0.3543307086614173,0.32879377431906615,0.41532179661676066,0.5234567901234568,0.7778212399765304,0.5359116022099447,0.4486699138254028
