round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_layer_norm,ratio_norm,scaled_delta_norm,warmup,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1609,0.1609,1.127591609954834,0.11275915056467056,0.3454383313655853,0.0,0.0,0.0,0.0,0.0,1,0.20608540015341345,0.002468373958654736,0.0024413145539906103,0.025889967637540454,0.005031446540880503,0.020958083832335328,0.6624113475177305,0.22763726095003084,0.5026178010471204,0.05803571428571429,0.08293124246079614,0.7094972067039106,0.3815322171486555,0.05511811023622047,0.029182879377431907,0.2912696869531402,0.008754208754208754,0.3536084490514375,0.049723756906077346,0.027538403896590482
1,0.1871,0.1871,1.1826977729797363,0.21256811916828156,0.3634861409664154,0.0,0.0,0.0,0.0,0.0,1,0.27691127588851955,0.07651959271829682,0.002629107981220657,0.032362459546925564,0.007547169811320755,0.02694610778443114,0.6709219858156028,0.25478099938309684,0.5273679200380771,0.0625,0.09016887816646563,0.6955307262569832,0.3663115169964485,0.05511811023622047,0.03029460811561979,0.28135329574178497,0.006060606060606061,0.4766282026207706,0.049723756906077346,0.045897339827650804
2,0.2299,0.2299,1.1644258499145508,0.29609644412994385,0.3799471855163574,0.0,0.0,0.0,0.0,0.0,1,0.43288161595499874,0.2372724467756865,0.04525821596244131,0.038834951456310676,0.010691823899371069,0.05239520958083832,0.6007092198581561,0.256631708821715,0.4797715373631604,0.08035714285714286,0.09439083232810615,0.5698324022346368,0.26382546930492135,0.08661417322834646,0.03196220122290161,0.20377211744118218,0.011896745230078564,0.7169958928222179,0.06077348066298342,0.09497939303109779
3,0.2475,0.2475,1.0851352214813232,0.3567347228527069,0.3933083415031433,0.0,0.0,0.0,0.0,0.0,1,0.4510355407824086,0.27368096266584385,0.18065727699530518,0.05501618122977346,0.021383647798742137,0.0748502994011976,0.502127659574468,0.24676125848241826,0.4350309376487387,0.09375,0.10042219541616405,0.46089385474860334,0.2054794520547945,0.10236220472440945,0.03168426903835464,0.16780089441959944,0.022895622895622896,0.7461372970858595,0.07734806629834254,0.11877107530910454
4,0.2834,0.2834,1.0521167516708374,0.3987855017185211,0.4052332937717438,0.0,0.0,0.0,0.0,0.0,1,0.43722833035029407,0.2847886454797902,0.30816901408450703,0.06796116504854369,0.10880503144654088,0.12275449101796407,0.5297872340425532,0.23442319555829735,0.4278914802475012,0.13839285714285715,0.1712907117008444,0.4692737430167598,0.26382546930492135,0.14173228346456693,0.03001667593107282,0.21135524013221854,0.09584736251402919,0.7095638568355173,0.143646408839779,0.158298988385163
5,0.3531,0.3531,0.9783132672309875,0.4230579733848572,0.4149010181427002,0.0,0.0,0.0,0.0,0.0,1,0.4062899514190744,0.31070657204566493,0.4169014084507042,0.07766990291262135,0.2610062893081761,0.20508982035928144,0.4432624113475177,0.20481184454040716,0.39267015706806285,0.2544642857142857,0.3516284680337756,0.42178770949720673,0.4977168949771689,0.2204724409448819,0.029738743746525846,0.23721563289908615,0.5234567901234568,0.6004302757676511,0.48066298342541436,0.22780067440989135
6,0.3922,0.3922,0.9572416543960571,0.4376557767391205,0.4237741231918335,0.0,0.0,0.0,0.0,0.0,1,0.40705701866530297,0.3434125269978402,0.507981220657277,0.14563106796116504,0.3352201257861635,0.29790419161676646,0.39290780141843973,0.24552745219000616,0.3831508805330795,0.35267857142857145,0.4086248492159228,0.3715083798882682,0.5555555555555556,0.29133858267716534,0.1028349082823791,0.28990861364962084,0.6437710437710438,0.5227850576960689,0.569060773480663,0.2693892843761708
7,0.4386,0.4386,0.8959031105041504,0.44187837839126587,0.43106281757354736,0.0,0.0,0.0,0.0,0.0,1,0.4323702377908463,0.35698858377044124,0.5737089201877934,0.2168284789644013,0.3767295597484277,0.344311377245509,0.474468085106383,0.3288093769278223,0.41980009519276534,0.38392857142857145,0.4442098914354644,0.44972067039106145,0.5814307458143074,0.2992125984251969,0.21539744302390218,0.3692397433404628,0.6404040404040404,0.540387248190886,0.5966850828729282,0.2973023604346197
8,0.4723,0.4723,0.8906928896903992,0.4430674612522125,0.4380528926849365,0.0,0.0,0.0,0.0,0.0,1,0.47634875990795195,0.4020364085158902,0.5793427230046948,0.30097087378640774,0.42012578616352203,0.38323353293413176,0.5617021276595745,0.391733497840839,0.48024750118990955,0.40625,0.4695416164053076,0.5558659217877095,0.5814307458143074,0.33070866141732286,0.2676486937187326,0.4460431654676259,0.5836139169472503,0.6123606493252494,0.580110497237569,0.307605844885725
9,0.4903,0.4903,0.8035776615142822,0.4354102909564972,0.4432028830051422,0.0,0.0,0.0,0.0,0.0,1,0.5302991562260292,0.44183893859919776,0.5492957746478874,0.34627831715210355,0.4509433962264151,0.3967065868263473,0.6269503546099291,0.4299814929056138,0.532603522132318,0.41517857142857145,0.4825090470446321,0.6452513966480447,0.5591070522577372,0.33070866141732286,0.2896053362979433,0.4719035582344935,0.5061728395061729,0.683942890670839,0.5524861878453039,0.33027351067815663
