round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_layer_norm,ratio_norm,scaled_delta_norm,warmup,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1612,0.1612,1.124780297279358,0.11247803270816803,0.3453466594219208,0.0,0.0,0.0,0.0,0.0,1,0.20685246739964203,0.002468373958654736,0.0024413145539906103,0.025889967637540454,0.005031446540880503,0.020958083832335328,0.6609929078014184,0.22887106724244294,0.5030937648738696,0.05803571428571429,0.08353437876960193,0.7094972067039106,0.38102486047691525,0.05511811023622047,0.029182879377431907,0.29068636982306045,0.008754208754208754,0.35556424799530606,0.049723756906077346,0.02772573997751967
1,0.1848,0.1848,1.1807502508163452,0.21207962930202484,0.36333659291267395,0.0,0.0,0.0,0.0,0.0,1,0.2692406034262337,0.06541190990435052,0.002629107981220657,0.032362459546925564,0.007547169811320755,0.02694610778443114,0.6702127659574468,0.25354719309068474,0.5259400285578296,0.05803571428571429,0.09047044632086852,0.6955307262569832,0.3663115169964485,0.05511811023622047,0.030572540300166758,0.28174217382850475,0.005836139169472503,0.4621552904361432,0.04419889502762431,0.04252529037092544
2,0.2289,0.2289,1.1632111072540283,0.2956530749797821,0.3797683119773865,0.0,0.0,0.0,0.0,0.0,1,0.42623369982101766,0.2261647639617402,0.04338028169014085,0.032362459546925564,0.010691823899371069,0.05089820359281437,0.6212765957446809,0.25848241826033314,0.4892908138981437,0.08035714285714286,0.09499396863691194,0.5810055865921788,0.2795535261288686,0.08661417322834646,0.032240133407448586,0.21077192300213882,0.011447811447811448,0.7105417563074516,0.06077348066298342,0.09404271262645185
3,0.2495,0.2495,1.0824071168899536,0.3562967777252197,0.3930620551109314,0.0,0.0,0.0,0.0,0.0,1,0.4500127844541038,0.273372415921012,0.17652582159624414,0.05177993527508091,0.018867924528301886,0.07335329341317365,0.524113475177305,0.2486119679210364,0.4435982865302237,0.09821428571428571,0.09921592279855247,0.4720670391061452,0.21359715880263824,0.10236220472440945,0.03085047248471373,0.17693952945751507,0.02154882154882155,0.7445726579307648,0.07734806629834254,0.11502435369052079
4,0.2814,0.2814,1.0486277341842651,0.398495078086853,0.40490615367889404,0.0,0.0,0.0,0.0,0.0,1,0.43850677576067504,0.28694847269361307,0.3096713615023474,0.05825242718446602,0.09874213836477988,0.12275449101796407,0.5553191489361702,0.23565700185070945,0.4364588291289862,0.12946428571428573,0.1652593486127865,0.49441340782122906,0.26078132927447994,0.14173228346456693,0.03001667593107282,0.2241882169939724,0.07564534231200898,0.7105417563074516,0.1270718232044199,0.1538029224428625
5,0.3577,0.3577,0.9789975881576538,0.4229978919029236,0.4146008789539337,0.0,0.0,0.0,0.0,0.0,1,0.4131935566351317,0.32058006788028387,0.42741784037558683,0.07766990291262135,0.2509433962264151,0.20059880239520958,0.5092198581560283,0.20789636027143737,0.39838172298905283,0.25,0.3347406513872135,0.44692737430167595,0.487062404870624,0.2204724409448819,0.03196220122290161,0.26638148940307216,0.46936026936026937,0.6149031879522785,0.4585635359116022,0.221431247658299
6,0.3955,0.3955,0.9621683359146118,0.4379427433013916,0.4235949218273163,0.0,0.0,0.0,0.0,0.0,1,0.405778573254922,0.3434125269978402,0.5230046948356808,0.15210355987055016,0.32578616352201256,0.29191616766467066,0.4482269503546099,0.2418260333127699,0.3936220847215612,0.36160714285714285,0.3986731001206273,0.4134078212290503,0.5606291222729579,0.29133858267716534,0.10311284046692606,0.3181022749368073,0.6215488215488215,0.5265010756894192,0.5580110497237569,0.2703259647808168
7,0.4392,0.4392,0.8875935077667236,0.4416196942329407,0.43071624636650085,0.0,0.0,0.0,0.0,0.0,1,0.428023523395551,0.35668003702560935,0.5761502347417841,0.22330097087378642,0.36163522012578614,0.33532934131736525,0.4929078014184397,0.31893892658852563,0.4264635887672537,0.375,0.430940892641737,0.4581005586592179,0.5885337392186707,0.2992125984251969,0.20705947748749307,0.38673925724285435,0.631425364758698,0.5401916682964991,0.5911602209944752,0.30161109029599104
8,0.474,0.474,0.882343053817749,0.4424930810928345,0.4375461935997009,0.0,0.0,0.0,0.0,0.0,1,0.4789056507287139,0.4075902499228633,0.5710798122065728,0.31715210355987056,0.4006289308176101,0.3907185628742515,0.5560283687943263,0.391733497840839,0.4783436458829129,0.4017857142857143,0.4499396863691194,0.5698324022346368,0.5910705225773719,0.33070866141732286,0.2695942190105614,0.44254326268714755,0.5946127946127946,0.6106004302757676,0.5966850828729282,0.3207193705507681
9,0.4936,0.4936,0.8451484441757202,0.4383275806903839,0.4434804916381836,0.0,0.0,0.0,0.0,0.0,1,0.5244183073382767,0.4347423634680654,0.5509859154929577,0.343042071197411,0.42327044025157234,0.3847305389221557,0.6226950354609929,0.446020974706971,0.5373631603998096,0.42857142857142855,0.4589867310012063,0.6368715083798883,0.5697615423642821,0.31496062992125984,0.3065591995553085,0.47073692397433403,0.5169472502805836,0.6843340504596127,0.5469613259668509,0.3313975271637317
